system,year,start,final,return_pct,max_dd_pct,win_rate_pct,trades,max_day_loss_pct,max_nominal_risk_pct,end_tradable,min_equity_for_001,reclaims
A Smooth + B Partial Balanced,2018,300.0,346.83899999999903,15.612999999999676,9.001635637507672,51.32743362831859,113,4.202506308488956,13.668017522398431,True,200.0,
A Smooth + B Reclaim,2018,300.0,306.16499999999814,2.054999999999385,12.40460093400106,55.46218487394958,119,4.285140924604837,13.801860490794157,True,200.0,6.0
B Partial Balanced,2018,300.0,336.63599999999997,12.211999999999978,10.157634274073336,49.473684210526315,95,4.345370680027036,7.290941369894971,True,200.0,
B20/25 + Momentum,2018,300.0,336.24299999999994,12.080999999999985,10.157634274073336,49.473684210526315,95,4.303591794647491,9.113676712368713,True,250.0,
B5/20 + Momentum,2018,300.0,295.02199999999993,-1.659333333333357,11.877049180327765,50.526315789473685,95,4.5314715684952365,7.441168263417347,True,200.0,
A Smooth + B Partial Balanced,2019,300.0,231.72799999999984,-22.757333333333385,34.628179021971064,43.90243902439025,123,7.933359777865922,17.933038035973645,True,200.0,
A Smooth + B Reclaim,2019,300.0,197.16700000000014,-34.27766666666662,39.552886280930004,53.71900826446281,121,8.060936144814281,17.177408272639788,False,200.0,5.0
B Partial Balanced,2019,300.0,290.87899999999945,-3.0403333333335114,17.362265087686247,45.05494505494506,91,5.974375901757356,7.0680369234249,True,200.0,
B20/25 + Momentum,2019,300.0,280.4389999999994,-6.520333333333539,20.41119693938668,45.05494505494506,91,7.591331306953955,9.17350398497015,True,250.0,
B5/20 + Momentum,2019,300.0,237.39899999999943,-20.86700000000019,33.86288205567081,52.74725274725275,91,7.0258077626498965,8.742672547571088,True,200.0,
A Smooth + B Partial Balanced,2020,300.0,390.9980000000005,30.33266666666683,28.501976254131584,57.009345794392516,107,19.101695036663298,19.101695036663298,True,200.0,
A Smooth + B Reclaim,2020,300.0,473.3209999999999,57.773666666666635,27.939169993232245,71.32352941176471,136,19.87172799578719,19.87172799578719,True,200.0,29.0
B Partial Balanced,2020,300.0,437.8060000000007,45.935333333333574,23.666213036859375,57.95454545454546,88,8.75566655795046,9.99245569594956,True,200.0,
B20/25 + Momentum,2020,300.0,403.59300000000076,34.53100000000025,16.87047186559689,54.54545454545454,88,7.565624224523507,8.390838546841012,True,250.0,
B5/20 + Momentum,2020,300.0,332.222,10.740666666666666,21.839323229080456,69.31818181818183,88,6.57496778265786,7.205986733778423,True,200.0,
A Smooth + B Partial Balanced,2021,300.0,415.3150000000005,38.43833333333351,29.450229786374432,58.03571428571429,112,16.882516676760993,19.582740751438703,True,200.0,
A Smooth + B Reclaim,2021,300.0,342.5880000000011,14.196000000000364,36.84519127341487,68.14814814814815,135,17.685068717545114,17.685068717545114,True,200.0,23.0
B Partial Balanced,2021,300.0,382.297,27.432333333333347,23.734089531561196,55.434782608695656,92,9.074451335986097,9.987864744335635,True,200.0,
B20/25 + Momentum,2021,300.0,454.43100000000004,51.47700000000002,14.820143884892111,53.2608695652174,92,7.862154419002512,9.88243851146758,True,250.0,
B5/20 + Momentum,2021,300.0,272.7920000000006,-9.06933333333313,32.219735459243324,66.30434782608695,92,7.031211548061838,8.033999887523986,True,200.0,
