date,side,entry_time,entry_price,start_balance,lot,risk_pct_nominal,mode,leg1_lot,runner_lot,leg1_points,runner_points,outcome,result,exit_time,pnl_eur,end_balance,leg1_exit_time,runner_exit_time
2026-01-02,LONG,2026-01-02T10:01:00+02:00,4383.935,300.0,0.01,6.6667,FULL_001_FALLBACK_TP25,,,,,SL,SL20,2026-01-02T15:57:00+02:00,-20.0,280.0,,
2026-01-08,SHORT,2026-01-08T14:06:00+02:00,4413.835,280.0,0.01,7.1429,FULL_001_FALLBACK_TP25,,,,,SL,SL20,2026-01-08T15:25:00+02:00,-20.0,260.0,,
2026-01-09,LONG,2026-01-09T15:34:00+02:00,4485.035,260.0,0.01,7.6923,FULL_001_FALLBACK_TP25,,,,,TP,TP25,2026-01-09T17:24:00+02:00,25.0,285.0,,
2026-01-16,SHORT,2026-01-16T15:17:00+02:00,4586.325,285.0,0.01,7.0175,FULL_001_FALLBACK_TP25,,,,,SL,SL20,2026-01-16T16:06:00+02:00,-20.0,265.0,,
2026-01-22,LONG,2026-01-22T10:03:00+02:00,4835.645,265.0,0.01,7.5472,FULL_001_FALLBACK_TP25,,,,,SL,SL20,2026-01-22T11:42:00+02:00,-20.0,245.0,,
2026-01-23,SHORT,2026-01-23T10:23:00+02:00,4927.895,245.0,0.01,8.1633,FULL_001_FALLBACK_TP25,,,,,TP,TP25,2026-01-23T10:28:00+02:00,25.0,270.0,,
2026-01-30,SHORT,2026-01-30T10:34:00+02:00,5067.602,270.0,0.01,7.4074,FULL_001_FALLBACK_TP25,,,,,SL,SL20,2026-01-30T10:34:00+02:00,-20.0,250.0,,
2026-02-06,LONG,2026-02-06T15:01:00+02:00,4908.051,250.0,0.01,8.0,FULL_001_FALLBACK_TP25,,,,,TP,TP25,2026-02-06T15:38:00+02:00,25.0,275.0,,
2026-02-19,LONG,2026-02-19T10:46:00+02:00,5021.785,275.0,0.01,7.2727,FULL_001_FALLBACK_TP25,,,,,SL,SL20,2026-02-19T11:29:00+02:00,-20.0,255.0,,
2026-02-20,LONG,2026-02-20T10:55:00+02:00,5031.015,255.0,0.01,7.8431,FULL_001_FALLBACK_TP25,,,,,SL,SL20,2026-02-20T14:30:00+02:00,-20.0,235.0,,
2026-02-27,LONG,2026-02-27T15:08:00+02:00,5210.145,235.0,0.01,8.5106,FULL_001_FALLBACK_TP25,,,,,TP,TP25,2026-02-27T15:24:00+02:00,25.0,260.0,,
2026-03-05,SHORT,2026-03-05T15:21:00+02:00,5116.748,260.0,0.01,7.6923,FULL_001_FALLBACK_TP25,,,,,TP,TP25,2026-03-05T15:23:00+02:00,25.0,285.0,,
2026-03-06,SHORT,2026-03-06T13:57:00+02:00,5065.785,285.0,0.01,7.0175,FULL_001_FALLBACK_TP25,,,,,SL,SL20,2026-03-06T14:04:00+02:00,-20.0,265.0,,
2026-03-12,LONG,2026-03-12T10:01:00+02:00,5185.675,265.0,0.01,7.5472,FULL_001_FALLBACK_TP25,,,,,SL,SL20,2026-03-12T14:15:00+02:00,-20.0,245.0,,
2026-03-13,SHORT,2026-03-13T10:01:00+02:00,5080.295,245.0,0.01,8.1633,FULL_001_FALLBACK_TP25,,,,,SL,SL20,2026-03-13T13:57:00+02:00,-20.0,225.0,,
2026-03-19,SHORT,2026-03-19T10:01:00+02:00,4731.075,225.0,0.01,8.8889,FULL_001_FALLBACK_TP25,,,,,TP,TP25,2026-03-19T10:14:00+02:00,25.0,250.0,,
2026-03-20,SHORT,2026-03-20T15:52:00+02:00,4630.655,250.0,0.01,8.0,FULL_001_FALLBACK_TP25,,,,,TP,TP25,2026-03-20T16:08:00+02:00,25.0,275.0,,
2026-03-26,SHORT,2026-03-26T10:44:00+02:00,4413.365,275.0,0.01,7.2727,FULL_001_FALLBACK_TP25,,,,,SL,SL20,2026-03-26T10:47:00+02:00,-20.0,255.0,,
