date,side,entry_time,entry_price,lot,mode,lot_tp4,lot_runner,tp4_points,runner_points,result_points_weighted,outcome,exit_time,start_balance,risk_eur_nominal,risk_pct_actual,pnl_eur,end_balance,tp4_time
2026-01-02,LONG,2026-01-02T10:01:00+02:00,4383.935,0.01,0.01 fallback -> full TP25,0.0,0.01,0.0,-20.0,-20.0,SL20_FALLBACK,2026-01-02T15:57:00+02:00,300.0,20.0,6.67,-20.0,280.0,
2026-01-08,SHORT,2026-01-08T14:06:00+02:00,4413.835,0.01,0.01 fallback -> full TP25,0.0,0.01,0.0,-20.0,-20.0,SL20_FALLBACK,2026-01-08T15:25:00+02:00,280.0,20.0,7.14,-20.0,260.0,
2026-01-09,LONG,2026-01-09T15:34:00+02:00,4485.035,0.01,0.01 fallback -> full TP25,0.0,0.01,0.0,25.0,25.0,TP25_FALLBACK,2026-01-09T17:24:00+02:00,260.0,20.0,7.69,25.0,285.0,
2026-01-16,SHORT,2026-01-16T15:17:00+02:00,4586.325,0.01,0.01 fallback -> full TP25,0.0,0.01,0.0,-20.0,-20.0,SL20_FALLBACK,2026-01-16T16:06:00+02:00,285.0,20.0,7.02,-20.0,265.0,
2026-01-22,LONG,2026-01-22T10:03:00+02:00,4835.645,0.01,0.01 fallback -> full TP25,0.0,0.01,0.0,-20.0,-20.0,SL20_FALLBACK,2026-01-22T11:42:00+02:00,265.0,20.0,7.55,-20.0,245.0,
2026-01-23,SHORT,2026-01-23T10:23:00+02:00,4927.895,0.01,0.01 fallback -> full TP25,0.0,0.01,0.0,25.0,25.0,TP25_FALLBACK,2026-01-23T10:28:00+02:00,245.0,20.0,8.16,25.0,270.0,
2026-01-30,SHORT,2026-01-30T10:34:00+02:00,5067.602,0.01,0.01 fallback -> full TP25,0.0,0.01,0.0,-20.0,-20.0,SL20_FALLBACK,2026-01-30T10:34:00+02:00,270.0,20.0,7.41,-20.0,250.0,
2026-02-06,LONG,2026-02-06T15:01:00+02:00,4908.051,0.01,0.01 fallback -> full TP25,0.0,0.01,0.0,25.0,25.0,TP25_FALLBACK,2026-02-06T15:38:00+02:00,250.0,20.0,8.0,25.0,275.0,
2026-02-19,LONG,2026-02-19T10:46:00+02:00,5021.785,0.01,0.01 fallback -> full TP25,0.0,0.01,0.0,-20.0,-20.0,SL20_FALLBACK,2026-02-19T11:29:00+02:00,275.0,20.0,7.27,-20.0,255.0,
2026-02-20,LONG,2026-02-20T10:55:00+02:00,5031.015,0.01,0.01 fallback -> full TP25,0.0,0.01,0.0,-20.0,-20.0,SL20_FALLBACK,2026-02-20T14:30:00+02:00,255.0,20.0,7.84,-20.0,235.0,
2026-02-27,LONG,2026-02-27T15:08:00+02:00,5210.145,0.01,0.01 fallback -> full TP25,0.0,0.01,0.0,25.0,25.0,TP25_FALLBACK,2026-02-27T15:24:00+02:00,235.0,20.0,8.51,25.0,260.0,
2026-03-05,SHORT,2026-03-05T15:21:00+02:00,5116.748,0.01,0.01 fallback -> full TP25,0.0,0.01,0.0,25.0,25.0,TP25_FALLBACK,2026-03-05T15:23:00+02:00,260.0,20.0,7.69,25.0,285.0,
2026-03-06,SHORT,2026-03-06T13:57:00+02:00,5065.785,0.01,0.01 fallback -> full TP25,0.0,0.01,0.0,-20.0,-20.0,SL20_FALLBACK,2026-03-06T14:04:00+02:00,285.0,20.0,7.02,-20.0,265.0,
2026-03-12,LONG,2026-03-12T10:01:00+02:00,5185.675,0.01,0.01 fallback -> full TP25,0.0,0.01,0.0,-20.0,-20.0,SL20_FALLBACK,2026-03-12T14:15:00+02:00,265.0,20.0,7.55,-20.0,245.0,
2026-03-13,SHORT,2026-03-13T10:01:00+02:00,5080.295,0.01,0.01 fallback -> full TP25,0.0,0.01,0.0,-20.0,-20.0,SL20_FALLBACK,2026-03-13T13:57:00+02:00,245.0,20.0,8.16,-20.0,225.0,
2026-03-19,SHORT,2026-03-19T10:01:00+02:00,4731.075,0.01,0.01 fallback -> full TP25,0.0,0.01,0.0,25.0,25.0,TP25_FALLBACK,2026-03-19T10:14:00+02:00,225.0,20.0,8.89,25.0,250.0,
2026-03-20,SHORT,2026-03-20T15:52:00+02:00,4630.655,0.01,0.01 fallback -> full TP25,0.0,0.01,0.0,25.0,25.0,TP25_FALLBACK,2026-03-20T16:08:00+02:00,250.0,20.0,8.0,25.0,275.0,
2026-03-26,SHORT,2026-03-26T10:44:00+02:00,4413.365,0.01,0.01 fallback -> full TP25,0.0,0.01,0.0,-20.0,-20.0,SL20_FALLBACK,2026-03-26T10:47:00+02:00,275.0,20.0,7.27,-20.0,255.0,
