date,side,entry_time,lot,mode,lot_tp4,lot_runner,outcome,pnl_eur,start_balance,end_balance
2026-01-02,LONG,2026-01-02T10:01:00+02:00,0.01,0.01 fallback -> full TP25,0.0,0.01,SL20_FALLBACK,-20.0,300.0,280.0
2026-01-08,SHORT,2026-01-08T14:06:00+02:00,0.01,0.01 fallback -> full TP25,0.0,0.01,SL20_FALLBACK,-20.0,280.0,260.0
2026-01-09,LONG,2026-01-09T15:34:00+02:00,0.01,0.01 fallback -> full TP25,0.0,0.01,TP25_FALLBACK,25.0,260.0,285.0
2026-01-16,SHORT,2026-01-16T15:17:00+02:00,0.01,0.01 fallback -> full TP25,0.0,0.01,SL20_FALLBACK,-20.0,285.0,265.0
2026-01-22,LONG,2026-01-22T10:03:00+02:00,0.01,0.01 fallback -> full TP25,0.0,0.01,SL20_FALLBACK,-20.0,265.0,245.0
2026-01-23,SHORT,2026-01-23T10:23:00+02:00,0.01,0.01 fallback -> full TP25,0.0,0.01,TP25_FALLBACK,25.0,245.0,270.0
2026-01-30,SHORT,2026-01-30T10:34:00+02:00,0.01,0.01 fallback -> full TP25,0.0,0.01,SL20_FALLBACK,-20.0,270.0,250.0
2026-02-06,LONG,2026-02-06T15:01:00+02:00,0.01,0.01 fallback -> full TP25,0.0,0.01,TP25_FALLBACK,25.0,250.0,275.0
2026-02-19,LONG,2026-02-19T10:46:00+02:00,0.01,0.01 fallback -> full TP25,0.0,0.01,SL20_FALLBACK,-20.0,275.0,255.0
2026-02-20,LONG,2026-02-20T10:55:00+02:00,0.01,0.01 fallback -> full TP25,0.0,0.01,SL20_FALLBACK,-20.0,255.0,235.0
2026-02-27,LONG,2026-02-27T15:08:00+02:00,0.01,0.01 fallback -> full TP25,0.0,0.01,TP25_FALLBACK,25.0,235.0,260.0
2026-03-05,SHORT,2026-03-05T15:21:00+02:00,0.01,0.01 fallback -> full TP25,0.0,0.01,TP25_FALLBACK,25.0,260.0,285.0
2026-03-06,SHORT,2026-03-06T13:57:00+02:00,0.01,0.01 fallback -> full TP25,0.0,0.01,SL20_FALLBACK,-20.0,285.0,265.0
2026-03-12,LONG,2026-03-12T10:01:00+02:00,0.01,0.01 fallback -> full TP25,0.0,0.01,SL20_FALLBACK,-20.0,265.0,245.0
2026-03-13,SHORT,2026-03-13T10:01:00+02:00,0.01,0.01 fallback -> full TP25,0.0,0.01,SL20_FALLBACK,-20.0,245.0,225.0
2026-03-19,SHORT,2026-03-19T10:01:00+02:00,0.01,0.01 fallback -> full TP25,0.0,0.01,TP25_FALLBACK,25.0,225.0,250.0
2026-03-20,SHORT,2026-03-20T15:52:00+02:00,0.01,0.01 fallback -> full TP25,0.0,0.01,TP25_FALLBACK,25.0,250.0,275.0
2026-03-26,SHORT,2026-03-26T10:44:00+02:00,0.01,0.01 fallback -> full TP25,0.0,0.01,SL20_FALLBACK,-20.0,275.0,255.0
2026-04-09,LONG,2026-04-09T13:25:00+03:00,0.01,0.01 fallback -> full TP25,0.0,0.01,TP25_FALLBACK,25.0,255.0,280.0
2026-04-10,SHORT,2026-04-10T11:48:00+03:00,0.01,0.01 fallback -> full TP25,0.0,0.01,SL20_FALLBACK,-20.0,280.0,260.0
2026-04-17,LONG,2026-04-17T14:48:00+03:00,0.01,0.01 fallback -> full TP25,0.0,0.01,TP25_FALLBACK,25.0,260.0,285.0
2026-04-23,SHORT,2026-04-23T13:10:00+03:00,0.01,0.01 fallback -> full TP25,0.0,0.01,SL20_FALLBACK,-20.0,285.0,265.0
2026-04-24,LONG,2026-04-24T14:27:00+03:00,0.01,0.01 fallback -> full TP25,0.0,0.01,SL20_FALLBACK,-20.0,265.0,245.0
2026-04-30,LONG,2026-04-30T10:01:00+03:00,0.01,0.01 fallback -> full TP25,0.0,0.01,TP25_FALLBACK,25.0,245.0,270.0
2026-05-01,SHORT,2026-05-01T10:01:00+03:00,0.01,0.01 fallback -> full TP25,0.0,0.01,TP25_FALLBACK,25.0,270.0,295.0
2026-05-07,LONG,2026-05-07T10:01:00+03:00,0.01,0.01 fallback -> full TP25,0.0,0.01,TIME_FALLBACK,21.55,295.0,316.55
2026-05-14,LONG,2026-05-14T10:36:00+03:00,0.01,0.01 fallback -> full TP25,0.0,0.01,SL20_FALLBACK,-20.0,316.55,296.55
2026-05-15,SHORT,2026-05-15T11:18:00+03:00,0.01,0.01 fallback -> full TP25,0.0,0.01,TP25_FALLBACK,25.0,296.55,321.55
2026-05-21,SHORT,2026-05-21T10:25:00+03:00,0.01,0.01 fallback -> full TP25,0.0,0.01,SL20_FALLBACK,-20.0,321.55,301.55
2026-05-29,LONG,2026-05-29T10:01:00+03:00,0.01,0.01 fallback -> full TP25,0.0,0.01,TP25_FALLBACK,25.0,301.55,326.55
2026-06-04,LONG,2026-06-04T14:27:00+03:00,0.01,0.01 fallback -> full TP25,0.0,0.01,TP25_FALLBACK,25.0,326.55,351.55
2026-06-05,SHORT,2026-06-05T15:52:00+03:00,0.01,0.01 fallback -> full TP25,0.0,0.01,TP25_FALLBACK,25.0,351.55,376.55
2026-06-18,SHORT,2026-06-18T14:01:00+03:00,0.01,0.01 fallback -> full TP25,0.0,0.01,SL20_FALLBACK,-20.0,376.55,356.55
2026-06-26,LONG,2026-06-26T10:28:00+03:00,0.01,0.01 fallback -> full TP25,0.0,0.01,TP25_FALLBACK,25.0,356.55,381.55
2026-07-02,LONG,2026-07-02T10:43:00+03:00,0.01,0.01 fallback -> full TP25,0.0,0.01,TP25_FALLBACK,25.0,381.55,406.55
2026-07-09,LONG,2026-07-09T10:01:00+03:00,0.02,split 50/50,0.01,0.01,TP4 + TP25,29.0,406.55,435.55
2026-07-10,SHORT,2026-07-10T10:44:00+03:00,0.02,split 50/50,0.01,0.01,TP4 + TP25,29.0,435.55,464.55
2026-07-16,SHORT,2026-07-16T10:31:00+03:00,0.02,split,0.01,0.01,SL20_BEFORE_TP4,-40.0,464.55,424.55
2026-07-17,SHORT,2026-07-17T15:44:00+03:00,0.02,split 50/50,0.01,0.01,TP4 + RUNNER_SL20,-16.0,424.55,408.55
2026-07-23,SHORT,2026-07-23T10:09:00+03:00,0.02,split 50/50,0.01,0.01,TP4 + TP25,29.0,408.55,437.55
2026-07-24,LONG,2026-07-24T10:35:00+03:00,0.02,split 50/50,0.01,0.01,TP4 + TP25,29.0,437.55,466.55
2026-07-31,SHORT,2026-07-31T10:31:00+03:00,0.02,split 50/50,0.01,0.01,TP4 + TP25,29.0,466.55,495.55
2026-08-07,LONG,2026-08-07T10:01:00+03:00,0.02,split 50/50,0.01,0.01,TP4 + TP25,29.0,495.55,524.55
2026-08-13,SHORT,2026-08-13T10:01:00+03:00,0.02,split 50/50,0.01,0.01,TP4 + RUNNER_SL20,-16.0,524.55,508.55
2026-08-14,LONG,2026-08-14T14:51:00+03:00,0.02,split 50/50,0.01,0.01,TP4 + TP25,29.0,508.55,537.55
2026-08-20,SHORT,2026-08-20T14:44:00+03:00,0.02,split 50/50,0.01,0.01,TP4 + TP25,29.0,537.55,566.55
