tp1,tp2,sl,first_frac,runner_stop,fallback_001,train_final,train_multiple,train_dd,train_wr,train_trades,train_pos_years,train_score
5.0,30.0,20.0,0.7,ORIG,TP2,851.3290000000027,2.837763333333342,0.2889023562013251,0.5689655172413793,464,4,1.0529980023286178
6.0,20.0,25.0,0.7,ORIG,TP2,772.3600000000024,2.5745333333333416,0.25280114277697324,0.5387931034482759,464,4,1.004386745169226
8.0,20.0,20.0,0.7,BE+2,TP2,771.4840000000022,2.5716133333333406,0.2642953720818786,0.5538793103448276,464,4,0.9877347058009492
10.0,30.0,25.0,0.7,ORIG,TP2,735.7600000000023,2.452533333333341,0.23468974330921988,0.5301724137931034,464,4,0.9802903504707974
8.0,25.0,20.0,0.7,BE+2,TP2,765.5420000000026,2.5518066666666757,0.26483793181545634,0.5538793103448276,464,4,0.9792703970861732
8.0,30.0,20.0,0.7,ORIG,TP2,760.7830000000035,2.535943333333345,0.2621403145840052,0.5344827586206896,464,4,0.9766762667368208
5.0,20.0,25.0,0.5,ORIG,TP2,732.6800000000019,2.442266666666673,0.23692459142306171,0.5452586206896551,464,4,0.9730783714146845
5.0,20.0,25.0,0.3,ORIG,TP2,732.6800000000019,2.442266666666673,0.23692459142306171,0.5452586206896551,464,4,0.9730783714146845
5.0,20.0,25.0,0.7,ORIG,TP2,732.6800000000019,2.442266666666673,0.23692459142306171,0.5452586206896551,464,4,0.9730783714146845
4.0,20.0,25.0,0.5,ORIG,TP2,733.5980000000013,2.445326666666671,0.23805138947399973,0.5431034482758621,464,4,0.9728093442110876
4.0,20.0,25.0,0.7,ORIG,TP2,733.5980000000013,2.445326666666671,0.23805138947399973,0.5431034482758621,464,4,0.9728093442110876
4.0,20.0,25.0,0.3,ORIG,TP2,733.5980000000013,2.445326666666671,0.23805138947399973,0.5431034482758621,464,4,0.9728093442110876
8.0,20.0,20.0,0.3,BE+2,TP2,770.6110000000031,2.5687033333333433,0.275885776964102,0.5538793103448276,464,4,0.9709554331236689
8.0,20.0,20.0,0.5,BE+2,TP2,770.6110000000031,2.5687033333333433,0.275885776964102,0.5538793103448276,464,4,0.9709554331236689
8.0,20.0,25.0,0.7,BE+2,TP2,738.6570000000017,2.462190000000006,0.2468521493917432,0.5517241379310345,464,4,0.9678007961357826
10.0,15.0,20.0,0.3,ORIG,TP2,797.314000000004,2.6577133333333465,0.30414295146637166,0.5387931034482759,464,4,0.9668731194810009
8.0,30.0,20.0,0.7,BE+2,TP2,756.856000000003,2.522853333333343,0.2657829962523777,0.5538793103448276,464,4,0.9665834911748795
5.0,20.0,20.0,0.7,ORIG,TP2,812.1860000000027,2.7072866666666755,0.31853946047106046,0.5689655172413793,464,4,0.965918631677796
5.0,30.0,25.0,0.5,ORIG,TP2,733.019000000002,2.4433966666666733,0.24264288385104305,0.540948275862069,464,4,0.9658212545687291
5.0,30.0,25.0,0.7,ORIG,TP2,733.019000000002,2.4433966666666733,0.24264288385104305,0.540948275862069,464,4,0.9658212545687291
5.0,30.0,25.0,0.3,ORIG,TP2,733.019000000002,2.4433966666666733,0.24264288385104305,0.540948275862069,464,4,0.9658212545687291
10.0,20.0,25.0,0.5,ORIG,TP2,728.7380000000026,2.4291266666666753,0.23991104949899647,0.5344827586206896,464,4,0.9636518794969686
10.0,20.0,25.0,0.3,ORIG,TP2,728.7380000000026,2.4291266666666753,0.23991104949899647,0.5344827586206896,464,4,0.9636518794969686
8.0,30.0,20.0,0.7,BE,TP2,751.0910000000029,2.5036366666666763,0.26245922707050195,0.5538793103448276,464,4,0.9634243849930259
6.0,15.0,25.0,0.5,ORIG,TP2,734.1970000000022,2.4473233333333404,0.24741634824840142,0.5452586206896551,464,4,0.9609828401827586
6.0,15.0,25.0,0.7,ORIG,TP2,734.1970000000022,2.4473233333333404,0.24741634824840142,0.5452586206896551,464,4,0.9609828401827586
6.0,15.0,25.0,0.3,ORIG,TP2,734.1970000000022,2.4473233333333404,0.24741634824840142,0.5452586206896551,464,4,0.9609828401827586
10.0,15.0,20.0,0.5,ORIG,TP2,792.314000000004,2.64104666666668,0.30414295146637166,0.5387931034482759,464,4,0.9605823187537513
4.0,15.0,25.0,0.7,ORIG,TP2,731.6560000000015,2.4388533333333386,0.24523639236115038,0.5474137931034483,464,4,0.9604588538034421
4.0,15.0,25.0,0.5,ORIG,TP2,731.6560000000015,2.4388533333333386,0.24523639236115038,0.5474137931034483,464,4,0.9604588538034421
4.0,15.0,25.0,0.3,ORIG,TP2,731.6560000000015,2.4388533333333386,0.24523639236115038,0.5474137931034483,464,4,0.9604588538034421
6.0,20.0,25.0,0.7,BE+2,TP2,745.3180000000009,2.4843933333333363,0.2598870697244509,0.5711206896551724,464,4,0.9591809541602507
4.0,30.0,20.0,0.7,ORIG,TP2,771.9660000000019,2.5732200000000063,0.28681172635330393,0.5581896551724138,464,4,0.957962202370987
8.0,20.0,25.0,0.7,ORIG,TP2,729.6190000000022,2.432063333333341,0.24615671610151485,0.5323275862068966,464,4,0.9564284386944669
4.0,30.0,25.0,0.5,ORIG,TP2,705.0760000000016,2.3502533333333386,0.22130269244050668,0.5366379310344828,464,4,0.9557644889696703
4.0,30.0,25.0,0.3,ORIG,TP2,705.0760000000016,2.3502533333333386,0.22130269244050668,0.5366379310344828,464,4,0.9557644889696703
4.0,30.0,25.0,0.7,ORIG,TP2,705.0760000000016,2.3502533333333386,0.22130269244050668,0.5366379310344828,464,4,0.9557644889696703
8.0,25.0,25.0,0.5,BE+2,TP2,734.4810000000014,2.4482700000000044,0.251701367580216,0.5517241379310345,464,4,0.955584806452488
8.0,25.0,25.0,0.3,BE+2,TP2,734.4810000000014,2.4482700000000044,0.251701367580216,0.5517241379310345,464,4,0.955584806452488
4.0,30.0,20.0,0.3,ORIG,TP2,794.1030000000032,2.647010000000011,0.3099757927389381,0.5474137931034483,464,4,0.9549633809019961
4.0,25.0,20.0,0.5,ORIG,TP2,810.788000000003,2.7026266666666765,0.32575253100980767,0.5474137931034483,464,4,0.9544582227515472
6.0,20.0,25.0,0.3,BE+2,TP2,741.3180000000009,2.471060000000003,0.2598870697244509,0.5711206896551724,464,4,0.9537996642510118
6.0,20.0,25.0,0.5,BE+2,TP2,741.3180000000009,2.471060000000003,0.2598870697244509,0.5711206896551724,464,4,0.9537996642510118
5.0,25.0,20.0,0.5,ORIG,TP2,817.8460000000034,2.7261533333333445,0.334197723709911,0.5495689655172413,464,4,0.9517246531555881
5.0,25.0,20.0,0.7,ORIG,TP2,785.5530000000022,2.618510000000007,0.3045081128489984,0.5625,464,4,0.9515195013643002
10.0,25.0,25.0,0.7,BE,TP2,729.7990000000016,2.4326633333333385,0.2504092206883929,0.5387931034482759,464,4,0.9509342311774577
6.0,25.0,25.0,0.5,ORIG,TP2,726.002000000002,2.4200066666666733,0.2471318240899664,0.5344827586206896,464,4,0.9501423324642853
6.0,25.0,25.0,0.3,ORIG,TP2,726.002000000002,2.4200066666666733,0.2471318240899664,0.5344827586206896,464,4,0.9501423324642853
6.0,25.0,25.0,0.7,ORIG,TP2,726.002000000002,2.4200066666666733,0.2471318240899664,0.5344827586206896,464,4,0.9501423324642853
10.0,30.0,25.0,0.5,BE+2,TP2,735.3360000000023,2.4511200000000075,0.2567283458911706,0.5366379310344828,464,4,0.949961796002739
10.0,30.0,25.0,0.3,BE+2,TP2,735.3360000000023,2.4511200000000075,0.2567283458911706,0.5366379310344828,464,4,0.949961796002739
6.0,20.0,25.0,0.5,ORIG,TP2,735.1670000000022,2.450556666666674,0.256644982856669,0.5387931034482759,464,4,0.9498444827760055
6.0,20.0,25.0,0.3,ORIG,TP2,735.1670000000022,2.450556666666674,0.256644982856669,0.5387931034482759,464,4,0.9498444827760055
4.0,25.0,25.0,0.5,ORIG,TP2,704.5360000000012,2.3484533333333375,0.22526792826281108,0.5387931034482759,464,4,0.9496452522931489
4.0,25.0,25.0,0.3,ORIG,TP2,704.5360000000012,2.3484533333333375,0.22526792826281108,0.5387931034482759,464,4,0.9496452522931489
4.0,25.0,25.0,0.7,ORIG,TP2,704.5360000000012,2.3484533333333375,0.22526792826281108,0.5387931034482759,464,4,0.9496452522931489
8.0,20.0,20.0,0.7,ORIG,TP2,769.8460000000032,2.566153333333344,0.2910390985363977,0.5366379310344828,464,4,0.9495052371647286
10.0,20.0,25.0,0.7,BE+2,TP2,720.0770000000018,2.4002566666666727,0.24230834029343526,0.5387931034482759,464,4,0.9484594166840599
10.0,20.0,25.0,0.7,BE,TP2,723.4100000000019,2.411366666666673,0.2464543552011011,0.5387931034482759,464,4,0.9474802888554946
8.0,20.0,20.0,0.3,BE,TP2,759.2050000000031,2.530683333333344,0.2835133109402319,0.5538793103448276,464,4,0.9457463887283949
8.0,20.0,20.0,0.5,BE,TP2,759.2050000000031,2.530683333333344,0.2835133109402319,0.5538793103448276,464,4,0.9457463887283949
8.0,20.0,20.0,0.7,BE,TP2,755.2000000000025,2.5173333333333416,0.2801266492057886,0.5538793103448276,464,4,0.9450291637472786
10.0,30.0,20.0,0.7,BE,TP2,758.0410000000029,2.526803333333343,0.28340140228045857,0.5387931034482759,464,4,0.9443631061545222
4.0,25.0,20.0,0.3,ORIG,TP2,802.029000000003,2.67343000000001,0.32575253100980767,0.5474137931034483,464,4,0.9435963752943317
10.0,30.0,25.0,0.3,ORIG,TP2,729.6830000000025,2.432276666666675,0.2561150991678765,0.5301724137931034,464,4,0.9430723347219152
10.0,30.0,25.0,0.5,ORIG,TP2,729.6830000000025,2.432276666666675,0.2561150991678765,0.5301724137931034,464,4,0.9430723347219152
10.0,15.0,20.0,0.7,ORIG,TP2,778.0260000000028,2.5934200000000094,0.30414295146637166,0.5387931034482759,464,4,0.9423844835073255
4.0,30.0,20.0,0.5,ORIG,TP2,783.6180000000031,2.6120600000000103,0.3099757927389381,0.5474137931034483,464,4,0.9416718618563171
8.0,25.0,25.0,0.7,BE,TP2,729.5340000000017,2.4317800000000056,0.25709048521349015,0.5517241379310345,464,4,0.9415513444475953
6.0,30.0,25.0,0.3,ORIG,TP2,734.3700000000024,2.447900000000008,0.2632746419007943,0.5344827586206896,464,4,0.9398097475764374
6.0,30.0,25.0,0.7,ORIG,TP2,734.3700000000024,2.447900000000008,0.2632746419007943,0.5344827586206896,464,4,0.9398097475764374
6.0,30.0,25.0,0.5,ORIG,TP2,734.3700000000024,2.447900000000008,0.2632746419007943,0.5344827586206896,464,4,0.9398097475764374
8.0,30.0,25.0,0.3,BE+2,TP2,729.6350000000023,2.432116666666674,0.2594991216898423,0.5495689655172413,464,4,0.9384381201632694
8.0,30.0,25.0,0.5,BE+2,TP2,729.6350000000023,2.432116666666674,0.2594991216898423,0.5495689655172413,464,4,0.9384381201632694
10.0,20.0,25.0,0.7,ORIG,TP2,729.1000000000022,2.4303333333333406,0.25986455086894855,0.5344827586206896,464,4,0.9372112784831059
5.0,30.0,20.0,0.3,ORIG,TP2,795.5430000000038,2.6518100000000127,0.3249880453112837,0.5495689655172413,464,4,0.9365085645445985
6.0,20.0,20.0,0.5,ORIG,TP2,788.9670000000037,2.6298900000000125,0.3195328574326466,0.5387931034482759,464,4,0.9355726626858544
5.0,25.0,20.0,0.3,ORIG,TP2,804.5210000000034,2.6817366666666778,0.334197723709911,0.5495689655172413,464,4,0.9352976675968498
8.0,20.0,25.0,0.7,BE,TP2,724.1760000000017,2.413920000000006,0.256352152160111,0.5517241379310345,464,4,0.93517657669348
8.0,30.0,25.0,0.7,ORIG,TP2,728.5880000000025,2.4286266666666747,0.26087966136656376,0.5280172413793104,464,4,0.9351383969954185
10.0,20.0,20.0,0.7,BE+2,TP2,759.6550000000025,2.5321833333333417,0.2920233784157325,0.5387931034482759,464,4,0.9348503473292205
8.0,15.0,20.0,0.3,ORIG,TP2,773.3310000000038,2.5777700000000126,0.305288336446652,0.5366379310344828,464,4,0.9347854298871384
8.0,15.0,20.0,0.5,ORIG,TP2,773.3310000000038,2.5777700000000126,0.305288336446652,0.5366379310344828,464,4,0.9347854298871384
10.0,25.0,25.0,0.5,ORIG,TP2,715.9570000000019,2.3865233333333395,0.2501453186357666,0.5323275862068966,464,4,0.9321414544768147
10.0,25.0,25.0,0.3,ORIG,TP2,715.9570000000019,2.3865233333333395,0.2501453186357666,0.5323275862068966,464,4,0.9321414544768147
10.0,25.0,25.0,0.7,ORIG,TP2,715.9570000000019,2.3865233333333395,0.2501453186357666,0.5323275862068966,464,4,0.9321414544768147
10.0,30.0,25.0,0.7,BE+2,TP2,728.3240000000019,2.427746666666673,0.2632387269743681,0.5366379310344828,464,4,0.9315912480625682
10.0,30.0,25.0,0.7,BE,TP2,730.878000000002,2.4362600000000065,0.26628881068070825,0.5366379310344828,464,4,0.930974182081317
6.0,20.0,20.0,0.3,ORIG,TP2,784.9470000000038,2.6164900000000126,0.3195328574326466,0.5387931034482759,464,4,0.9304643673892699
10.0,30.0,25.0,0.3,BE,TP2,726.7160000000024,2.4223866666666747,0.2634789848415244,0.5366379310344828,464,4,0.9290566505266108
10.0,30.0,25.0,0.5,BE,TP2,726.7160000000024,2.4223866666666747,0.2634789848415244,0.5366379310344828,464,4,0.9290566505266108
8.0,20.0,25.0,0.5,ORIG,TP2,724.1030000000026,2.4136766666666754,0.2610564639987736,0.5323275862068966,464,4,0.9287249464058117
8.0,20.0,25.0,0.3,ORIG,TP2,724.1030000000026,2.4136766666666754,0.2610564639987736,0.5323275862068966,464,4,0.9287249464058117
4.0,25.0,20.0,0.7,ORIG,TP2,772.8060000000016,2.5760200000000055,0.31031935226256413,0.5581896551724138,464,4,0.9273144466326636
8.0,25.0,25.0,0.3,BE,TP2,723.7740000000017,2.4125800000000055,0.26238666532763705,0.5517241379310345,464,4,0.9264747161106566
8.0,25.0,25.0,0.5,BE,TP2,723.7740000000017,2.4125800000000055,0.26238666532763705,0.5517241379310345,464,4,0.9264747161106566
6.0,20.0,20.0,0.7,ORIG,TP2,781.8120000000029,2.6060400000000095,0.3195328574326466,0.5431034482758621,464,4,0.9264624702449538
8.0,15.0,20.0,0.7,BE,TP2,730.7220000000027,2.435740000000009,0.26957856806267666,0.5560344827586207,464,4,0.9263195449186267
8.0,30.0,25.0,0.5,BE,TP2,731.6370000000024,2.438790000000008,0.27067901495336744,0.5495689655172413,464,4,0.92608534447884
8.0,30.0,25.0,0.3,BE,TP2,731.6370000000024,2.438790000000008,0.27067901495336744,0.5495689655172413,464,4,0.92608534447884
5.0,30.0,20.0,0.5,ORIG,TP2,787.0580000000036,2.6235266666666788,0.3249880453112837,0.5495689655172413,464,4,0.9257856074612089
8.0,25.0,25.0,0.5,ORIG,TP2,718.2090000000021,2.394030000000007,0.25749576386918466,0.5301724137931034,464,4,0.9253588571621895
8.0,25.0,25.0,0.7,ORIG,TP2,718.2090000000021,2.394030000000007,0.25749576386918466,0.5301724137931034,464,4,0.9253588571621895
8.0,25.0,25.0,0.3,ORIG,TP2,718.2090000000021,2.394030000000007,0.25749576386918466,0.5301724137931034,464,4,0.9253588571621895
10.0,20.0,20.0,0.7,BE,TP2,772.2760000000028,2.574253333333343,0.31127648294684757,0.5387931034482759,464,4,0.9253362724511743
10.0,25.0,25.0,0.3,BE,TP2,717.0770000000016,2.390256666666672,0.2568476508565828,0.5387931034482759,464,4,0.9246564234316755
10.0,25.0,25.0,0.5,BE,TP2,717.0770000000016,2.390256666666672,0.2568476508565828,0.5387931034482759,464,4,0.9246564234316755
8.0,30.0,25.0,0.5,ORIG,TP2,731.8430000000023,2.4394766666666743,0.272081739952859,0.5280172413793104,464,4,0.9244731864901249
8.0,30.0,25.0,0.3,ORIG,TP2,731.8430000000023,2.4394766666666743,0.272081739952859,0.5280172413793104,464,4,0.9244731864901249
10.0,20.0,20.0,0.7,ORIG,TP2,770.9540000000029,2.569846666666676,0.31127648294684757,0.5344827586206896,464,4,0.9236229823733776
6.0,30.0,25.0,0.7,BE+2,TP2,724.6490000000013,2.415496666666671,0.2665261260213429,0.5668103448275862,464,4,0.9220946549060205
6.0,30.0,25.0,0.3,BE+2,TP2,724.6490000000013,2.415496666666671,0.2665261260213429,0.5668103448275862,464,4,0.9220946549060205
6.0,30.0,25.0,0.5,BE+2,TP2,724.6490000000013,2.415496666666671,0.2665261260213429,0.5668103448275862,464,4,0.9220946549060205
8.0,20.0,25.0,0.5,BE+2,TP2,721.4850000000022,2.404950000000007,0.26462044158671294,0.5517241379310345,464,4,0.9202915171787595
8.0,20.0,25.0,0.3,BE+2,TP2,721.4850000000022,2.404950000000007,0.26462044158671294,0.5517241379310345,464,4,0.9202915171787595
8.0,30.0,25.0,0.7,BE+2,TP2,725.3040000000019,2.4176800000000065,0.269062456138749,0.5495689655172413,464,4,0.919574086869977
8.0,15.0,20.0,0.7,ORIG,TP2,759.604000000003,2.532013333333343,0.305288336446652,0.5431034482758621,464,4,0.9168755159945251
8.0,30.0,25.0,0.7,BE,TP2,728.4700000000018,2.4282333333333397,0.2752009980753715,0.5495689655172413,464,4,0.9156426222214762
5.0,25.0,25.0,0.7,ORIG,TP2,708.2420000000016,2.360806666666672,0.2554170991404944,0.540948275862069,464,4,0.9141902847044424
5.0,25.0,25.0,0.3,ORIG,TP2,708.2420000000016,2.360806666666672,0.2554170991404944,0.540948275862069,464,4,0.9141902847044424
5.0,25.0,25.0,0.5,ORIG,TP2,708.2420000000016,2.360806666666672,0.2554170991404944,0.540948275862069,464,4,0.9141902847044424
8.0,15.0,25.0,0.7,ORIG,TP2,695.2590000000021,2.3175300000000068,0.24523639236115038,0.5387931034482759,464,4,0.9094328336703562
8.0,15.0,25.0,0.3,ORIG,TP2,695.2590000000021,2.3175300000000068,0.24523639236115038,0.5387931034482759,464,4,0.9094328336703562
8.0,15.0,25.0,0.5,ORIG,TP2,695.2590000000021,2.3175300000000068,0.24523639236115038,0.5387931034482759,464,4,0.9094328336703562
10.0,25.0,25.0,0.5,BE+2,TP2,701.7120000000014,2.3390400000000047,0.2522011223333106,0.5387931034482759,464,4,0.9092690736312014
10.0,25.0,25.0,0.3,BE+2,TP2,701.7120000000014,2.3390400000000047,0.2522011223333106,0.5387931034482759,464,4,0.9092690736312014
10.0,20.0,25.0,0.3,BE+2,TP2,715.002000000002,2.3833400000000067,0.266281465829082,0.5387931034482759,464,4,0.9090228863674337
10.0,20.0,25.0,0.5,BE+2,TP2,715.002000000002,2.3833400000000067,0.266281465829082,0.5387931034482759,464,4,0.9090228863674337
6.0,15.0,25.0,0.3,BE+2,TP2,720.5340000000012,2.401780000000004,0.27225365708769594,0.5732758620689655,464,4,0.9086676920533704
6.0,15.0,25.0,0.5,BE+2,TP2,720.5340000000012,2.401780000000004,0.27225365708769594,0.5732758620689655,464,4,0.9086676920533704
6.0,15.0,25.0,0.7,BE+2,TP2,720.5340000000012,2.401780000000004,0.27225365708769594,0.5732758620689655,464,4,0.9086676920533704
6.0,25.0,25.0,0.7,BE,TP2,703.7450000000013,2.345816666666671,0.2550832865490107,0.5689655172413793,464,4,0.9082711631355601
6.0,25.0,25.0,0.5,BE,TP2,703.7450000000013,2.345816666666671,0.2550832865490107,0.5689655172413793,464,4,0.9082711631355601
6.0,25.0,25.0,0.3,BE,TP2,703.7450000000013,2.345816666666671,0.2550832865490107,0.5689655172413793,464,4,0.9082711631355601
8.0,25.0,25.0,0.7,BE+2,TP2,725.5830000000017,2.4186100000000055,0.2789687586873677,0.5517241379310345,464,4,0.9065851707558822
4.0,20.0,20.0,0.3,ORIG,TP2,775.2100000000028,2.5840333333333425,0.33005160018651897,0.5495689655172413,464,4,0.9037818254821562
4.0,20.0,20.0,0.5,ORIG,TP2,775.2100000000028,2.5840333333333425,0.33005160018651897,0.5495689655172413,464,4,0.9037818254821562
6.0,25.0,25.0,0.5,BE+2,TP2,718.3090000000009,2.3943633333333363,0.2736610801523244,0.5689655172413793,464,4,0.903674905724163
6.0,25.0,25.0,0.7,BE+2,TP2,718.3090000000009,2.3943633333333363,0.2736610801523244,0.5689655172413793,464,4,0.903674905724163
6.0,25.0,25.0,0.3,BE+2,TP2,718.3090000000009,2.3943633333333363,0.2736610801523244,0.5689655172413793,464,4,0.903674905724163
8.0,30.0,20.0,0.3,ORIG,TP2,707.0390000000039,2.3567966666666793,0.2621403145840052,0.5301724137931034,464,4,0.9034139276896896
8.0,30.0,20.0,0.5,ORIG,TP2,707.0390000000039,2.3567966666666793,0.2621403145840052,0.5301724137931034,464,4,0.9034139276896896
8.0,20.0,25.0,0.5,BE,TP2,724.183000000002,2.41394333333334,0.28227715821590826,0.5517241379310345,464,4,0.9001874846299399
8.0,20.0,25.0,0.3,BE,TP2,724.183000000002,2.41394333333334,0.28227715821590826,0.5517241379310345,464,4,0.9001874846299399
4.0,20.0,20.0,0.7,ORIG,TP2,772.0750000000014,2.573583333333338,0.33005160018651897,0.5560344827586207,464,4,0.899729560657063
4.0,20.0,25.0,0.3,BE+2,TP2,668.488,2.2282933333333337,0.22470486437681056,0.5905172413793104,464,4,0.8978844041802365
4.0,20.0,25.0,0.5,BE+2,TP2,668.488,2.2282933333333337,0.22470486437681056,0.5905172413793104,464,4,0.8978844041802365
4.0,20.0,25.0,0.7,BE+2,TP2,668.488,2.2282933333333337,0.22470486437681056,0.5905172413793104,464,4,0.8978844041802365
10.0,30.0,20.0,0.7,BE+2,TP2,736.7940000000026,2.4559800000000087,0.2970630717380838,0.5387931034482759,464,4,0.8974907200828539
10.0,20.0,25.0,0.3,BE,TP2,717.273000000002,2.3909100000000065,0.27762429062795213,0.5387931034482759,464,4,0.8968812542656803
10.0,20.0,25.0,0.5,BE,TP2,717.273000000002,2.3909100000000065,0.27762429062795213,0.5387931034482759,464,4,0.8968812542656803
