p_risk,year,final,return_pct,dd_pct,max_nominal_risk_pct,max_day_loss_pct,b_trades,p_trades,stall_b,stall_p
0.03,2018,336.63599999999997,12.211999999999978,10.157634274073336,7.290941369894971,4.345370680027036,95,0,False,True
0.03,2019,290.87899999999945,-3.0403333333335114,17.362265087686247,7.0680369234249,5.974375901757356,91,0,False,True
0.03,2020,437.8060000000007,45.935333333333574,23.666213036859375,9.99245569594956,8.75566655795046,88,0,False,True
0.03,2021,382.297,27.432333333333347,23.734089531561196,9.987864744335635,9.074451335986097,92,0,False,True
0.03,2022,393.37600000000134,31.12533333333378,22.19104031910878,9.965991055522998,6.944893563038834,98,0,False,True
0.03,2023,487.69800000000055,62.56600000000019,21.369691932091897,9.9943781622837,9.08626270657049,92,0,False,True
0.03,2024,554.1750000000027,84.72500000000089,31.48866666666671,9.90788147201391,8.61938931626694,95,0,False,True
0.03,2025,487.14399999999796,62.38133333333265,23.22353243474248,9.877006575617168,8.636622735045727,76,0,False,True
0.03,2026,566.5500000000002,88.85000000000005,25.0,9.83888820563276,8.610483263373153,46,0,False,True
0.05,2018,336.63599999999997,12.211999999999978,10.157634274073336,7.290941369894971,4.345370680027036,95,0,False,True
0.05,2019,290.87899999999945,-3.0403333333335114,17.362265087686247,7.0680369234249,5.974375901757356,91,0,False,True
0.05,2020,542.6010000000006,80.8670000000002,25.316894229051574,14.496290157743777,8.396517124696665,88,20,False,True
0.05,2021,357.0830000000001,19.027666666666686,30.018288111427506,14.78611879167838,9.628183619089803,92,7,False,True
0.05,2022,393.37600000000134,31.12533333333378,22.19104031910878,9.965991055522998,6.944893563038834,98,0,False,True
0.05,2023,378.4890000000007,26.163000000000245,36.34989960455236,12.61447637308573,12.268282808455282,92,5,False,True
0.05,2024,589.9840000000029,96.66133333333428,31.48866666666671,12.867556386704345,8.61938931626694,95,12,False,True
0.05,2025,384.4709999999982,28.15699999999939,32.0963852521176,13.065689933757007,9.744902806775674,76,12,False,True
0.05,2026,584.0700000000006,94.69000000000021,25.0,12.683112435791728,8.58240178513956,46,6,False,True
0.1,2018,352.72399999999993,17.57466666666665,16.554741614418585,13.356529172329276,7.233512419216654,95,42,False,False
0.1,2019,298.4369999999999,-0.5210000000000381,22.268995605033307,13.415705766741128,8.992689950527957,91,38,False,False
0.1,2020,629.796000000001,109.93200000000031,31.98957770808925,18.849386334666097,10.307073486857172,88,35,False,False
0.1,2021,305.67999999999984,1.8933333333332802,31.573369435156856,19.608900479927858,9.89364333415781,92,45,False,False
0.1,2022,502.0420000000024,67.34733333333413,37.198190962273564,19.918434012717867,19.458328772787464,98,32,False,False
0.1,2023,392.7930000000015,30.931000000000488,42.385875926648254,18.661764843101146,15.606710885680819,92,35,False,False
0.1,2024,199.52400000000011,-33.49199999999997,33.49199999999996,16.194200856673213,14.673514306676442,18,4,True,True
0.1,2025,529.9169999999986,76.63899999999953,51.6603119649774,19.24784243716184,18.294997690256583,76,45,False,False
0.1,2026,869.590000000001,189.86333333333369,26.229508196721312,19.367646346777676,8.828852690592843,46,39,False,False
