tp2,sl2,b_train_final,b_train_dd,b_train_wr,b_train_pos_years,b_oos_final,b_oos_dd,b_oos_wr,b_oos_pos_years,b_oos_reentries,b_oos_maxdayloss,b_oos_max_second_risk,ab_train_final,ab_train_dd,ab_train_wr,ab_train_pos_years,ab_oos_final,ab_oos_dd,ab_oos_wr,ab_oos_pos_years,ab_oos_reentries,ab_oos_maxdayloss,ab_oos_maxrisk,ab_ret_2023,ab_ret_2024,ab_ret_2025,ab_ret_2026
4.0,6.0,194.63099999999986,0.42683605587016693,0.6162528216704289,2,647.8370000000007,0.35721987677237255,0.7321428571428571,2,195,0.09838694602000196,0.049952711433176554,197.72699999999872,0.4134192070819158,0.536036036036036,1,1480.1379999999986,0.5431056591944945,0.7117263843648208,4,195,0.19877988904106622,0.19877988904106622,0.2779033333333345,0.6227283753857216,0.7716212805835629,0.3429697551486297
4.0,8.0,193.00499999999965,0.40669890288250815,0.6275395033860045,1,657.4400000000003,0.3579350675539422,0.7579365079365079,3,195,0.09944657978350477,0.049887752556747295,198.9979999999989,0.38608528255786173,0.5388127853881278,1,1425.3949999999986,0.49239842543780404,0.7328990228013029,4,195,0.19872912723135575,0.19961009494786863,0.18184666666666782,0.4932055483790878,0.9387086294109415,0.388739228074962
4.0,10.0,191.88499999999976,0.41618620217540225,0.6312217194570136,1,613.79,0.3278734075216383,0.7757936507936508,3,195,0.09962565659534307,0.04985127702354642,196.84799999999882,0.39155995289448786,0.5330188679245284,1,1771.723999999998,0.5185143989976487,0.747557003257329,4,195,0.1854590807720666,0.19897488141097075,0.3919833333333349,0.3403465079802168,0.9987136471319678,0.5837007161730696
4.0,12.0,185.82399999999961,0.43746121314681513,0.6216931216931217,1,514.9810000000002,0.31811513398907904,0.7757936507936508,3,195,0.09135611298010488,0.04985086283535075,195.36399999999912,0.3992219813337041,0.5373831775700935,1,1231.0389999999982,0.5272893232315072,0.747557003257329,4,195,0.18844835160693482,0.19750404266087335,0.3429100000000025,0.3052500415763735,0.6374232195493001,0.4297134043870263
4.0,15.0,192.92599999999925,0.39546266411807357,0.6246418338108882,1,519.6640000000002,0.34383636648067983,0.784,3,191,0.0977733743546957,0.049794184039304135,199.73099999999909,0.3887550839910543,0.5339805825242718,1,1135.9239999999982,0.5386676600446184,0.750814332247557,4,195,0.1930213143786407,0.19855304468684443,0.5584500000000026,0.14237222881709033,0.5594936519259526,0.3637786880915914
4.0,20.0,196.80699999999933,0.39816397613536175,0.627906976744186,1,604.9159999999997,0.3966945308728715,0.8141176470588235,3,116,0.09984756604916499,0.04994281547627968,198.02099999999905,0.3847700122722276,0.5360824742268041,0,1704.3049999999964,0.5311972040624616,0.7684391080617495,4,164,0.18093304911766941,0.19819027505094197,0.703960000000001,0.2806482155293122,0.7540693376022667,0.48419191765254155
6.0,6.0,350.6940000000027,0.4397846819049605,0.637223974763407,3,195.33500000000004,0.45011837367797314,0.6341463414634146,0,56,0.09287853809181042,0.04920210585013037,198.8199999999988,0.4176059803622916,0.5348837209302325,1,1437.9139999999984,0.5757202810307834,0.6840390879478827,4,195,0.165303942292394,0.1990191672042951,0.15229666666666697,0.8204513305311982,0.6874259109183061,0.3540776371721255
6.0,8.0,387.3630000000014,0.3520612323000407,0.6514195583596214,3,744.6099999999999,0.40316959929659774,0.7261904761904762,3,195,0.09925410539793456,0.04999172012135503,198.13499999999908,0.38149495075621886,0.5330188679245284,1,1646.1739999999977,0.5102826932985643,0.7068403908794788,4,195,0.19980452457345935,0.19980452457345935,0.11935333333333431,0.5799539019552917,1.2752912970872172,0.3636592570747885
6.0,10.0,385.7730000000006,0.371773596312252,0.6593059936908517,2,754.5809999999997,0.40102654307693464,0.748015873015873,3,195,0.09943063532447327,0.04995163017145067,197.2169999999992,0.39444360858391375,0.5384615384615384,1,2170.8049999999967,0.5346899231258397,0.7247557003257329,4,195,0.1952845749596358,0.1982152369704458,0.3733433333333347,0.4174411351373608,1.4962841829483384,0.48909147656922647
6.0,12.0,195.70199999999954,0.41138892147220657,0.5432692307692307,1,484.33799999999974,0.38602474342097554,0.7489795918367347,2,181,0.0951615128777318,0.04996481644175563,196.39299999999935,0.40002443979409597,0.5391705069124424,1,1281.0919999999974,0.5521629360394034,0.7263843648208469,4,195,0.1654444458231486,0.19994401567561113,0.2905733333333358,0.4269471965947893,0.8047763333659133,0.2848282806401021
