reclaim,wait,tp2,sl2,b_train_final,b_train_dd,b_train_wr,b_train_pos_years,b_oos_final,b_oos_dd,b_oos_wr,b_oos_pos_years,b_oos_reclaims,ab_train_final,ab_train_dd,ab_train_wr,ab_train_pos_years,ab_oos_final,ab_oos_dd,ab_oos_wr,ab_oos_pos_years,ab_oos_reclaims,ab_oos_maxdayloss,ab_oos_maxrisk,ab_ret_2023,ab_ret_2024,ab_ret_2025,ab_ret_2026,train_score
3.0,240,12.0,6.0,837.175000000004,0.4085728377093431,0.6368421052631579,2,468.0449999999978,0.5295660683008678,0.6801801801801802,4,135,1619.3150000000064,0.4299353150197976,0.6273932253313697,4,1278.174999999994,0.7087052329334291,0.6678700361010831,4,135,0.17412123190771725,0.19960909884809114,0.5926000000000013,0.26295993972120413,0.13217725055806673,0.8709335089837966,1.4685568808674805
2.0,240,12.0,6.0,689.4630000000022,0.42544547691490064,0.6348122866894198,3,366.41399999999953,0.4797858639933339,0.6703296703296703,3,146,1520.9790000000028,0.40021989325542584,0.6258992805755396,4,1109.2459999999967,0.631581332381715,0.6601769911504425,4,146,0.19698465735750087,0.19698465735750087,0.8102866666666682,0.20091661357501245,0.23619252347052044,0.375815818000959,1.4430521442323834
1.5,60,10.0,6.0,682.7219999999991,0.35541438627933036,0.6458333333333334,3,484.2300000000014,0.4188946892404351,0.690744920993228,3,134,1305.2269999999976,0.3507804713509556,0.635036496350365,4,984.0060000000005,0.5281562341208949,0.6763110307414105,4,134,0.1986735231106974,0.19999850001124977,0.25994666666666943,0.26843464273620143,0.6143690243780309,0.27131572623468014,1.3518741871451359
2.0,120,15.0,8.0,679.5520000000015,0.41996835316144376,0.6505190311418685,2,547.9820000000007,0.5026434836614547,0.6837416481069042,3,140,1371.0420000000015,0.41972035968605376,0.6390101892285298,4,1610.0269999999966,0.6349561780545971,0.6708407871198568,4,140,0.18432721029062007,0.19875109778926753,0.8073333333333335,0.6798247879011385,0.18689702800062769,0.4893494797077238,1.3148933894026225
1.5,60,15.0,8.0,684.4150000000009,0.3678497382822036,0.6527777777777778,2,607.2449999999992,0.4005498456972759,0.6975169300225733,4,134,1262.1230000000007,0.3904578298621668,0.6408759124087591,4,1785.7689999999968,0.5931026374642597,0.6817359855334539,4,134,0.1742238689604215,0.19858902497753514,0.3736166666666667,0.4164771831054239,0.6785230311679262,0.8226428882726464,1.2686957407102228
1.5,240,15.0,6.0,636.0610000000015,0.4192174728914516,0.6313131313131313,3,491.7109999999989,0.45321534912119066,0.6630669546436285,3,154,1267.6340000000012,0.4160514920316957,0.6230440967283073,4,774.3409999999981,0.5257001790521889,0.6544502617801047,4,154,0.1987311019142774,0.1990629113448447,0.21028999999999765,0.09306860339257339,0.30352324008072973,0.49677098857426905,1.2410606101026658
2.0,120,12.0,8.0,692.4350000000006,0.4011933988675634,0.6522491349480969,2,458.9999999999998,0.45019602285161625,0.6948775055679287,3,140,1231.5130000000004,0.40298827873427484,0.6404657933042213,4,1664.2339999999967,0.5873606840479715,0.6797853309481217,4,140,0.19263480101788288,0.19933919058321675,0.5646500000000008,0.6737545137890246,0.3062195475859506,0.6216905695971893,1.228480950663069
1.5,240,15.0,8.0,705.8190000000027,0.3440284870722607,0.6447811447811448,3,554.9699999999982,0.45828764096436947,0.6846652267818575,4,154,1197.7390000000025,0.3887782154333561,0.6344238975817923,4,1723.5769999999948,0.6304394500702436,0.6719022687609075,4,154,0.1752907269744688,0.1943002035294643,0.3007799999999967,0.5516766862959102,0.6111471684527441,0.7667257428168193,1.2184356478867115
1.5,120,15.0,10.0,632.5000000000009,0.39645742295308206,0.652542372881356,2,979.5289999999989,0.38834795575442405,0.7030567685589519,4,149,1165.6840000000009,0.3821899576527551,0.6409155937052933,4,1754.5549999999962,0.5640755982982145,0.6866197183098591,4,149,0.18090461351990691,0.19852266053452297,0.3702333333333323,0.40608168925000165,0.693007588261551,0.7930060139695807,1.1995433964510422
2.0,60,10.0,6.0,698.9610000000007,0.38872986920390457,0.6482142857142857,3,357.33000000000015,0.4573856985936289,0.6910755148741419,3,128,1154.6599999999992,0.38148532867473184,0.6367713004484304,4,1263.8169999999973,0.5773312119347657,0.676416819012797,4,128,0.17451683378471436,0.19849195735400307,0.6909500000000011,0.4899100111377237,0.20508885181308578,0.38756413198260575,1.1909220718258764
1.5,120,15.0,8.0,672.2890000000018,0.36013019412655217,0.6474576271186441,2,552.6379999999981,0.4505107420695433,0.6877729257641921,4,149,1163.5840000000012,0.3887782154333561,0.6366237482117311,4,1814.5159999999953,0.6299637770828201,0.6742957746478874,4,149,0.17505061880393868,0.19464503696865446,0.37010999999999816,0.47544357752296773,0.6102009049296238,0.8581528618066718,1.1895049321489126
2.0,240,12.0,8.0,644.5350000000014,0.40160059224017897,0.6467576791808873,2,450.70099999999934,0.4459679430134054,0.6901098901098901,3,146,1168.6180000000015,0.39722856808350554,0.6359712230215827,4,1563.5309999999956,0.6037112090704111,0.6761061946902654,4,146,0.1894780920693005,0.1998231565064932,0.7697499999999999,0.6572020530206693,0.18603284650792418,0.49830814800902146,1.1832589482875098
2.0,240,15.0,8.0,622.9780000000023,0.3994382082474434,0.6450511945392492,2,319.68199999999956,0.464140483220986,0.6791208791208792,2,146,1208.4100000000033,0.43563441400787756,0.6345323741007194,4,1520.678999999997,0.5978138292029975,0.6672566371681415,4,146,0.19311002733472496,0.19967378295709445,0.7926199999999988,0.6320785591294638,0.16630796767493594,0.4855037565486853,1.1687352327177256
1.5,120,15.0,6.0,641.7410000000004,0.41913245665362925,0.6338983050847458,3,512.3489999999993,0.4527213679360524,0.665938864628821,3,149,1166.7319999999988,0.4186559275856417,0.6251788268955651,4,1544.2869999999966,0.575240431078892,0.6566901408450704,4,149,0.17929527990234473,0.198007549037807,0.6917333333333333,0.19374802963429594,0.59492515486481,0.5981659693238157,1.1548595731031996
1.5,120,20.0,6.0,486.1419999999998,0.44189581546530926,0.6322033898305085,3,336.60900000000015,0.4873323906577616,0.6550218340611353,2,149,1172.259999999999,0.42608488460836,0.6237482117310443,4,1066.8989999999994,0.6037744240713389,0.647887323943662,4,149,0.1954718935851013,0.19934664138286803,0.8191866666666676,0.06141022728105239,0.049420737444134444,0.7550596398414875,1.1503002081201985
1.5,9999,15.0,6.0,627.4480000000008,0.4393009887614742,0.6287625418060201,3,468.4939999999999,0.4407630685234236,0.6624203821656051,3,162,1145.3080000000004,0.4230623408980114,0.620933521923621,4,1126.9119999999982,0.5819787730305398,0.6540447504302926,4,162,0.1995231396961267,0.1995231396961267,0.2809199999999994,0.07096722147622825,0.9436710752356363,0.40879496744641997,1.1308184746699743
2.0,120,15.0,12.0,565.2880000000009,0.4089628742679319,0.6626297577854672,2,718.4260000000004,0.3513668109850516,0.7060133630289532,4,140,1076.7870000000012,0.3801446744824141,0.6505847953216374,4,2459.898999999997,0.5359988134183048,0.6887298747763864,4,140,0.1885650135127039,0.19807353678126566,0.8588233333333355,0.8303586318943643,0.31077384603025027,0.8386283269514383,1.122773568250048
1.5,240,15.0,10.0,655.2050000000015,0.3909581527028227,0.6498316498316499,3,1017.2099999999987,0.4044881287206453,0.7019438444924406,4,154,1075.5220000000018,0.3821899576527551,0.6386913229018493,4,1892.2289999999962,0.5719288407336828,0.6858638743455497,4,154,0.18128602493226764,0.19903468179330291,0.398536666666665,0.37923210212578984,0.6870161334918572,0.9383044347176774,1.119041482378474
1.5,240,10.0,6.0,566.7100000000003,0.3337917981072549,0.6363636363636364,3,446.5010000000009,0.4719439173311562,0.6781857451403888,3,154,1023.7909999999995,0.35543613507083155,0.6273115220483642,4,994.6339999999993,0.5382387118391134,0.6666666666666666,4,154,0.19984162551178208,0.19984162551178208,0.19343,0.4445282365395,0.5442000220424845,0.24541905303305422,1.1031900397106538
0.5,60,20.0,6.0,612.3110000000008,0.5076334589346128,0.6175496688741722,3,188.27599999999984,0.49408571812441304,0.6166666666666667,0,53,1169.5970000000007,0.4691444735686113,0.6115007012622721,4,1247.6370000000038,0.5835437299421372,0.6460481099656358,4,163,0.19893074723361914,0.19920368327610236,0.13583666666666505,0.28648485257564316,0.46824721525830926,0.9384171512824719,1.0942014573957797
2.0,60,15.0,10.0,633.9320000000009,0.4072327675818271,0.6607142857142857,2,654.8310000000004,0.3876188092027164,0.7093821510297483,3,128,1082.2340000000013,0.41095897302600065,0.6472346786248132,4,2067.623999999997,0.5794041320697885,0.6910420475319927,4,128,0.19927781719050217,0.19986688865215796,0.7846666666666677,0.5717108703772826,0.5765103494499082,0.5585606773283172,1.0893015112593207
2.0,120,15.0,10.0,573.5450000000014,0.3942106353936641,0.6557093425605537,2,654.8190000000004,0.38957050449380315,0.6993318485523385,3,140,1065.961000000002,0.3997610764474641,0.6433770014556041,4,2067.399999999998,0.579489890313203,0.6833631484794276,4,140,0.19932230416583663,0.1999116390555377,0.7738533333333355,0.718003743263248,0.4508130196905433,0.5586550060313642,1.0881481984751462
1.5,9999,10.0,6.0,552.1089999999995,0.3413164141997046,0.6337792642140468,3,544.4270000000013,0.4148556019649063,0.6772823779193206,3,162,1007.3459999999986,0.3641332769360921,0.6251768033946252,4,1200.2949999999994,0.5410809299769263,0.6660929432013769,4,162,0.19506581032775944,0.19640673871520545,0.25841666666666696,0.4245811535659918,0.8840958322099555,0.18454645488233945,1.0761253577132037
1.5,60,15.0,10.0,621.3750000000002,0.4149977546611571,0.6579861111111112,2,982.0159999999996,0.387381183084155,0.7133182844243793,4,134,1021.2950000000008,0.4078434778293334,0.6452554744525547,4,2235.1569999999974,0.5378273113760145,0.6943942133815552,4,134,0.17828529658873407,0.19877613533474453,0.4793099999999997,0.45528883961666633,0.8396880375692679,0.8811966768701465,1.0352398869080626
0.5,60,10.0,6.0,468.51700000000073,0.4445516782696058,0.6258278145695364,3,603.6810000000028,0.5301983295217951,0.6779661016949152,2,163,991.2689999999993,0.3851444641578934,0.6185133239831697,4,1496.4300000000026,0.5633845235226941,0.6666666666666666,4,163,0.19977525284055436,0.19977525284055436,0.0635033333333308,0.9391507940736838,0.38103535222923446,0.7513781117236029,1.0337728856293193
