tp2,sl2,b_train_final,b_train_dd,b_train_wr,b_train_pos_years,b_train_score,b_oos_final,b_oos_dd,b_oos_wr,b_oos_trades,b_oos_reentries,b_oos_pos_years,ab_train_final,ab_train_dd,ab_train_wr,ab_train_pos_years,ab_train_score,ab_oos_final,ab_oos_dd,ab_oos_wr,ab_oos_trades,ab_oos_reentries,ab_oos_pos_years,ab_oos_maxrisk,ab_oos_maxdayloss,b_full_final,ab_full_final,b_ret_2023,b_ret_2024,b_ret_2025,b_ret_2026,ab_ret_2023,ab_ret_2024,ab_ret_2025,ab_ret_2026
12.0,20.0,718.154000000002,0.3899625491530182,0.6529968454258676,4,0.7464521147165667,714.3130000000021,0.5396145003341303,0.7301587301587301,504,195,3,197.52999999999906,0.39996597792210375,0.5374449339207048,1,-0.8578460733111367,1910.857,0.6393204815556057,0.7100977198697068,614,195,4,0.19881664333884685,0.1789137608835477,1669.7770000000082,197.52999999999906,0.13954333333333424,0.1261236226207625,1.1359888825393467,-0.1313368510530658,0.3385600000000015,0.3481502510160197,1.2421782353788626,0.5742027273393819
15.0,20.0,730.6880000000035,0.424208005521288,0.6498422712933754,4,0.7175232739439269,710.8830000000007,0.5899645712126702,0.7162698412698413,504,195,3,194.4589999999987,0.4092947101744272,0.5328185328185329,1,-0.8861089894691431,1391.0059999999974,0.6932196342673136,0.6986970684039088,614,195,4,0.1997443272611057,0.1997443272611057,1565.7840000000056,194.4589999999987,0.17322666666666686,0.1337053368488088,0.8065975320027612,-0.013871876573591013,0.37324666666666717,0.286678285522874,0.584683763521588,0.6559476956117001
25.0,8.0,731.4850000000049,0.4646075098237391,0.6261829652996845,3,0.5640741015217103,784.958000000001,0.3232566790091511,0.6527777777777778,504,195,4,851.396000000004,0.4129087388722422,0.6191117092866757,3,0.7856680831050594,1595.0759999999989,0.38516532317187224,0.6465798045602605,614,195,4,0.19982082732483225,0.16734627849767694,2110.8100000000077,7375.825999999999,0.09908000000000139,0.23492072157319854,0.5127301483608064,0.2743693563522185,0.37306666666666843,0.07042386871237194,0.4834043576176612,1.4386707355108603
10.0,12.0,550.6400000000019,0.33803208671308815,0.6498422712933754,4,0.5509554463712422,356.0330000000006,0.43452062822557813,0.7043650793650794,504,195,1,199.25499999999943,0.39472597038864254,0.5377777777777778,1,-0.8420771232225129,907.8259999999984,0.559634491364776,0.6889250814332247,614,195,4,0.19954868738536352,0.17073927259378605,520.5830000000026,199.25499999999943,-0.07402999999999871,0.3685000593971737,-0.010848149580305666,-0.053186821369401005,0.25292666666666874,0.4816988490946503,0.2727197641389141,0.2807459094333453
30.0,20.0,643.2340000000042,0.4158575828065212,0.6466876971608833,3,0.5013183657191986,886.2329999999968,0.6839118056169848,0.7003968253968254,504,195,4,193.2479999999989,0.4129733473471919,0.5381818181818182,1,-0.8973221554494252,1282.9149999999977,0.7144143843613459,0.6856677524429967,614,195,2,0.1999590084032765,0.19518002917941418,1985.2749999999987,193.2479999999989,0.23045000000000226,0.24423313963726567,0.10863071262164259,0.740499977414802,0.3800400000000028,-0.0372356356820529,-0.04909984043995508,2.384776729767175
25.0,20.0,641.8090000000038,0.415353679647587,0.6482649842271293,3,0.4997808094571401,741.4850000000006,0.5759807584199705,0.7043650793650794,504,195,4,198.51499999999896,0.3969738576783602,0.5381818181818182,1,-0.8488325184991409,1419.783999999998,0.7335227843439268,0.6889250814332247,614,195,3,0.19866003804339613,0.19486624867856303,2115.8170000000046,198.51499999999896,0.17888666666666952,0.08549309235267821,0.2136821376288649,0.5913915031066563,0.3862066666666699,-0.024546604402418293,0.3772426747918034,1.5413006279041532
15.0,15.0,568.7170000000035,0.42247962136618833,0.6451104100946372,4,0.4692529831032489,765.7210000000009,0.4906598212246594,0.7043650793650794,504,195,4,196.86699999999905,0.40197996342626846,0.5374449339207048,1,-0.8639270514480265,1494.2859999999982,0.6368354654325467,0.6889250814332247,614,195,4,0.199904712087239,0.1997443272611057,1290.769000000006,196.86699999999905,0.21289333333333382,0.3681582332054518,0.5260681880726084,0.00789763610588623,0.332550000000001,0.31490000375220517,0.6385130057775921,0.7349475087253261
20.0,20.0,622.3120000000038,0.41554155732381487,0.6482649842271293,3,0.46867799764977924,886.7270000000008,0.6104088449740107,0.7083333333333334,504,195,4,193.51499999999896,0.4121622853115779,0.5381818181818182,1,-0.894846530981627,1377.6959999999988,0.7078939581070385,0.6921824104234527,614,195,4,0.1995350832560129,0.1972688132801363,1630.524000000005,193.51499999999896,0.1984666666666688,0.32850030594649215,0.5298409501537673,0.2134860214553449,0.3984866666666691,0.2160096866612986,0.473416808448907,0.8327834656563304
10.0,20.0,564.1240000000014,0.3513387409374793,0.6561514195583596,3,0.45718431056702913,449.80100000000107,0.5601132794711401,0.7321428571428571,504,195,3,195.85399999999913,0.40505713886475814,0.5374449339207048,1,-0.8732401284266319,709.6209999999987,0.6781951817463251,0.7117263843648208,614,195,3,0.19795447047179154,0.1642438418824537,784.137000000004,195.85399999999913,0.11227000000000098,0.18051372418567668,0.5429750072985273,-0.2599535045187483,0.38788666666666805,0.28603440242478895,0.4951994636397392,-0.11366177005099809
30.0,15.0,558.7780000000037,0.42371990739555965,0.6419558359621451,4,0.4499479068888447,556.885,0.6132147084897103,0.6884920634920635,504,195,4,197.53199999999856,0.399959902551052,0.5328185328185329,1,-0.8578277465671802,1339.548999999997,0.7082067754175217,0.6758957654723127,614,195,4,0.19843927510132778,0.19518002917941418,1469.3250000000046,197.53199999999856,0.2701166666666692,0.21793536026874705,0.13842344788352956,0.05407758628848258,0.4988266666666694,0.17978062840266573,0.1965612664613101,1.1103269114734906
