label,start_hour,mode,tp,sl,group_type,group,n,tp_count,sl_count,eod_count,net,expectancy,positive_rate
baseline_5_15,10,raw,20.0,25.0,year,2023,254,33,14,207,-71.96799999999939,-0.28333858267716294,0.44881889763779526
baseline_5_15,10,raw,20.0,25.0,year,2024,255,73,23,159,613.7599999999968,2.4069019607843014,0.5607843137254902
baseline_5_15,10,raw,20.0,25.0,year,2025,247,103,63,81,364.5739999999969,1.4760080971659792,0.562753036437247
baseline_5_15,10,raw,20.0,25.0,year,2026,153,89,52,12,444.8715000000011,2.9076568627451054,0.6013071895424836
baseline_5_15,10,raw,20.0,25.0,direction,LONG,492,161,75,256,1136.4160000000024,2.3097886178861837,0.5487804878048781
baseline_5_15,10,raw,20.0,25.0,direction,SHORT,417,137,77,203,214.82149999999297,0.5151594724220455,0.5227817745803357
baseline_5_15,10,raw,20.0,25.0,setup,fresh,469,160,81,228,757.9214999999922,1.6160373134328192,0.5522388059701493
baseline_5_15,10,raw,20.0,25.0,setup,prebroken,440,138,71,231,593.3160000000032,1.3484454545454618,0.5204545454545455
baseline_5_15,10,raw,20.0,25.0,weekday,0,174,47,20,107,261.24999999999727,1.5014367816091798,0.5344827586206896
baseline_5_15,10,raw,20.0,25.0,weekday,1,187,58,38,91,26.32299999999691,0.14076470588233642,0.5240641711229946
baseline_5_15,10,raw,20.0,25.0,weekday,2,184,51,40,93,-188.48150000000055,-1.0243559782608727,0.45652173913043476
baseline_5_15,10,raw,20.0,25.0,weekday,3,184,69,30,85,607.3514999999982,3.3008233695652076,0.5760869565217391
baseline_5_15,10,raw,20.0,25.0,weekday,4,180,73,24,83,644.7945000000036,3.5821916666666866,0.5944444444444444
baseline_5_15,10,raw,20.0,25.0,year_direction,2023|LONG,134,17,5,112,-93.0059999999994,-0.6940746268656672,0.3880597014925373
baseline_5_15,10,raw,20.0,25.0,year_direction,2023|SHORT,120,16,9,95,21.03800000000001,0.17531666666666676,0.5166666666666667
baseline_5_15,10,raw,20.0,25.0,year_direction,2024|LONG,139,37,11,91,495.1709999999998,3.5623812949640277,0.5971223021582733
baseline_5_15,10,raw,20.0,25.0,year_direction,2024|SHORT,116,36,12,68,118.58899999999699,1.0223189655172154,0.5172413793103449
baseline_5_15,10,raw,20.0,25.0,year_direction,2025|LONG,138,60,29,49,536.8060000000005,3.889898550724641,0.6231884057971014
baseline_5_15,10,raw,20.0,25.0,year_direction,2025|SHORT,109,43,34,32,-172.2320000000036,-1.5801100917431523,0.48623853211009177
baseline_5_15,10,raw,20.0,25.0,year_direction,2026|LONG,81,47,30,4,197.44500000000153,2.4375925925926114,0.6049382716049383
baseline_5_15,10,raw,20.0,25.0,year_direction,2026|SHORT,72,42,22,8,247.42649999999958,3.4364791666666608,0.5972222222222222
