start_hour,mode,tp,sl,train_n,train_tp_count,train_sl_count,train_eod_count,train_tp_rate_all,train_win_rate_resolved,train_positive_pnl_rate,train_net,train_expectancy,train_median_pnl,train_profit_factor,train_max_drawdown,train_max_losing_streak,oos_n,oos_tp_count,oos_sl_count,oos_eod_count,oos_tp_rate_all,oos_win_rate_resolved,oos_positive_pnl_rate,oos_net,oos_expectancy,oos_median_pnl,oos_profit_factor,oos_max_drawdown,oos_max_losing_streak,all_n,all_tp_count,all_sl_count,all_eod_count,all_tp_rate_all,all_win_rate_resolved,all_positive_pnl_rate,all_net,all_expectancy,all_median_pnl,all_profit_factor,all_max_drawdown,all_max_losing_streak,neighbor_score
10,raw,15.0,25.0,756,304,91,361,0.4021164021164021,0.769620253164557,0.5608465608465608,967.7894999999992,1.2801448412698402,3.383250000000089,1.2312821457709893,281.63199999999824,7,153,101,46,6,0.6601307189542484,0.6870748299319728,0.6666666666666666,345.44850000000133,2.257833333333342,15.0,1.2936260057977482,174.8814999999995,5,909,405,137,367,0.44554455445544555,0.7472324723247232,0.5786578657865786,1313.2380000000005,1.4447062706270632,5.695500000000266,1.2449638781069494,281.63199999999824,7,1.2801448412698402
10,raw,15.0,20.0,756,297,142,317,0.39285714285714285,0.6765375854214123,0.548941798941799,936.8559999999968,1.239227513227509,2.917750000000069,1.2280627485614855,254.99999999999932,7,153,89,59,5,0.5816993464052288,0.6013513513513513,0.5816993464052288,128.50850000000082,0.8399248366013126,15.0,1.1065142191221413,139.8814999999995,6,909,386,201,322,0.42464246424642466,0.6575809199318569,0.5544554455445545,1065.3644999999976,1.1720181518151789,3.4694999999999254,1.2004683144040262,254.99999999999932,7,1.0940347222222189
10,raw,15.0,17.5,756,287,180,289,0.37962962962962965,0.6145610278372591,0.5277777777777778,717.3244999999981,0.9488419312169287,1.337500000000091,1.1727120854482693,276.7474999999986,7,153,86,64,3,0.5620915032679739,0.5733333333333334,0.5620915032679739,149.85350000000017,0.9794346405228769,15.0,1.1314335482326177,107.76500000000033,6,909,373,244,292,0.41034103410341033,0.6045380875202593,0.5335533553355336,867.1779999999983,0.9539911991199101,2.4650000000001455,1.1638211651660362,276.7474999999986,7,1.0640760582010558
10,raw,12.0,25.0,756,363,84,309,0.4801587301587302,0.8120805369127517,0.58994708994709,790.9589999999994,1.0462420634920626,7.179750000000013,1.202384421886182,334.2660000000001,7,153,111,39,3,0.7254901960784313,0.74,0.7254901960784313,336.85350000000017,2.201656862745099,12.0,1.3384963922397357,147.8814999999995,3,909,474,123,312,0.5214521452145214,0.7939698492462312,0.6127612761276128,1127.8124999999995,1.2407178217821777,12.0,1.23000868284371,334.2660000000001,7,1.0462420634920626
10,raw,12.0,20.0,756,357,132,267,0.4722222222222222,0.7300613496932515,0.5806878306878307,798.9559999999974,1.0568201058201023,6.314249999999902,1.2087794639586027,313.779500000001,7,153,100,50,3,0.6535947712418301,0.6666666666666666,0.6535947712418301,179.85350000000017,1.1755130718954259,12.0,1.1763016390292964,129.8814999999995,4,909,457,182,270,0.5027502750275028,0.7151799687010955,0.592959295929593,978.8094999999976,1.0767981298129787,12.0,1.2019437828873694,313.779500000001,7,0.925553571428569
10,raw,15.0,15.0,756,283,225,248,0.37433862433862436,0.5570866141732284,0.5119047619047619,759.1439999999996,1.0041587301587296,0.8937499999999545,1.188766941665419,293.4189999999985,7,153,79,72,2,0.5163398692810458,0.5231788079470199,0.5163398692810458,86.17849999999999,0.5632581699346404,15.0,1.0784281159405782,115.26500000000033,6,909,362,297,250,0.39823982398239827,0.5493171471927162,0.5126512651265126,845.3224999999995,0.929947744774477,0.9610000000000127,1.1650886534500957,293.4189999999985,7,0.902882936507935
10,raw,10.0,25.0,756,414,79,263,0.5476190476190477,0.8397565922920892,0.6283068783068783,725.8614999999998,0.9601342592592589,10.0,1.199772667068031,245.6764999999989,6,153,117,33,3,0.7647058823529411,0.78,0.7647058823529411,324.85350000000017,2.1232254901960794,10.0,1.3843753716071714,164.8814999999995,3,909,531,112,266,0.5841584158415841,0.8258164852255054,0.6512651265126512,1050.715,1.155902090209021,10.0,1.2346087513374762,245.6764999999989,6,0.8991461640211634
10,raw,12.0,17.5,756,346,169,241,0.4576719576719577,0.6718446601941748,0.5608465608465608,600.4809999999989,0.7942870370370355,4.319249999999897,1.154774971850297,319.6070000000002,7,153,98,52,3,0.6405228758169934,0.6533333333333333,0.6405228758169934,245.85350000000017,1.6068856209150337,12.0,1.2643169651232362,93.05649999999969,5,909,444,221,244,0.4884488448844885,0.6676691729323309,0.5742574257425742,846.334499999999,0.9310610561056095,7.546499999999924,1.1759586057777267,319.6070000000002,7,0.884946208112873
10,raw,15.0,12.5,756,267,274,215,0.3531746031746032,0.49353049907578556,0.4828042328042328,620.5524999999986,0.8208366402116384,-1.1274999999999409,1.1599165308908501,273.42699999999786,7,153,67,86,0,0.43790849673202614,0.43790849673202614,0.43790849673202614,-70.0,-0.45751633986928103,-12.5,0.9348837209302325,170.0,8,909,334,360,215,0.36743674367436746,0.4812680115273775,0.4752475247524752,550.5524999999986,0.6056683168316817,-1.6499999999996362,1.1110997880628053,273.42699999999786,8,0.880205798059963
10,raw,9.0,25.0,756,441,77,238,0.5833333333333334,0.8513513513513513,0.6468253968253969,633.6474999999994,0.838158068783068,9.0,1.1813069805537375,212.61499999999842,6,153,118,32,3,0.7712418300653595,0.7866666666666666,0.7712418300653595,241.85350000000017,1.5807418300653606,9.0,1.2948906079584566,191.8814999999995,3,909,559,109,241,0.6149614961496149,0.8368263473053892,0.6677667766776678,875.5009999999995,0.9631474147414736,9.0,1.2028955044154925,212.61499999999842,6,0.8705809082892405
10,raw,15.0,13.0,756,270,266,220,0.35714285714285715,0.503731343283582,0.4894179894179894,633.2969999999993,0.8376944444444436,-0.8224999999999909,1.1612432363068628,294.95249999999805,7,153,70,83,0,0.45751633986928103,0.45751633986928103,0.45751633986928103,-29.0,-0.1895424836601307,-13.0,0.9731232622798888,156.0,8,909,340,349,220,0.37403740374037403,0.4934687953555878,0.48404840484048406,604.2969999999993,0.664793179317931,-1.1700000000000728,1.1207003651988137,294.95249999999805,8,0.8667050264550247
10,raw,15.0,8.0,756,234,394,128,0.30952380952380953,0.37261146496815284,0.414021164021164,632.3740000000012,0.8364735449735465,-8.0,1.1919218927117368,229.23899999999844,7,153,47,106,0,0.30718954248366015,0.30718954248366015,0.30718954248366015,-143.0,-0.934640522875817,-8.0,0.8313679245283019,263.0,14,909,281,500,128,0.30913091309130913,0.35979513444302175,0.39603960396039606,489.37400000000116,0.5383652365236536,-8.0,1.1181219684983306,263.0,14,0.8613650793650794
10,raw,15.0,12.0,756,265,289,202,0.3505291005291005,0.47833935018050544,0.47883597883597884,633.1184999999978,0.8374583333333304,-1.1849999999999454,1.1650331314336695,276.16199999999776,7,153,65,88,0,0.42483660130718953,0.42483660130718953,0.42483660130718953,-81.0,-0.5294117647058824,-12.0,0.9232954545454546,165.0,8,909,330,377,202,0.36303630363036304,0.4667609618104668,0.46974697469746973,552.1184999999978,0.6073910891089085,-1.8820000000000618,1.1128543225426257,276.16199999999776,8,0.8554152116402097
