date,year,weekday,direction,setup,both_pre,asia_range,signal_spread,outcome,pnl,exit_idx,exit_time,full_mfe,full_mae,pre_exit_mfe,pre_exit_mae
2023-01-03,2023,1,LONG,prebroken,False,20.164999999999964,0.3670000000001892,TP,5.0,75,2023-01-03 15:16:00+02:00,16.37999999999988,5.841499999999996,5.158500000000004,1.6834999999998672
2023-01-04,2023,2,LONG,prebroken,False,12.824999999999818,0.4169999999999163,EOD,-5.611499999999978,598,2023-01-04 23:59:00+02:00,2.528500000000122,13.079999999999927,2.528500000000122,13.079999999999927
2023-01-05,2023,3,SHORT,prebroken,False,8.725500000000011,0.31999999999993634,TP,5.0,105,2023-01-05 15:46:00+02:00,20.7349999999999,2.9915000000000873,5.229999999999791,2.9915000000000873
2023-01-06,2023,4,LONG,fresh,False,10.347499999999854,1.1079999999999472,TP,5.0,12,2023-01-06 15:43:00+02:00,29.02500000000009,4.726499999999987,6.775000000000091,4.726499999999987
2023-01-09,2023,0,LONG,prebroken,False,14.818500000000085,0.3669999999999618,TP,5.0,113,2023-01-09 15:54:00+02:00,8.60550000000012,3.9249999999999545,5.019999999999982,0.9049999999999727
2023-01-10,2023,1,LONG,prebroken,False,8.173999999999978,0.3169999999997799,TP,5.0,149,2023-01-10 16:30:00+02:00,5.849999999999909,4.4835000000002765,5.098999999999705,4.4835000000002765
2023-01-11,2023,2,LONG,prebroken,False,12.63350000000014,0.37999999999988177,SL,-15.0,256,2023-01-11 18:17:00+02:00,0.08500000000003638,15.74499999999989,0.08500000000003638,15.499000000000024
2023-01-12,2023,3,LONG,prebroken,False,10.442999999999984,0.3400000000001455,TP,5.0,20,2023-01-12 14:21:00+02:00,16.533500000000004,11.38000000000011,5.088000000000193,0.3350000000000364
2023-01-13,2023,4,LONG,prebroken,False,8.615000000000009,0.30999999999994543,TP,5.0,153,2023-01-13 16:34:00+02:00,21.833999999999833,6.306500000000142,5.0099999999997635,6.306500000000142
2023-01-16,2023,0,SHORT,prebroken,False,15.664999999999964,0.36000000000012733,TP,5.0,82,2023-01-16 15:23:00+02:00,5.201499999999669,0.5900000000001455,5.201499999999669,0.5900000000001455
2023-01-17,2023,1,SHORT,prebroken,False,12.11850000000004,0.35999999999989996,TP,5.0,50,2023-01-17 14:51:00+02:00,9.481500000000096,3.380000000000109,5.149999999999864,0.6200000000001182
2023-01-18,2023,2,LONG,prebroken,False,13.724999999999909,0.31999999999993634,TP,5.0,89,2023-01-18 15:30:00+02:00,10.36649999999986,14.003500000000031,8.154999999999745,0.6849999999999454
