filter,train_final,train_dd,oos_final,oos_dd,oos_wr,oos_trades,oos_pos_years
ALL,184.69699999999875,0.6775372250466803,1066.5969999999998,0.38413401004523,0.7272727272727273,176,4
trend>=2,184.69699999999875,0.6775372250466803,1066.5969999999998,0.38413401004523,0.7272727272727273,176,4
spread<=1.25,113.80299999999875,0.7057087886796587,1066.5969999999998,0.38413401004523,0.7272727272727273,176,4
asiaRatio<=0.80,184.69699999999875,0.6775372250466803,1066.5969999999998,0.38413401004523,0.7272727272727273,176,4
emaAligned,184.69699999999875,0.6775372250466803,1066.5969999999998,0.38413401004523,0.7272727272727273,176,4
trend+mom,184.69699999999875,0.6775372250466803,1066.5969999999998,0.38413401004523,0.7272727272727273,176,4
compression+trend,184.69699999999875,0.6775372250466803,1066.5969999999998,0.38413401004523,0.7272727272727273,176,4
mom>=0.15,184.69699999999875,0.6775372250466803,1066.5969999999998,0.38413401004523,0.7272727272727273,176,4
mom>=0,184.69699999999875,0.6775372250466803,1066.5969999999998,0.38413401004523,0.7272727272727273,176,4
spread<=1.0,119.78599999999915,0.6902369266256729,1060.5969999999998,0.3835131105391752,0.7257142857142858,175,4
trend+lowSpread,119.78599999999915,0.6902369266256729,1060.5969999999998,0.3835131105391752,0.7257142857142858,175,4
spread<=15%TP,119.80299999999875,0.6901929651256042,904.5969999999998,0.3891818486689844,0.7225433526011561,173,4
body+close,264.35399999999913,0.49058892100816825,898.9879999999998,0.34873947075059475,0.7338129496402878,139,4
early+trend,234.69899999999916,0.5586620991427758,898.5889999999999,0.4020743273190695,0.7239263803680982,163,4
time<=13,234.69899999999916,0.5586620991427758,898.5889999999999,0.4020743273190695,0.7239263803680982,163,4
prevDist>=0.25,116.22699999999895,0.6780522531107029,872.5409999999999,0.3211898849893143,0.7307692307692307,156,4
prevDist+trend,116.22699999999895,0.6780522531107029,872.5409999999999,0.3211898849893143,0.7307692307692307,156,4
body>=0.40,115.28099999999904,0.6878273208299289,862.2099999999998,0.3957725627006348,0.7261146496815286,157,4
prevRoom+trend,243.9679999999987,0.5139645908765808,826.0069999999998,0.3994527225963884,0.726027397260274,146,4
prevRoom>=0,243.9679999999987,0.5139645908765808,826.0069999999998,0.3994527225963884,0.726027397260274,146,4
lowSpread+body,114.59999999999945,0.6896714199834294,808.2099999999998,0.39925101747110087,0.7243589743589743,156,4
trend=3,205.7489999999989,0.6211073878717172,807.1159999999998,0.3813267691391937,0.7192982456140351,171,4
spread<=0.75,113.80299999999875,0.7057087886796587,790.5969999999998,0.4388646378607697,0.7195121951219512,164,3
LONG,289.8429999999994,0.543230272230057,788.406,0.26353088653214723,0.7529411764705882,85,4
trend+close,280.09199999999896,0.5197337359159264,783.3469999999998,0.3807617253698366,0.7181208053691275,149,3
close>=0.70,280.09199999999896,0.5197337359159264,783.3469999999998,0.3807617253698366,0.7181208053691275,149,3
break<=0.25,204.81999999999857,0.6236955889078324,782.5689999999997,0.39509339807520816,0.7176470588235294,170,4
lowSpread+close,268.09199999999896,0.5372204314550704,759.3469999999998,0.3894154009464238,0.7162162162162162,148,3
close>=0.85,278.44299999999816,0.4458854037352792,705.1479999999999,0.38087104052814125,0.7181818181818181,110,3
time<=12,227.5429999999992,0.5749488325126637,694.6090000000002,0.42051329463219245,0.7197452229299363,157,4
spread<=10%TP,191.80299999999875,0.6591613180174951,694.5969999999998,0.4788670360643043,0.7185185185185186,135,3
TPspread+close,268.09199999999896,0.5372204314550704,687.3469999999998,0.3889367103491839,0.7123287671232876,146,3
body>=0.60,192.20399999999904,0.6394240900314976,571.762,0.3557511287239463,0.7063492063492064,126,4
asiaRatio<=0.55,212.5399999999995,0.38108931432023074,557.7630000000001,0.2629727925100457,0.7543859649122807,57,3
break>=0.05,112.80800000000045,0.66680056710775,555.4030000000005,0.3007746350343883,0.7294117647058823,85,3
break+close,195.615,0.5144259143206569,555.4030000000005,0.2453280474253145,0.7307692307692307,78,3
break+trend,112.80800000000045,0.66680056710775,555.4030000000005,0.3007746350343883,0.7294117647058823,85,3
Mon-Wed,239.3989999999999,0.5540922101028859,554.9519999999998,0.31831313131313166,0.7244897959183674,98,4
prevDist>=0.50,223.3149999999987,0.5325681551772992,528.6700000000001,0.40769871065282753,0.7,130,4
Thu-Fri,209.45799999999895,0.4122866447962751,511.7629999999999,0.35372112840612907,0.7307692307692307,78,3
spread<=0.5,119.80299999999875,0.6901929651256042,472.58899999999994,0.39723799220269973,0.7047619047619048,105,3
SHORT,189.62999999999897,0.6615205441686991,437.51199999999994,0.46746324930865074,0.7032967032967034,91,3
break>=0.10,112.81399999999985,0.6605586847679572,289.6180000000004,0.3534165661415585,0.6666666666666666,45,1
