portfolio,components,train_score,train_final,train_dd,train_wr,train_trades,train_pos_years,oos_final,oos_multiple,oos_dd,oos_wr,oos_trades,oos_pos_years,oos_max_day_loss,full_final,full_dd,oos_ret_2023,oos_ret_2024,oos_ret_2025,oos_ret_2026
A:20/15|close>=0.85 + B:20/20|mom>=0 + C:30/20|Thu-Fri,3,1.707449264001698,2654.3740000000093,0.5794160063112724,0.5106382978723404,893,4,13151.27599999979,43.83758666666597,0.9655789810220728,0.5154894671623296,807,3,0.29927340407802,137328.22699999766,0.9688820788832097,1.5233699999999857,7.39281067250019,-0.08102275141855397,1.2524414781707804
A:20/15|close>=0.85 + B:15/20|trend=3 + C:30/20|Thu-Fri,3,2.086379296864133,3850.721000000011,0.5744884877433503,0.5184304399524375,841,4,7794.871999999825,25.982906666666082,0.9748857219744159,0.5243589743589744,780,3,0.2963605946167853,130222.68999999684,0.9781467634192113,1.6372666666666564,5.543038246669559,-0.08259069785684325,0.6413117907711303
A:20/12|close>=0.85 + B:20/20|trend=3 + C:20/20|Thu-Fri,3,2.0867973354470215,3959.0720000000138,0.5969990106065053,0.5178777393310265,867,4,6797.139999999687,22.65713333333229,0.9793625518903737,0.5243589743589744,780,3,0.29933709993282404,90744.55299999577,0.9817434853296788,1.4400099999999938,8.46716885040092,-0.17155219137216227,0.18393559467284515
A:20/15|close>=0.85 + B:20/20|trend=3 + C:25/20|Thu-Fri,3,1.8936448461010575,3170.4770000000135,0.5737704498585082,0.5148986889153755,839,4,6426.312999999796,21.421043333332655,0.9755863516927309,0.5192307692307693,780,3,0.2992451455214246,74580.13199999754,0.9793538374916138,1.550486666666659,9.796100352089717,-0.4541175191660225,0.42512019014871805
A:20/15|close>=0.85 + B:15/20|trend+mom + C:30/20|Thu-Fri,3,1.82120147014511,2986.7740000000085,0.582720084450717,0.5146067415730337,890,4,5575.544999999911,18.585149999999704,0.9711460224728214,0.5254658385093167,805,3,0.2962832730430433,134777.44299999782,0.9731836650443073,0.9122399999999886,4.409448256146402,-0.12035901727514886,1.0425149601886226
A:20/15|close>=0.85 + B:15/20|trend=3 + C:25/20|Thu-Fri,3,2.0162215208065564,3589.247000000014,0.5771843305108413,0.5184304399524375,841,4,5380.606999999865,17.93535666666622,0.9778459830566749,0.5282051282051282,780,3,0.29772701374665866,63786.039999998146,0.9807437145260824,1.6197999999999912,7.499793877395261,-0.39904043633787745,0.3402574648029173
A:20/15|close>=0.85 + B:20/20|mom>=0,2,1.8506437255554768,2669.5100000000157,0.48094138843533535,0.53125,544,4,4669.126999999981,15.563756666666604,0.7140325001171748,0.544392523364486,428,4,0.19779361225529207,53682.155999999784,0.7291038376007178,0.8813466666666689,1.9261610477601203,0.30431652454651315,1.1675263343340583
A:20/15|close>=0.85 + B:20/20|trend+mom,2,1.8505132168248226,2669.234000000016,0.48094138843533535,0.5303867403314917,543,4,4404.589999999982,14.681966666666607,0.7263549558463004,0.5446009389671361,426,4,0.19779361225529207,55247.722999999765,0.7466050220980722,0.8813466666666689,2.104143485871827,0.14132435611825422,1.202746563045435
A:20/12|close>=0.85 + B:15/20|trend=3,2,1.7697851724744382,2708.550000000011,0.5572266801103498,0.5454545454545454,451,4,4101.501999999979,13.671673333333262,0.7743523038438311,0.5561097256857855,401,4,0.19654566135182755,48959.98599999975,0.7876344136089765,1.0223600000000057,1.450836316646555,0.6197686258105393,0.7029265493655454
A:20/15|close>=0.85 + B:20/20|trend=3 + C:20/20|Thu-Fri,3,1.711634007713854,2674.3820000000105,0.5782729706162698,0.5192532088681447,857,4,3853.2959999998275,12.844319999999424,0.977107771031133,0.5282051282051282,780,3,0.2994975809231773,36276.23499999833,0.9805881313502518,1.4266333333333256,6.866606684157787,-0.3908833380392994,0.10463561578490421
