portfolio,components,train_final,train_dd,train_wr,train_pos_years,oos_final,oos_multiple,oos_dd,oos_wr,oos_trades,oos_pos_years,oos_max_day_loss,oos_max_day_risk,full_final,full_dd,ret_2023,ret_2024,ret_2025,ret_2026,growth_dd_score
A_strong_20_12 + B_star_20_25 + C_30_20_ThuFri,3,586.0749999999987,0.5825774726385872,0.5139318885448917,3,40475.15699999962,134.91718999999873,0.9612642261260216,0.5200501253132832,798,4,0.2990340307296096,0.2992374385290451,78060.35199999926,0.9631952657697568,1.4708699999999877,9.79653455395607,0.37971860728092866,2.665578212268079,34.73851494471182
A_strong_20_12 + B_highWR_5_20 + C_30_20_ThuFri,3,909.3789999999974,0.5695148151977876,0.5563798219584569,3,34015.4639999996,113.38487999999866,0.9494956102642189,0.6088560885608856,813,4,0.29812101984491385,0.2997360003810932,130095.4729999985,0.9499147141937884,2.009886666666655,10.047137987476818,0.49546665276547874,1.28022913124425,29.462197737765223
A_strong_20_12 + B_highWRmom_5_20 + C_30_20_ThuFri,3,1176.6039999999978,0.5862300164400935,0.5558659217877095,4,34005.098999999675,113.35032999999892,0.9391457947458488,0.6077694235588973,798,4,0.29903565103735297,0.2997297405350569,175568.4369999984,0.9398696498463613,1.9910799999999895,8.790387864361138,0.6954974018656186,1.28295701185331,29.692780415477145
A_strong_20_12 + B_star_20_25 + C_30_20,3,119.8959999999986,0.6579774639851705,0.4311594202898551,0,30028.888999999363,100.09629666666454,0.978697313772629,0.5055514433752776,1351,4,0.2991707579488557,0.29946423822514706,119.8959999999986,0.6579774639851705,0.4726699999999975,3.2263847297765382,0.7600964213659573,8.137072724115356,25.430375651527637
A_highWR_bodyclose_6_12 + B_highWRmom_5_20 + C_30_20,3,119.64799999999923,0.6399679832453691,0.44816053511705684,0,22898.72199999981,76.3290733333327,0.951382448564102,0.5769506084466715,1397,4,0.2951299364328413,0.2997237094206211,119.64799999999923,0.6399679832453691,0.7276366666666665,2.224891036116781,1.9395584145809144,3.660585043938271,19.80439938775148
A_highWR_6_12 + B_highWR_5_20 + C_30_20_ThuFri,3,114.90599999999881,0.7176035153945998,0.4919908466819222,1,22816.700999999914,76.05566999999971,0.8833083372137388,0.6450511945392492,879,4,0.29590449032428545,0.2993083766463872,114.90599999999881,0.7176035153945998,1.5201633333333264,7.199793928700389,0.8006529938320213,1.0439484689266472,20.837597966375945
A_highWR_6_12 + B_highWRmom_5_20 + C_30_20_ThuFri,3,119.78799999999887,0.7053446681228746,0.49176470588235294,1,22815.009999999933,76.0500333333331,0.8606775751299082,0.6446759259259259,864,4,0.29568863495096015,0.29995938050055776,119.78799999999887,0.7053446681228746,1.2693466666666584,6.970593592282077,1.0587010348642827,1.042276857965374,21.23097111712146
A_highWR_6_12 + B_star_20_25 + C_30_20_ThuFri,3,113.78799999999865,0.743146270826423,0.4918032786885246,1,21531.207999999926,71.77069333333309,0.9106780038509095,0.5636574074074074,864,4,0.2955938584783389,0.29942490456662996,113.78799999999865,0.743146270826423,0.6469766666666557,6.682284509191653,0.7224489516336823,2.293236716749223,19.2309858675357
A_highWR_6_12 + B_highWRmom_5_20 + C_30_20,3,114.31399999999849,0.6566177839990907,0.45695364238410596,0,21208.786999999804,70.695956666666,0.9435927906219238,0.5801952580195258,1434,4,0.2952586849348588,0.29963956563947086,114.31399999999849,0.6566177839990907,0.8357733333333317,1.9680225590668465,1.9158085997362049,3.449890340961802,18.45472376733549
A_strong_20_12 + B_highWRmom_5_20 + C_30_20,3,111.88099999999827,0.6744465524465811,0.43686006825938567,0,20639.201999999488,68.7973399999983,0.968054500943536,0.5555555555555556,1368,4,0.2998375047300966,0.29996058517910773,111.88099999999827,0.6744465524465811,1.0157666666666683,1.8369189555669427,1.2423462755815815,4.3651488912382534,17.621531462531898
A_strong_20_12 + B_highWR_5_20 + C_30_20,3,115.53799999999865,0.6638053447553468,0.4370629370629371,0,17191.37999999947,57.30459999999823,0.9743826739860992,0.556760665220535,1383,4,0.2932997516988004,0.299698900720488,115.53799999999865,0.6638053447553468,1.1120533333333347,1.7290993282997853,0.988189921240779,4.000430485343752,14.606790179533881
A_highWR_bodyclose_6_12 + B_star_20_25 + C_30_20_ThuFri,3,226.3859999999986,0.6628530651360758,0.5074626865671642,2,17094.855999999945,56.98285333333315,0.9060145864885846,0.5574365175332527,827,4,0.29379465259320353,0.2989263233062129,17270.170999999937,0.9059192094992968,0.7587033333333215,4.451122133541614,0.6913714260282562,2.514201853178952,15.32603084303694
