date,year,direction,pnl,outcome
2023-01-03,2023,SHORT,-3.616999999999962,EOD
2023-03-13,2023,LONG,26.929999999999836,EOD
2023-03-14,2023,SHORT,0.023000000000138243,EOD
2023-03-15,2023,SHORT,-30.0,SL
2023-03-31,2023,SHORT,5.632999999999811,EOD
2023-12-06,2023,SHORT,-0.2669999999998254,EOD
2023-12-28,2023,SHORT,11.739999999999782,EOD
2024-04-03,2024,SHORT,-30.0,SL
2024-04-05,2024,LONG,35.0,TP
2024-04-09,2024,LONG,-1.556999999999789,EOD
2024-04-29,2024,LONG,-2.2799999999997453,EOD
2024-05-06,2024,LONG,0.4800000000000182,EOD
2024-05-08,2024,SHORT,-3.349999999999909,EOD
2024-05-21,2024,LONG,0.7799999999997453,EOD
2024-05-23,2024,SHORT,26.549999999999727,EOD
2024-08-06,2024,LONG,-20.240999999999985,EOD
2024-08-20,2024,LONG,-1.5700000000001637,EOD
2024-08-27,2024,SHORT,-19.966999999999643,EOD
2024-09-19,2024,LONG,2.0300000000002,EOD
2024-09-23,2024,SHORT,-14.106999999999971,EOD
2024-10-03,2024,SHORT,-11.476999999999862,EOD
2024-10-07,2024,LONG,-9.690000000000055,EOD
2024-12-13,2024,SHORT,25.440000000000055,EOD
2024-12-17,2024,SHORT,-2.730000000000018,EOD
2025-02-25,2025,LONG,-30.0,SL
2025-02-27,2025,SHORT,2.769999999999982,EOD
2025-03-04,2025,LONG,2.199999999999818,EOD
2025-03-10,2025,SHORT,8.183999999999742,EOD
2025-03-11,2025,LONG,5.309999999999945,EOD
2025-03-18,2025,LONG,7.2039999999997235,EOD
2025-03-19,2025,SHORT,-23.45699999999988,EOD
2025-03-25,2025,LONG,-1.9769999999998618,EOD
2025-04-02,2025,LONG,5.163000000000011,EOD
2025-04-04,2025,SHORT,-30.0,SL
2025-04-07,2025,SHORT,35.0,TP
2025-04-08,2025,SHORT,19.039999999999964,EOD
2025-04-10,2025,SHORT,-30.0,SL
2025-04-11,2025,LONG,23.570000000000164,EOD
2025-04-16,2025,LONG,35.0,TP
2025-04-22,2025,SHORT,35.0,TP
2025-04-23,2025,LONG,-30.0,SL
2025-04-24,2025,LONG,14.190000000000055,EOD
2025-05-08,2025,LONG,-30.0,SL
2025-05-12,2025,SHORT,-15.460000000000036,EOD
2025-05-14,2025,LONG,-30.0,SL
2025-05-19,2025,LONG,-3.7200000000002547,EOD
2025-05-20,2025,LONG,35.0,TP
2025-05-21,2025,SHORT,-5.710000000000036,EOD
2025-05-27,2025,SHORT,-5.107000000000426,EOD
2025-05-28,2025,LONG,-30.0,SL
2025-05-29,2025,LONG,35.0,TP
2025-06-02,2025,LONG,28.170000000000073,EOD
2025-06-11,2025,LONG,9.110000000000127,EOD
2025-06-12,2025,SHORT,-30.0,SL
2025-06-19,2025,LONG,3.7899999999999636,EOD
2025-06-27,2025,SHORT,8.960000000000036,EOD
2025-07-01,2025,LONG,-2.3200000000001637,EOD
2025-07-03,2025,SHORT,35.0,TP
2025-07-11,2025,LONG,12.322999999999865,EOD
2025-07-17,2025,SHORT,-14.206000000000131,EOD
2025-07-24,2025,SHORT,-1.5799999999999272,EOD
2025-08-07,2025,LONG,0.17000000000007276,EOD
2025-08-08,2025,LONG,-4.045999999999822,EOD
2025-08-12,2025,LONG,-8.150000000000091,EOD
2025-08-14,2025,SHORT,10.079999999999927,EOD
2025-09-02,2025,SHORT,-30.0,SL
