date,year,direction,pnl,outcome
2023-01-03,2023,LONG,-8.376999999999953,EOD
2023-01-04,2023,LONG,-3.7070000000001073,EOD
2023-01-05,2023,SHORT,20.0,TP
2023-01-19,2023,LONG,20.0,TP
2023-01-23,2023,SHORT,-11.557000000000016,EOD
2023-01-24,2023,LONG,-4.516999999999825,EOD
2023-01-26,2023,SHORT,20.0,TP
2023-01-30,2023,SHORT,-0.2400000000000091,EOD
2023-02-01,2023,SHORT,-26.9670000000001,EOD
2023-02-07,2023,LONG,-3.3170000000000073,EOD
2023-02-08,2023,LONG,-9.71699999999987,EOD
2023-02-09,2023,LONG,-19.567000000000007,EOD
2023-02-10,2023,LONG,-3.586999999999989,EOD
2023-02-15,2023,SHORT,-1.6269999999999527,EOD
2023-02-17,2023,SHORT,-19.97699999999986,EOD
2023-02-20,2023,LONG,-5.900000000000091,EOD
2023-02-21,2023,SHORT,-1.5,EOD
2023-02-22,2023,LONG,-15.799999999999955,EOD
2023-02-24,2023,SHORT,9.576000000000022,EOD
2023-02-28,2023,SHORT,-17.037000000000035,EOD
2023-03-02,2023,SHORT,-5.216999999999871,EOD
2023-03-03,2023,LONG,11.712999999999965,EOD
2023-03-06,2023,LONG,-10.089999999999918,EOD
2023-03-08,2023,LONG,-1.5399999999999636,EOD
2023-03-10,2023,LONG,20.0,TP
2023-03-14,2023,LONG,-9.59699999999998,EOD
2023-03-15,2023,SHORT,-40.0,SL
2023-03-20,2023,LONG,-22.680000000000064,EOD
2023-03-21,2023,SHORT,20.0,TP
2023-03-27,2023,SHORT,20.0,TP
2023-03-28,2023,SHORT,-20.23700000000008,EOD
2023-03-29,2023,SHORT,-4.400000000000091,EOD
2023-03-30,2023,LONG,10.099999999999909,EOD
2023-03-31,2023,LONG,-14.876999999999953,EOD
2023-04-13,2023,LONG,20.0,TP
2023-04-17,2023,LONG,-17.730000000000018,EOD
2023-04-19,2023,SHORT,20.0,TP
2023-04-20,2023,LONG,5.475999999999885,EOD
2023-04-21,2023,SHORT,2.22199999999998,EOD
2023-04-27,2023,LONG,-14.767000000000053,EOD
2023-05-01,2023,SHORT,-3.3640000000000327,EOD
2023-05-02,2023,LONG,20.0,TP
2023-05-04,2023,SHORT,-12.460000000000036,EOD
2023-05-11,2023,SHORT,12.195999999999913,EOD
2023-05-12,2023,SHORT,-2.428000000000111,EOD
2023-05-16,2023,SHORT,20.0,TP
2023-05-18,2023,SHORT,20.0,TP
2023-05-19,2023,LONG,12.593000000000075,EOD
2023-05-24,2023,SHORT,14.322999999999865,EOD
2023-05-26,2023,LONG,-5.287000000000035,EOD
2023-06-01,2023,SHORT,-16.826999999999998,EOD
