date,A 15/12,B 20/20,C 30/20
01.01,,,-20
01.02,,-20,-20
01.05,,,-20
01.06,,,+30
01.07,,,+30
01.08,,-20,-20
01.09,+15,+20,-20
01.12,,,+30
01.13,+15,,-20
01.14,,,-20
01.15,,,+30
01.16,-12,-20,+30
01.19,,,+30
01.20,,,+30
01.21,,,-20
01.22,,-20,-20
01.23,+15,+20,-20
01.26,,,-20
01.27,,,-20
01.28,,,+30
01.29,,,-20
01.30,,-20,+30
02.02,,,-20
02.03,,,-20
02.04,,,-20
02.05,,,+30
02.06,,+20,+30
02.09,,,+30
02.10,,,+30
02.11,-12,,-20
02.12,,,+30
02.13,,,+30
02.16,,,+30
02.17,,,+30
02.18,,,+30
02.19,-12,-20,-20
02.20,-12,-20,+30
02.23,,,+30
02.24,,,+30
02.25,,,-20
02.26,,,-20
02.27,+15,+20,+30
03.02,,,+30
03.03,,,-20
03.04,,,-20
03.05,,+20,-20
03.06,,-20,-20
03.09,,,-20
03.10,,,+30
03.11,-12,,+30
03.12,-12,-20,-20
03.13,+15,-20,-20
03.16,,,-20
03.17,-12,,-20
03.18,+15,,+30
03.19,,+20,+30
03.20,,+20,-20
03.23,,,-20
03.24,,,-20
03.25,,,-20
03.26,,-20,-20
03.27,,,+30
03.30,,,+30
03.31,,,+30
04.01,-12,,+30
04.02,,,+30
04.03,,,-1
04.06,,,-20
04.07,+15,,-20
04.08,,,-20
04.09,+15,+20,+30
04.10,-12,-20,-20
04.13,,,-20
04.14,+15,,+30
04.15,+15,,-20
04.16,,,-20
04.17,+15,+20,-20
04.20,,,-20
04.21,-12,,+30
04.22,,,-20
04.23,,-20,-20
04.24,,-20,-20
04.27,,,+30
04.28,,,+30
04.29,+15,,+30
04.30,,+20,-20
05.01,+15,+20,-20
05.04,,,+30
05.05,,,+30
05.06,,,-20
05.07,,+20,-20
05.08,,,-9.05
05.11,,,-20
05.12,,,+30
05.13,,,-20
05.14,,-20,-20
05.15,,+20,+30
05.18,,,-20
05.19,,,+30
05.20,,,-20
05.21,,-20,-20
05.22,,,-20
05.25,,,-20
05.26,,,+30
05.27,,,+30
05.28,,,-20
05.29,+15,+20,-20
06.01,+15,,+30
06.02,,,-20
06.03,,,+30
06.04,,+20,+30
06.05,,+20,+30
06.08,,,-20
06.09,,,-20
06.10,,,+30
06.11,,,-20
06.12,,,+30
06.15,,,+30
06.16,+15,,-20
06.17,,,-20
06.18,,-20,-20
06.19,,,-20
06.22,,,-20
06.23,,,-20
06.24,,,+30
06.25,,,-20
06.26,,+20,+30
06.29,,,+30
06.30,,,+30
07.01,,,-20
07.02,-12,+20,+30
07.03,,,-20
07.06,,,+30
07.07,,,-20
07.08,+15,,-20
07.09,+15,+20,+30
07.10,+15,+20,+30
07.13,,,+30
07.14,,,+30
07.15,,,-20
07.16,,-20,+30
07.17,,-20,-20
07.20,,,-20
07.21,,,+30
07.22,,,+30
07.23,+15,+20,+30
07.24,+15,+20,+30
07.27,+15,,-20
07.28,,,-20
07.29,-12,,-20
07.30,,,+30
07.31,,+20,+30
08.03,,,-20
08.04,-12,,-20
08.05,,,+30
08.06,,,-20
08.07,,+20,+30
08.10,,,-20
08.11,,,-20
08.12,,,-20
08.13,,-20,+30
08.14,,+20,-20
08.17,,,-20
08.18,,,+30
08.19,,,+30
08.20,,+20,+30
