date,year,strategy,entry_i,exit_i,R,outcome,side
2018-01-02,2018,14:00 prev-close continuation TP30/SL25 H24,2161,3600,0.2163599999999951,TIME,LONG
2018-01-03,2018,14:00 prev-close continuation TP30/SL25 H24,3601,5040,0.1122400000000016,TIME,SHORT
2018-01-04,2018,14:00 prev-close continuation TP30/SL25 H24,5041,6480,-0.15228000000000066,TIME,SHORT
2018-01-05,2018,14:00 prev-close continuation TP30/SL25 H24,6481,7920,-0.1255199999999968,TIME,SHORT
2018-01-08,2018,14:00 prev-close continuation TP30/SL25 H24,10801,12240,-0.22307999999999992,TIME,LONG
2018-01-09,2018,14:00 prev-close continuation TP30/SL25 H24,12241,13680,-0.32427999999999885,TIME,SHORT
2018-01-10,2018,14:00 prev-close continuation TP30/SL25 H24,13681,15120,-0.15547999999999773,TIME,LONG
2018-01-11,2018,14:00 prev-close continuation TP30/SL25 H24,15121,16560,0.45435999999999693,TIME,LONG
2018-01-12,2018,14:00 prev-close continuation TP30/SL25 H24,16561,18000,0.2623999999999978,TIME,LONG
2018-01-15,2018,14:00 prev-close continuation TP30/SL25 H24,20881,22320,-0.24115999999999985,TIME,LONG
2018-01-16,2018,14:00 prev-close continuation TP30/SL25 H24,22321,23760,-0.06675999999999477,TIME,SHORT
2018-01-17,2018,14:00 prev-close continuation TP30/SL25 H24,23761,25200,0.2811999999999989,TIME,SHORT
2018-01-18,2018,14:00 prev-close continuation TP30/SL25 H24,25201,26640,0.1770799999999963,TIME,LONG
2018-01-19,2018,14:00 prev-close continuation TP30/SL25 H24,26641,28080,-0.11679999999999381,TIME,LONG
2018-01-22,2018,14:00 prev-close continuation TP30/SL25 H24,30961,32400,0.161279999999997,TIME,LONG
2018-01-23,2018,14:00 prev-close continuation TP30/SL25 H24,32401,33840,0.49199999999999816,TIME,LONG
2018-01-24,2018,14:00 prev-close continuation TP30/SL25 H24,33841,35280,0.3770400000000063,TIME,LONG
2018-01-25,2018,14:00 prev-close continuation TP30/SL25 H24,35281,36720,-0.3252400000000034,TIME,LONG
2018-01-26,2018,14:00 prev-close continuation TP30/SL25 H24,36721,38160,-0.08375999999999294,TIME,LONG
2018-01-29,2018,14:00 prev-close continuation TP30/SL25 H24,41041,42480,0.021199999999998907,TIME,SHORT
2018-01-30,2018,14:00 prev-close continuation TP30/SL25 H24,42481,43920,-0.11,TIME,LONG
2018-01-31,2018,14:00 prev-close continuation TP30/SL25 H24,43921,45360,-0.22795999999999367,TIME,LONG
2018-02-01,2018,14:00 prev-close continuation TP30/SL25 H24,45361,46800,-0.2936399999999958,TIME,SHORT
2018-02-02,2018,14:00 prev-close continuation TP30/SL25 H24,46801,48240,0.4598400000000038,TIME,SHORT
2018-02-05,2018,14:00 prev-close continuation TP30/SL25 H24,51121,52560,0.21435999999999694,TIME,LONG
2018-02-06,2018,14:00 prev-close continuation TP30/SL25 H24,52561,54000,-0.5859999999999945,TIME,LONG
2018-02-07,2018,14:00 prev-close continuation TP30/SL25 H24,54001,55440,-0.6687199999999939,TIME,LONG
2018-02-08,2018,14:00 prev-close continuation TP30/SL25 H24,55441,56880,-0.10184000000000197,TIME,SHORT
2018-02-09,2018,14:00 prev-close continuation TP30/SL25 H24,56881,58320,-0.10279999999999745,TIME,SHORT
2018-02-12,2018,14:00 prev-close continuation TP30/SL25 H24,61201,62640,0.261880000000001,TIME,LONG
2018-02-13,2018,14:00 prev-close continuation TP30/SL25 H24,62641,64080,0.12891999999999826,TIME,LONG
2018-02-14,2018,14:00 prev-close continuation TP30/SL25 H24,64081,65520,0.7996000000000003,TIME,LONG
2018-02-15,2018,14:00 prev-close continuation TP30/SL25 H24,65521,66960,0.2811999999999989,TIME,LONG
2018-02-16,2018,14:00 prev-close continuation TP30/SL25 H24,66961,68400,-0.46052000000000587,TIME,LONG
2018-02-19,2018,14:00 prev-close continuation TP30/SL25 H24,71281,72720,-0.3433600000000024,TIME,LONG
2018-02-20,2018,14:00 prev-close continuation TP30/SL25 H24,72721,74160,0.48,TIME,SHORT
2018-02-21,2018,14:00 prev-close continuation TP30/SL25 H24,74161,75600,0.17675999999999475,TIME,SHORT
2018-02-22,2018,14:00 prev-close continuation TP30/SL25 H24,75601,77040,-0.28384000000000015,TIME,SHORT
2018-02-23,2018,14:00 prev-close continuation TP30/SL25 H24,77041,78480,0.041840000000001966,TIME,SHORT
2018-02-26,2018,14:00 prev-close continuation TP30/SL25 H24,81361,82800,-0.2317199999999957,TIME,LONG
2018-02-27,2018,14:00 prev-close continuation TP30/SL25 H24,82801,84240,0.49684000000000195,TIME,SHORT
2018-02-28,2018,14:00 prev-close continuation TP30/SL25 H24,84241,85680,-0.37047999999999776,TIME,LONG
2018-03-01,2018,14:00 prev-close continuation TP30/SL25 H24,85681,87120,-0.4761200000000008,TIME,SHORT
2018-03-02,2018,14:00 prev-close continuation TP30/SL25 H24,87121,88560,-0.0017600000000038564,TIME,LONG
2018-03-05,2018,14:00 prev-close continuation TP30/SL25 H24,91441,92880,0.17399999999999635,TIME,LONG
2018-03-06,2018,14:00 prev-close continuation TP30/SL25 H24,92881,94320,0.10427999999999883,TIME,LONG
2018-03-07,2018,14:00 prev-close continuation TP30/SL25 H24,94321,95760,0.22024000000000343,TIME,SHORT
2018-03-08,2018,14:00 prev-close continuation TP30/SL25 H24,95761,97200,0.1779199999999946,TIME,SHORT
2018-03-09,2018,14:00 prev-close continuation TP30/SL25 H24,97201,98640,-0.1276800000000003,TIME,SHORT
2018-03-12,2018,Compression breakout TP15/SL15 H12,101308,102027,-0.18959999999998825,TIME,SHORT
2018-03-13,2018,14:00 prev-close continuation TP30/SL25 H24,102961,104400,-0.29200000000000725,TIME,SHORT
2018-03-14,2018,14:00 prev-close continuation TP30/SL25 H24,104401,105840,0.11867999999999483,TIME,SHORT
2018-03-15,2018,14:00 prev-close continuation TP30/SL25 H24,105841,107280,0.09195999999999913,TIME,SHORT
2018-03-16,2018,14:00 prev-close continuation TP30/SL25 H24,107281,108720,-0.25199999999999817,TIME,LONG
2018-03-19,2018,14:00 prev-close continuation TP30/SL25 H24,111601,113040,-0.029320000000006986,TIME,SHORT
2018-03-20,2018,14:00 prev-close continuation TP30/SL25 H24,113041,114480,-0.1589600000000064,TIME,SHORT
2018-03-21,2018,14:00 prev-close continuation TP30/SL25 H24,114481,115920,0.5848399999999947,TIME,LONG
2018-03-22,2018,14:00 prev-close continuation TP30/SL25 H24,115921,117360,-0.46155999999999947,TIME,SHORT
2018-03-23,2018,14:00 prev-close continuation TP30/SL25 H24,117361,118800,0.21636000000000422,TIME,LONG
2018-03-26,2018,14:00 prev-close continuation TP30/SL25 H24,121621,123060,0.015360000000000582,TIME,LONG
