family,variant,n_2023,n_2024,n_2025,n_2026
asia_outside_10_cont,b=0.0,78,61,57,34
asia_outside_10_fade,b=0.0,78,61,57,34
ema_trend_600,basic,178,181,172,101
ema_slope_600,aligned,152,159,153,102
z_cont_600,z=0.5,205,194,191,134
z_fade_600,z=0.5,205,194,191,134
asia_pos_cont_600,f=0.55,237,232,238,147
asia_pos_fade_600,f=0.55,237,232,238,147
asia_pos_cont_600,f=0.6,211,216,213,136
asia_pos_fade_600,f=0.6,211,216,213,136
asia_pos_cont_600,f=0.65,191,190,190,121
asia_pos_fade_600,f=0.65,191,190,190,121
asia_pos_cont_600,f=0.7,181,162,166,108
asia_pos_fade_600,f=0.7,181,162,166,108
asia_pos_cont_600,f=0.75,160,147,149,87
asia_pos_fade_600,f=0.75,160,147,149,87
asia_mid_ema_600,cont,186,175,169,105
prevclose_cont_600,th=1.0,221,224,245,162
prevclose_fade_600,th=1.0,221,224,245,162
prevclose_cont_600,th=2.0,186,199,236,161
prevclose_fade_600,th=2.0,186,199,236,161
prevclose_cont_600,th=3.0,164,177,225,158
prevclose_fade_600,th=3.0,164,177,225,158
prevclose_cont_600,th=5.0,100,143,201,152
prevclose_fade_600,th=5.0,100,143,201,152
prevclose_cont_600,th=8.0,43,88,163,147
prevclose_fade_600,th=8.0,43,88,163,147
ema_trend_660,basic,186,190,175,109
ema_slope_660,aligned,149,161,160,106
rsi_cont_660,th=52.0,226,223,224,142
rsi_fade_660,th=52.0,226,223,224,142
rsi_cont_660,th=55.0,178,175,166,114
rsi_fade_660,th=55.0,178,175,166,114
z_cont_660,z=0.5,197,201,204,121
z_fade_660,z=0.5,197,201,204,121
z_cont_660,z=0.75,161,179,173,104
z_fade_660,z=0.75,161,179,173,104
z_cont_660,z=1.0,137,141,137,88
z_fade_660,z=1.0,137,141,137,88
asia_pos_cont_660,f=0.55,244,241,239,148
asia_pos_fade_660,f=0.55,244,241,239,148
asia_pos_cont_660,f=0.6,226,223,224,134
asia_pos_fade_660,f=0.6,226,223,224,134
prevclose_cont_660,th=1.0,230,238,244,164
prevclose_fade_660,th=1.0,230,238,244,164
prevclose_cont_660,th=2.0,196,213,236,162
prevclose_fade_660,th=2.0,196,213,236,162
prevclose_cont_660,th=3.0,161,193,227,157
prevclose_fade_660,th=3.0,161,193,227,157
prevclose_cont_660,th=5.0,111,159,203,153
prevclose_fade_660,th=5.0,111,159,203,153
prevclose_cont_660,th=8.0,54,106,177,146
prevclose_fade_660,th=8.0,54,106,177,146
ema_trend_720,basic,159,178,172,106
rsi_cont_720,th=52.0,235,216,216,146
rsi_fade_720,th=52.0,235,216,216,146
rsi_cont_720,th=55.0,175,153,159,119
rsi_fade_720,th=55.0,175,153,159,119
asia_pos_cont_720,f=0.55,236,249,246,153
asia_pos_fade_720,f=0.55,236,249,246,153
asia_pos_cont_720,f=0.6,218,228,232,140
asia_pos_fade_720,f=0.6,218,228,232,140
asia_pos_cont_720,f=0.65,208,213,218,126
asia_pos_fade_720,f=0.65,208,213,218,126
asia_pos_cont_720,f=0.7,196,196,193,110
asia_pos_fade_720,f=0.7,196,196,193,110
prevclose_cont_720,th=1.0,228,236,251,160
prevclose_fade_720,th=1.0,228,236,251,160
prevclose_cont_720,th=2.0,192,220,242,159
prevclose_fade_720,th=2.0,192,220,242,159
prevclose_cont_720,th=3.0,167,203,233,154
prevclose_fade_720,th=3.0,167,203,233,154
prevclose_cont_720,th=5.0,119,168,213,149
prevclose_fade_720,th=5.0,119,168,213,149
prevclose_cont_720,th=8.0,57,119,184,143
prevclose_fade_720,th=8.0,57,119,184,143
ema_trend_780,basic,165,164,179,100
ema_slope_780,aligned,155,152,136,95
rsi_cont_780,th=52.0,223,230,218,139
rsi_fade_780,th=52.0,223,230,218,139
rsi_cont_780,th=55.0,172,176,162,107
rsi_fade_780,th=55.0,172,176,162,107
rsi_cont_780,th=58.0,129,128,116,78
rsi_fade_780,th=58.0,129,128,116,78
rsi_cont_780,th=60.0,101,104,90,58
rsi_fade_780,th=60.0,101,104,90,58
z_cont_780,z=0.5,205,204,185,124
z_fade_780,z=0.5,205,204,185,124
z_cont_780,z=0.75,174,163,147,99
z_fade_780,z=0.75,174,163,147,99
z_cont_780,z=1.0,139,132,117,78
z_fade_780,z=1.0,139,132,117,78
z_cont_780,z=1.25,105,102,96,64
z_fade_780,z=1.25,105,102,96,64
z_cont_780,z=1.5,71,71,72,46
z_fade_780,z=1.5,71,71,72,46
asia_mid_ema_780,cont,161,152,170,97
prevclose_cont_780,th=1.0,230,243,247,163
prevclose_fade_780,th=1.0,230,243,247,163
prevclose_cont_780,th=2.0,198,228,238,161
prevclose_fade_780,th=2.0,198,228,238,161
prevclose_cont_780,th=3.0,169,204,231,159
prevclose_fade_780,th=3.0,169,204,231,159
prevclose_cont_780,th=5.0,114,171,208,150
prevclose_fade_780,th=5.0,114,171,208,150
prevclose_cont_780,th=8.0,54,121,183,139
prevclose_fade_780,th=8.0,54,121,183,139
