family,variant,exit,rr,n_2023,n_2024,n_2025,n_2026,net_2023,net_2024,net_2025,net_2026,n,positive,negative,win_rate,tp_count,sl_count,time_count,net,ev,pf,max_dd,max_loss_streak,streak_start,streak_end,avg_tp,avg_sl
asia_close_10_16,all,10_10,1.0,244,243,209,116,-260.0,190.0,90.0,-80.0,812,403,409,0.4963054187192118,403,409,0,-60.0,-0.07389162561576355,0.9853300733496333,390.0,13,2023-02-06,2023-02-22,10.0,10.0
asia_close_10_16,all,15_15,1.0,244,243,209,116,120.0,315.0,135.0,120.0,812,429,383,0.5283251231527094,429,383,0,690.0,0.8497536945812808,1.1201044386422976,165.0,8,2024-08-26,2024-09-04,15.0,15.0
asia_close_10_16,all,20_20,1.0,244,243,209,116,-80.0,500.0,260.0,280.0,812,430,382,0.5295566502463054,430,382,0,960.0,1.1822660098522169,1.12565445026178,400.0,8,2024-08-26,2024-09-04,20.0,20.0
asia_close_10_16,all,20_15,1.3333333333333333,244,243,209,116,15.0,450.0,295.0,255.0,812,377,435,0.4642857142857143,377,435,0,1015.0,1.25,1.1555555555555554,210.0,8,2024-08-26,2024-09-04,20.0,15.0
asia_close_10_16,all,25_20,1.25,244,243,209,116,-20.0,630.0,230.0,290.0,812,386,426,0.4753694581280788,386,426,0,1130.0,1.3916256157635467,1.1326291079812207,420.0,8,2024-01-04,2024-01-15,25.0,20.0
asia_close_10_16,all,30_25,1.2,244,243,209,116,-50.0,745.0,495.0,345.0,812,397,415,0.48891625615763545,397,415,0,1535.0,1.8903940886699508,1.1479518072289157,665.0,9,2023-06-23,2023-07-05,30.0,25.0
asia_close_10_16,all,40_30,1.3333333333333333,244,243,209,116,100.0,690.0,590.0,440.0,812,374,438,0.4605911330049261,374,438,0,1820.0,2.2413793103448274,1.1385083713850837,640.0,8,2023-02-15,2023-02-24,40.0,30.0
asia_close_10_16,all,A25_R1,1.0,241,240,206,114,-137.56499999999988,-20.07862499999976,166.4812499999996,-136.26862500000004,801,388,413,0.484394506866417,388,413,0,-127.4310000000001,-0.15908988764044957,0.9577634561637716,239.93150000000014,10,2023-02-10,2023-02-23,7.374191635455676,7.374191635455676
asia_close_10_16,all,A25_R125,1.25,241,240,206,114,-248.99403124999986,-30.027312499999766,170.64021874999966,-175.7178750000001,801,332,469,0.41448189762796506,332,469,0,-284.09900000000005,-0.3546803995006243,0.9166322723449258,342.0765,10,2023-02-10,2023-02-23,9.217739544319596,7.374191635455676
asia_close_10_16,all,R60_R1,1.0,241,240,206,114,-54.51149999999825,-200.24150000000623,116.73799999999255,-79.7844999999993,801,384,417,0.4794007490636704,384,417,0,-217.79950000001122,-0.27190948813983923,0.9520408820490326,389.11950000000684,9,2024-09-06,2024-09-18,11.067310237203497,11.067310237203497
