family,variant,n_2023,n_2024,n_2025,n_2026
asia_close_10_16,all,244,243,209,116
asia_close_wdpair,0-1,94,96,82,44
asia_close_wdpair,0-2,96,93,85,42
asia_close_wdpair,0-3,94,96,85,40
asia_close_wdpair,0-4,95,96,80,44
asia_mid_cont_600,all,260,262,261,166
asia_mid_fade_600,all,260,262,261,166
ensemble_600,majority,260,262,261,166
asia_mid_cont_840,all,260,262,261,166
asia_mid_fade_840,all,260,262,261,166
ensemble_840,majority,260,262,261,166
asia_close_wdpair,1-2,100,97,85,50
asia_close_wdpair,1-3,98,100,85,48
asia_close_wdpair,1-4,99,100,80,52
ema_trend_600,all,178,181,172,101
prevclose_cont_600,all,259,262,261,166
prevclose_fade_600,all,259,262,261,166
prevclose_cont_840,all,259,262,261,166
prevclose_fade_840,all,259,262,261,166
09_10_norm_cont,f=0.25,185,188,177,126
09_10_norm_fade,f=0.25,185,188,177,126
09_10_norm_cont,f=0.4,140,144,136,97
09_10_norm_fade,f=0.4,140,144,136,97
09_10_norm_cont,f=0.55,88,97,95,76
09_10_norm_fade,f=0.55,88,97,95,76
asia_close_wdpair,2-3,100,97,88,46
asia_close_wdpair,2-4,101,97,83,50
ema_trend_840,all,166,174,164,109
asia_close_wdpair,3-4,99,100,83,48
