tm,tp,sl,rr,threshold,freq_ok,all_years_positive,n,positive,negative,wr,net,ev,pf,dd,streak,n_2023,n_2024,n_2025,n_2026,net_2023,net_2024,net_2025,net_2026
600,10.0,10.0,1.0,0.5,True,False,802,401,401,0.5,-20.982000000001108,-0.02616209476309365,0.9944141217136839,300.2570000000005,10,212,224,224,142,33.33399999999915,-94.89400000000023,-59.422000000000025,100.0
600,10.0,10.0,1.0,0.52,True,False,677,335,342,0.4948301329394387,-102.6170000000011,-0.1515760709010356,0.9681218921275667,338.96600000000035,9,171,201,187,118,80.85199999999918,-134.04700000000025,-89.42200000000003,40.0
600,10.0,10.0,1.0,0.54,True,False,567,281,286,0.49559082892416223,-105.84600000000046,-0.1866772486772495,0.960869762921322,254.95000000000073,7,143,166,159,99,18.249999999999318,-61.8299999999997,-72.26600000000008,10.0
600,10.0,10.0,1.0,0.56,True,False,432,207,225,0.4791666666666667,-182.24900000000048,-0.4218726851851863,0.9143206779539899,245.50500000000034,7,100,125,128,79,-40.83100000000081,-69.15199999999959,-82.26600000000008,10.0
600,10.0,10.0,1.0,0.58,False,False,328,162,166,0.49390243902439024,-45.00700000000052,-0.13721646341463573,0.9713732167492789,184.67300000000023,8,73,94,101,60,-10.503000000000611,-42.23799999999983,-32.266000000000076,40.0
600,10.0,10.0,1.0,0.6,False,False,252,123,129,0.4880952380952381,-77.1260000000002,-0.30605555555555636,0.937119665533952,186.106,8,54,68,83,47,-66.43900000000053,-8.420999999999594,-32.266000000000076,30.0
600,10.0,10.0,1.0,0.62,False,False,180,91,89,0.5055555555555555,6.42699999999968,0.035705555555553777,1.0076837917067172,125.92500000000041,8,35,50,63,32,-77.50200000000063,37.559000000000424,26.36999999999989,20.0
600,10.0,10.0,1.0,0.64,False,False,114,60,54,0.5263157894736842,53.297999999999774,0.4675263157894717,1.1072038458057178,105.37800000000038,7,22,27,40,25,-94.83500000000049,66.36300000000028,51.76999999999998,30.0
600,10.0,10.0,1.0,0.66,False,False,91,47,44,0.5164835164835165,41.734999999999445,0.45862637362636755,1.1050822705928252,77.94500000000039,5,18,21,32,20,-74.83500000000049,64.79999999999995,31.769999999999982,20.0
600,10.0,10.0,1.0,0.68,False,False,55,27,28,0.4909090909090909,-2.4170000000001437,-0.04394545454545716,0.9908973475390445,80.0,7,12,15,22,6,-52.417000000000144,50.0,-20.0,20.0
600,10.0,10.0,1.0,0.7,False,False,28,12,16,0.42857142857142855,-31.839999999999918,-1.1371428571428541,0.7903055848261332,41.83999999999992,4,6,7,11,4,-31.839999999999918,10.0,-10.0,0.0
