strategy,tp,sl,horizon_m1,train_score,train_n,train_net_points,train_ev_points,train_wr,train_pf,train_time_exits,oos_n,oos_net_points,oos_ev_points,oos_wr,oos_pf,oos_time_exits,oos_compound_final,oos_compound_dd,oos_stalled,full_net_points,full_ev_points,full_wr,full_pf,robust_score
prevclose_0959_to_1000,30.0,30.0,480,-0.31446369370392324,1291,-309.05599999999754,-0.23939271882261623,0.46475600309837334,0.9407676463660448,1228,949,620.9360000000036,0.6543055848261365,0.5005268703898841,1.089279772984579,656,285.3899999999999,0.048700000000000424,True,311.880000000006,0.13923214285714555,0.4799107142857143,1.0256214040756177,1.2440516149583658
prevclose_0959_to_1000,20.0,30.0,480,-0.36822700478721626,1291,-362.9199999999978,-0.28111541440743437,0.46630518977536795,0.9296351524878687,1161,949,532.1150000000014,0.560711275026345,0.5279241306638567,1.0824841140012722,543,285.3899999999999,0.048700000000000424,True,169.19500000000357,0.07553348214285874,0.4924107142857143,1.0145747066236768,1.044696514014035
prevclose_0959_to_1000,25.0,30.0,480,-0.33399696272732654,1291,-328.59599999999773,-0.2545282726568534,0.46553059643687067,0.9366585005384866,1208,949,498.2450000000031,0.5250210748155986,0.5100105374077977,1.0731767855792191,611,285.3899999999999,0.048700000000000424,True,169.64900000000534,0.0757361607142881,0.484375,1.0141415719318865,0.9654856954778227
prevclose_0959_to_1000,30.0,25.0,480,-0.3284109567199736,1291,-322.9769999999976,-0.250175832687837,0.4632068164213788,0.9381616504471447,1209,949,609.7780000000039,0.6425479452054835,0.48998946259220233,1.091064187186219,622,246.55899999999997,0.2826122377724109,True,286.8010000000063,0.12803616071428853,0.4745535714285714,1.0240623881518158,0.7235094812101258
prevclose_0959_to_1000,25.0,25.0,480,-0.3529135286265378,1291,-347.5169999999978,-0.26918435321456063,0.46398140975987606,0.933143116367227,1189,949,548.4170000000033,0.5778893572181278,0.5005268703898841,1.083792095093441,578,246.55899999999997,0.2826122377724109,True,200.90000000000555,0.08968750000000247,0.47946428571428573,1.017108214438056,0.5841017588506109
prevclose_0959_to_1000,20.0,25.0,480,-0.3920566231343046,1291,-386.84099999999785,-0.2996444616576281,0.46475600309837334,0.9252181164849904,1142,949,491.94700000000057,0.518384615384616,0.5163329820864068,1.0784443198200564,513,240.73900000000003,0.28748039186669394,True,105.10600000000272,0.046922321428572646,0.48660714285714285,1.009184205152421,0.4261438559560444
prevclose_0959_to_1000,30.0,20.0,480,-0.29365890479727313,1291,-288.35799999999654,-0.22336018590239856,0.4616576297443842,0.9441976233704366,1163,949,514.2260000000012,0.541860906217072,0.4720758693361433,1.0806185649115956,581,196.89700000000062,0.4179810818799863,True,225.8680000000047,0.10083392857143067,0.4660714285714286,1.019562459423149,0.0793325129674044
prevclose_0959_to_1000,25.0,20.0,480,-0.3232531067682498,1291,-317.8979999999967,-0.2462416731216086,0.4624322230828815,0.9382420855539974,1143,949,505.7510000000011,0.5329304531085365,0.48261327713382507,1.0810568672700631,538,196.89700000000062,0.4179810818799863,True,187.85300000000439,0.08386294642857339,0.47098214285714285,1.0164972255508395,0.06098523111120968
prevclose_0959_to_1000,20.0,20.0,480,-0.3674927653373275,1291,-362.2219999999968,-0.2805747482571625,0.4632068164213788,0.9293568037045841,1096,949,449.86099999999965,0.4740368809272915,0.49841938883034775,1.074983644347695,476,199.58400000000074,0.39971126082771674,True,87.63900000000285,0.03912455357142985,0.478125,1.0078762887302093,-0.02349539081233487
prevclose_0959_to_1000,6.0,30.0,120,-0.36556229570591253,1291,-370.3280000000009,-0.2868536018590247,0.48412083656080557,0.8231588517989347,1139,949,-248.23800000000256,-0.26157850368809543,0.547945205479452,0.9029317779769408,605,291.0,0.03,True,-618.5660000000034,-0.27614553571428724,0.5111607142857143,0.8670174937718794,-0.07545920748470858
