strategy,tp,sl,horizon_m1,train_score,train_n,train_net_points,train_ev_points,train_wr,train_pf,train_time_exits
prevclose_0959_to_1000,30.0,15.0,480,-0.25934707973389176,1291,-254.29699999999684,-0.19697676219984264,0.45778466305189774,0.9499138401529513,1080
prevclose_0959_to_1000,30.0,8.0,480,-0.27899817941605803,1291,-274.190999999998,-0.21238652207590858,0.4120836560805577,0.9409023231192877,774
prevclose_0959_to_1000,25.0,15.0,480,-0.28903518259183164,1291,-283.83699999999703,-0.2198582494190527,0.458559256390395,0.9439300097526947,1060
prevclose_0959_to_1000,30.0,20.0,480,-0.29365890479727313,1291,-288.35799999999654,-0.22336018590239856,0.4616576297443842,0.9441976233704366,1163
prevclose_0959_to_1000,25.0,8.0,480,-0.3052498391195769,1291,-300.429999999998,-0.23271107668473898,0.412858249419055,0.935135062777117,756
prevclose_0959_to_1000,30.0,30.0,480,-0.31446369370392324,1291,-309.05599999999754,-0.23939271882261623,0.46475600309837334,0.9407676463660448,1228
prevclose_0959_to_1000,25.0,20.0,480,-0.3232531067682498,1291,-317.8979999999967,-0.2462416731216086,0.4624322230828815,0.9382420855539974,1143
prevclose_0959_to_1000,20.0,8.0,480,-0.3266341248740307,1291,-321.8649999999982,-0.24931448489542848,0.4136328427575523,0.9303868567167229,711
prevclose_0959_to_1000,30.0,25.0,480,-0.3284109567199736,1291,-322.9769999999976,-0.250175832687837,0.4632068164213788,0.9381616504471447,1209
prevclose_0959_to_1000,25.0,30.0,480,-0.33399696272732654,1291,-328.59599999999773,-0.2545282726568534,0.46553059643687067,0.9366585005384866,1208
prevclose_0959_to_1000,20.0,15.0,480,-0.3352181322708867,1291,-329.9679999999971,-0.2555910147172712,0.45933384972889235,0.9346234370761881,1014
prevclose_0959_to_1000,4.0,30.0,120,-0.339730663682834,1291,-343.6409999999996,-0.26618202943454655,0.5042602633617351,0.8289286215661622,983
prevclose_0959_to_1000,4.0,25.0,120,-0.3411870276235524,1291,-345.1709999999996,-0.2673671572424474,0.5042602633617351,0.8282977364437338,982
prevclose_0959_to_1000,30.0,12.0,480,-0.34336297022639684,1291,-338.13899999999717,-0.2619202168861326,0.44384198295894656,0.9328346735716555,978
prevclose_0959_to_1000,4.0,12.0,120,-0.34493265276283924,1291,-349.10799999999904,-0.2704167312161108,0.5042602633617351,0.8266787474090538,954
prevclose_0959_to_1000,4.0,5.0,120,-0.348646725588363,1291,-353.5599999999979,-0.27386522075909986,0.48876839659178933,0.8191785501859318,738
prevclose_0959_to_1000,25.0,25.0,480,-0.3529135286265378,1291,-347.5169999999978,-0.26918435321456063,0.46398140975987606,0.933143116367227,1189
prevclose_0959_to_1000,4.0,20.0,120,-0.35728247818106595,1291,-362.10899999999947,-0.2804872192099144,0.5042602633617351,0.8213770936244903,978
prevclose_0959_to_1000,4.0,10.0,120,-0.3582649008924559,1291,-363.19199999999864,-0.2813261037955063,0.5027110766847405,0.8204584934593455,936
prevclose_0959_to_1000,4.0,15.0,120,-0.36218447919567137,1291,-367.27799999999934,-0.2844910921766068,0.5042602633617351,0.8192880813030936,968
prevclose_0959_to_1000,6.0,5.0,120,-0.36455388777438114,1291,-369.84099999999876,-0.28647637490317485,0.4686289697908598,0.8176330026962478,875
prevclose_0959_to_1000,6.0,30.0,120,-0.36556229570591253,1291,-370.3280000000009,-0.2868536018590247,0.48412083656080557,0.8231588517989347,1139
prevclose_0959_to_1000,6.0,25.0,120,-0.36701490520063157,1291,-371.85800000000086,-0.2880387296669255,0.48412083656080557,0.8225578791959374,1138
prevclose_0959_to_1000,20.0,20.0,480,-0.3674927653373275,1291,-362.2219999999968,-0.2805747482571625,0.4632068164213788,0.9293568037045841,1096
prevclose_0959_to_1000,20.0,30.0,480,-0.36822700478721626,1291,-362.9199999999978,-0.28111541440743437,0.46630518977536795,0.9296351524878687,1161
prevclose_0959_to_1000,4.0,8.0,120,-0.3695423919684272,1291,-375.13299999999913,-0.2905755228505028,0.5019364833462432,0.8152806713718111,888
prevclose_0959_to_1000,30.0,5.0,480,-0.37020578864978493,1291,-367.03399999999783,-0.28430209140201224,0.33152594887683967,0.9064692084129148,525
prevclose_0959_to_1000,25.0,12.0,480,-0.37079555951091203,1291,-365.67899999999736,-0.28325251742834806,0.44461657629744383,0.9271907929790139,958
prevclose_0959_to_1000,30.0,10.0,480,-0.3711726894703501,1291,-366.1989999999978,-0.283655305964367,0.4314484895429899,0.9256028179177839,889
prevclose_0959_to_1000,10.0,30.0,120,-0.3724152296947546,1291,-377.4540000000011,-0.29237335398915654,0.4786986831913246,0.8212979187073929,1248
prevclose_0959_to_1000,10.0,25.0,120,-0.3738666328162559,1291,-378.98400000000106,-0.29355848179705735,0.4786986831913246,0.8207034304808518,1247
prevclose_0959_to_1000,30.0,30.0,120,-0.37557710092482716,1291,-380.7770000000012,-0.2949473276529831,0.47792408985282725,0.820110226935585,1288
prevclose_0959_to_1000,30.0,25.0,120,-0.377027734884402,1291,-382.30700000000115,-0.2961324554608839,0.47792408985282725,0.8195178670735423,1287
prevclose_0959_to_1000,25.0,30.0,120,-0.37800404062123366,1291,-383.36000000000104,-0.2969481022463215,0.47792408985282725,0.8188899450282603,1287
prevclose_0959_to_1000,5.0,5.0,120,-0.37849211068657407,1291,-384.9569999999974,-0.2981851278078988,0.4748257164988381,0.8079576282262995,830
prevclose_0959_to_1000,6.0,12.0,120,-0.37876957412575685,1291,-384.25400000000036,-0.2976405886909375,0.48412083656080557,0.8177209881720298,1108
prevclose_0959_to_1000,25.0,25.0,120,-0.3794538850495954,1291,-384.890000000001,-0.2981332300542223,0.47792408985282725,0.8182984665672763,1286
prevclose_0959_to_1000,15.0,30.0,120,-0.38077006163643934,1291,-386.3060000000014,-0.29923005422153476,0.47792408985282725,0.8174981717030652,1280
prevclose_0959_to_1000,5.0,30.0,120,-0.3813915208466392,1291,-387.41199999999935,-0.3000867544539112,0.4903175832687839,0.812812613545879,1088
prevclose_0959_to_1000,15.0,15.0,480,-0.3817809911050965,1291,-376.8140000000001,-0.2918776142525175,0.4670797831138652,0.9240521279730534,938
prevclose_0959_to_1000,15.0,25.0,120,-0.38221900701249745,1291,-387.8360000000014,-0.3004151820294356,0.47792408985282725,0.8169076985101877,1279
prevclose_0959_to_1000,5.0,25.0,120,-0.3828374464204023,1291,-388.9419999999993,-0.301271882261812,0.4903175832687839,0.8122121807010315,1087
prevclose_0959_to_1000,6.0,20.0,120,-0.3830702605916006,1291,-388.79600000000073,-0.3011587916343925,0.48412083656080557,0.8159629195548982,1134
prevclose_0959_to_1000,8.0,30.0,120,-0.38336309188923495,1291,-389.1150000000009,-0.3014058869093733,0.47947327652982186,0.8157492126672149,1216
prevclose_0959_to_1000,30.0,5.0,120,-0.38464888367844696,1291,-391.0269999999989,-0.30288690937257856,0.4616576297443842,0.8098267548957724,1012
prevclose_0959_to_1000,8.0,25.0,120,-0.38481090921249134,1291,-390.6450000000009,-0.3025910147172741,0.47947327652982186,0.815158651409785,1215
prevclose_0959_to_1000,10.0,12.0,120,-0.3856117134395184,1291,-391.38000000000056,-0.30316034082106935,0.4786986831913246,0.8159184581512922,1217
prevclose_0959_to_1000,25.0,5.0,120,-0.38706208279780263,1291,-393.60999999999876,-0.3048876839659169,0.4616576297443842,0.8085705309212025,1011
prevclose_0959_to_1000,12.0,30.0,120,-0.38774142294584096,1291,-393.74100000000135,-0.30498915569326207,0.47792408985282725,0.8139856684196896,1268
prevclose_0959_to_1000,15.0,8.0,480,-0.3889086790693128,1291,-384.6810000000005,-0.29797134004647596,0.42137877614252517,0.9155646211677899,648
prevclose_0959_to_1000,12.0,25.0,120,-0.38918810612893157,1291,-395.2710000000013,-0.30617428350116294,0.47792408985282725,0.8133977322832857,1267
prevclose_0959_to_1000,4.0,8.0,240,-0.3893143409508876,1291,-392.91499999999587,-0.3043493415956591,0.5073586367157242,0.8375079661066732,688
prevclose_0959_to_1000,10.0,20.0,120,-0.38990896823226906,1291,-395.92200000000093,-0.30667854376452436,0.4786986831913246,0.8141791412540214,1243
prevclose_0959_to_1000,25.0,10.0,480,-0.39056681554434813,1291,-385.738999999998,-0.29879085979860415,0.4322230828814872,0.9214735264084483,869
prevclose_0959_to_1000,8.0,5.0,120,-0.39188246075567024,1291,-398.8829999999987,-0.30897211463981306,0.46398140975987606,0.8050274654640981,948
prevclose_0959_to_1000,4.0,30.0,240,-0.3919434290787708,1291,-395.4469999999951,-0.30631061192873366,0.5143299767621998,0.8386860965492166,843
prevclose_0959_to_1000,20.0,25.0,480,-0.3920566231343046,1291,-386.84099999999785,-0.2996444616576281,0.46475600309837334,0.9252181164849904,1142
prevclose_0959_to_1000,6.0,10.0,120,-0.39302411875149545,1291,-399.394,-0.3093679318357862,0.482571649883811,0.8112300433269953,1089
prevclose_0959_to_1000,30.0,20.0,120,-0.3930616830478352,1291,-399.245000000001,-0.3092525174283509,0.47792408985282725,0.8130168153496263,1283
prevclose_0959_to_1000,15.0,8.0,240,-0.3939453211465626,1291,-396.0619999999949,-0.3067869868319093,0.45236250968241676,0.8523014800729595,1081
prevclose_0959_to_1000,15.0,30.0,480,-0.39443820021184955,1291,-389.4280000000008,-0.30164833462432283,0.4740511231603408,0.9228282234982852,1081
prevclose_0959_to_1000,5.0,12.0,120,-0.39453815621992283,1291,-401.33799999999883,-0.310873741285824,0.4903175832687839,0.8073800114610769,1057
prevclose_0959_to_1000,10.0,5.0,120,-0.39491776655035743,1291,-402.0839999999987,-0.3114515879163429,0.4624322230828815,0.8039725774950987,978
prevclose_0959_to_1000,6.0,15.0,120,-0.3951363234148881,1291,-401.5580000000007,-0.3110441518202949,0.48412083656080557,0.8110633596786988,1123
prevclose_0959_to_1000,25.0,20.0,120,-0.3954791682382674,1291,-401.8280000000009,-0.3112532920216893,0.47792408985282725,0.8118070880745148,1282
prevclose_0959_to_1000,30.0,12.0,120,-0.3958315576830973,1291,-402.1760000000006,-0.31152285050348616,0.47792408985282725,0.8119023087072164,1256
prevclose_0959_to_1000,8.0,12.0,120,-0.3965271260296819,1291,-403.0410000000004,-0.3121928737412861,0.47947327652982186,0.8104052915533566,1185
prevclose_0959_to_1000,20.0,30.0,120,-0.3967405824600586,1291,-403.36000000000104,-0.31243996901626725,0.47792408985282725,0.8094413820602021,1287
prevclose_0959_to_1000,20.0,8.0,240,-0.39795105860648594,1291,-400.25099999999475,-0.3100317583268743,0.4515879163439194,0.8507447826062656,1096
prevclose_0959_to_1000,20.0,25.0,120,-0.3981843533935005,1291,-404.890000000001,-0.3136250968241681,0.47792408985282725,0.8088567282299476,1286
prevclose_0959_to_1000,15.0,20.0,120,-0.39823442325051406,1291,-404.77400000000125,-0.3135352439969026,0.47792408985282725,0.8104273526689867,1275
prevclose_0959_to_1000,25.0,12.0,120,-0.39824755739512724,1291,-404.75900000000047,-0.3135236250968245,0.47792408985282725,0.810694239760762,1255
prevclose_0959_to_1000,25.0,8.0,240,-0.398458516859708,1291,-400.78199999999447,-0.3104430673896162,0.4515879163439194,0.8505467705577359,1102
prevclose_0959_to_1000,5.0,20.0,120,-0.39881915783434785,1291,-405.8799999999992,-0.314391944229279,0.4903175832687839,0.8056238254962853,1083
prevclose_0959_to_1000,30.0,8.0,240,-0.4002060130210289,1291,-402.6109999999944,-0.31185979860572766,0.4515879163439194,0.8498647290572447,1105
prevclose_0959_to_1000,8.0,20.0,120,-0.4008138880277486,1291,-407.58300000000077,-0.31571107668474113,0.47947327652982186,0.8086774677340993,1211
prevclose_0959_to_1000,15.0,5.0,120,-0.4009842945518008,1291,-408.5469999999991,-0.3164577846630512,0.4616576297443842,0.8013060254979915,1006
prevclose_0959_to_1000,15.0,12.0,120,-0.40100112086844886,1291,-407.70500000000084,-0.3158055770720378,0.47792408985282725,0.8093163957358858,1248
prevclose_0959_to_1000,10.0,15.0,120,-0.4019656175661575,1291,-408.6840000000009,-0.3165639039504267,0.4786986831913246,0.809331505108408,1232
prevclose_0959_to_1000,12.0,5.0,120,-0.4023188534992603,1291,-409.98199999999906,-0.3175693261037948,0.4616576297443842,0.800608123289897,994
prevclose_0959_to_1000,25.0,5.0,480,-0.40353582261553045,1291,-400.9659999999976,-0.3105855925639021,0.33152594887683967,0.897822361471942,509
prevclose_0959_to_1000,12.0,20.0,120,-0.4051786951724779,1291,-412.2090000000012,-0.3192943454686299,0.47792408985282725,0.806945230218172,1263
prevclose_0959_to_1000,6.0,8.0,120,-0.40554566975643086,1291,-412.7280000000005,-0.31969635941130947,0.4817970565453137,0.8056017012818488,1040
prevclose_0959_to_1000,20.0,5.0,120,-0.40569060953056424,1291,-413.60999999999876,-0.3203795507358627,0.4616576297443842,0.7988436708780735,1011
prevclose_0959_to_1000,4.0,5.0,240,-0.40693371157221037,1291,-412.36099999999715,-0.31941208365607837,0.47792408985282725,0.8220255187061374,520
prevclose_0959_to_1000,5.0,10.0,120,-0.4077895026986667,1291,-415.4779999999985,-0.3218264910921754,0.48876839659178933,0.8013294180484696,1038
