strategy,tp,sl,horizon_m1,train_score,train_n,train_net_points,train_ev_points,train_wr,train_pf,train_time_exits
prevclose_1000close_to_1001,30.0,15.0,480,-0.22647042190832742,1291,-221.70999999999503,-0.17173508907823007,0.4562354763749032,0.9561586940190867,1084
prevclose_1000close_to_1001,30.0,8.0,480,-0.266857781017702,1291,-262.0969999999934,-0.2030185902401188,0.4120836560805577,0.9433499272467288,774
prevclose_1000close_to_1001,30.0,20.0,480,-0.2806763525163003,1291,-275.4349999999956,-0.21335011618899738,0.4608830364058869,0.9467007217515865,1165
prevclose_1000close_to_1001,20.0,15.0,480,-0.28620628212083854,1291,-281.0399999999954,-0.21769171185127453,0.458559256390395,0.9441963089027388,1015
prevclose_1000close_to_1001,25.0,15.0,480,-0.28893869759661656,1291,-283.74499999999557,-0.2197869868319098,0.4562354763749032,0.9438917894296408,1064
prevclose_1000close_to_1001,20.0,8.0,480,-0.2947785872078203,1291,-289.9789999999939,-0.22461580170410061,0.4144074360960496,0.9371039566862156,710
prevclose_1000close_to_1001,30.0,30.0,480,-0.30398679293875336,1291,-298.6149999999968,-0.23130518977536546,0.4632068164213788,0.9426714969167805,1230
prevclose_1000close_to_1001,30.0,25.0,480,-0.31950692816385234,1291,-314.08999999999673,-0.24329202168861094,0.4616576297443842,0.9397953859677577,1210
prevclose_1000close_to_1001,25.0,8.0,480,-0.3251743211397683,1291,-320.39699999999425,-0.24817738187451144,0.4120836560805577,0.930748870227702,757
prevclose_1000close_to_1001,5.0,5.0,120,-0.32899205817397026,1291,-332.64599999999723,-0.25766537567776704,0.4740511231603408,0.8304571265182731,833
prevclose_1000close_to_1001,25.0,20.0,480,-0.3313529550676632,1291,-325.9729999999961,-0.2524965143299737,0.4608830364058869,0.9369211406376453,1144
prevclose_1000close_to_1001,20.0,20.0,480,-0.33362109483106656,1291,-328.26799999999594,-0.2542742060418249,0.4632068164213788,0.936157347900913,1095
prevclose_1000close_to_1001,4.0,5.0,120,-0.34508815062798825,1291,-350.0809999999972,-0.2711704105344672,0.48412083656080557,0.817763338719351,755
prevclose_1000close_to_1001,20.0,30.0,480,-0.3468252751418875,1291,-341.44799999999714,-0.26448334624322006,0.46553059643687067,0.9339937285459035,1160
prevclose_1000close_to_1001,6.0,5.0,120,-0.34982819855293024,1291,-354.4979999999964,-0.2745917893106091,0.4678543764523625,0.8219809787234701,896
prevclose_1000close_to_1001,25.0,30.0,480,-0.35455925014225037,1291,-349.1529999999973,-0.27045158791634183,0.4632068164213788,0.9329691447615981,1209
prevclose_1000close_to_1001,30.0,5.0,120,-0.3597143141965813,1291,-364.8079999999968,-0.2825778466305165,0.4608830364058869,0.8189226631087353,1025
prevclose_1000close_to_1001,8.0,5.0,120,-0.3613195771458199,1291,-366.6099999999967,-0.28397366382648853,0.4632068164213788,0.817110068699089,963
prevclose_1000close_to_1001,20.0,5.0,120,-0.36342248474362765,1291,-368.75799999999685,-0.28563749031758084,0.4608830364058869,0.8169620277040279,1023
prevclose_1000close_to_1001,15.0,5.0,120,-0.3652272439629686,1291,-370.68199999999683,-0.2871278079008496,0.4608830364058869,0.8160070245347476,1017
prevclose_1000close_to_1001,20.0,25.0,480,-0.3672694943314951,1291,-361.92299999999705,-0.280343144848952,0.46398140975987606,0.9302137513943353,1140
prevclose_1000close_to_1001,10.0,5.0,120,-0.3677592472618423,1291,-373.3829999999966,-0.28921998450813063,0.4608830364058869,0.8146663470086427,991
prevclose_1000close_to_1001,12.0,5.0,120,-0.36863905767900096,1291,-374.32199999999693,-0.2899473276529798,0.4608830364058869,0.8142002617820552,1007
prevclose_1000close_to_1001,25.0,25.0,480,-0.3700045248190282,1291,-364.6279999999972,-0.2824384198295873,0.4616576297443842,0.9301082874165096,1189
prevclose_1000close_to_1001,25.0,5.0,120,-0.3737747319940775,1291,-379.8079999999968,-0.29419674670797585,0.4608830364058869,0.8114772122047831,1025
prevclose_1000close_to_1001,30.0,12.0,480,-0.38070414388554397,1291,-375.63799999999287,-0.2909666924864391,0.44229279628195195,0.9252342661518266,984
prevclose_1000close_to_1001,5.0,30.0,120,-0.41618228059245477,1291,-424.41299999999796,-0.3287474825716483,0.48412083656080557,0.7978901983082165,1079
prevclose_1000close_to_1001,5.0,10.0,120,-0.41635190420692775,1291,-424.6499999999983,-0.3289310611928724,0.4833462432223083,0.7973176144906101,1031
prevclose_1000close_to_1001,20.0,5.0,480,-0.41728443121375625,1291,-415.00899999999706,-0.3214632068164191,0.33230054221533695,0.8942350698199061,473
prevclose_1000close_to_1001,5.0,12.0,120,-0.4218914644586429,1291,-430.5539999999985,-0.33350426026336055,0.4833462432223083,0.795077137474811,1053
prevclose_1000close_to_1001,5.0,20.0,120,-0.42226165006146554,1291,-430.89099999999803,-0.3337652982184338,0.48412083656080557,0.7954363648534398,1075
prevclose_1000close_to_1001,5.0,25.0,120,-0.4228712912918268,1291,-431.5409999999981,-0.3342687838884571,0.48412083656080557,0.7951909810962396,1078
prevclose_1000close_to_1001,5.0,15.0,120,-0.42470169748631253,1291,-433.4929999999981,-0.3357807900852038,0.48412083656080557,0.7944549839662824,1065
prevclose_1000close_to_1001,20.0,12.0,480,-0.4255106210715812,1291,-420.8449999999932,-0.3259837335398863,0.44461657629744383,0.9159373056832344,917
prevclose_1000close_to_1001,4.0,10.0,120,-0.42578239997828804,1291,-435.4529999999986,-0.3372989930286589,0.49341595662277304,0.7869878841480363,946
prevclose_1000close_to_1001,5.0,5.0,240,-0.42713612548378455,1291,-433.12699999999677,-0.33549728892331276,0.4539116963594113,0.8194298993106175,625
prevclose_1000close_to_1001,5.0,8.0,120,-0.4276723009779533,1291,-436.7419999999977,-0.3382974438419812,0.482571649883811,0.7925704917036186,980
prevclose_1000close_to_1001,4.0,30.0,120,-0.4277682895457019,1291,-437.5279999999982,-0.3389062742060404,0.4941905499612703,0.7866069952334719,992
prevclose_1000close_to_1001,4.0,12.0,120,-0.43160135857883836,1291,-441.68299999999886,-0.3421247095274972,0.49341595662277304,0.7845967849698663,967
prevclose_1000close_to_1001,4.0,15.0,120,-0.43252586867162507,1291,-442.6219999999985,-0.34285205267234586,0.4941905499612703,0.7846575393116689,979
prevclose_1000close_to_1001,30.0,10.0,480,-0.4328927656448435,1291,-428.4469999999935,-0.3318721920991429,0.43067389620449265,0.9131880520636255,892
prevclose_1000close_to_1001,4.0,20.0,120,-0.4338177710893557,1291,-444.00599999999827,-0.3439240898528259,0.4941905499612703,0.7841295555219553,988
prevclose_1000close_to_1001,4.0,25.0,120,-0.43442441508440444,1291,-444.65599999999836,-0.34442757552284925,0.4941905499612703,0.7838818313975396,991
prevclose_1000close_to_1001,8.0,30.0,120,-0.434733347172504,1291,-443.9079999999974,-0.3438481797056525,0.4740511231603408,0.7929531650682522,1218
prevclose_1000close_to_1001,5.0,8.0,480,-0.4356703140557973,1291,-435.0479999999982,-0.33698528272656714,0.5375677769171185,0.8785401296824946,320
prevclose_1000close_to_1001,30.0,5.0,480,-0.4360799554173202,1291,-434.21599999999626,-0.3363408210689359,0.32997676219984506,0.8896255949373019,526
prevclose_1000close_to_1001,4.0,8.0,120,-0.43686974295184916,1291,-447.35199999999804,-0.3465158791634377,0.49264136328427577,0.7822486866103628,896
prevclose_1000close_to_1001,8.0,10.0,120,-0.4368919289717595,1291,-446.3079999999977,-0.34570720371804625,0.47327652982184354,0.7912886188632808,1169
prevclose_1000close_to_1001,25.0,12.0,480,-0.4375564218241741,1291,-432.9929999999936,-0.33539349341595165,0.44229279628195195,0.9138185183710853,965
prevclose_1000close_to_1001,15.0,30.0,120,-0.4379310402284772,1291,-447.2709999999977,-0.3464531371030191,0.47095274980635166,0.7921236091874969,1278
prevclose_1000close_to_1001,30.0,30.0,120,-0.43894240789626615,1291,-448.36399999999753,-0.34729976762199655,0.47095274980635166,0.7916156198585262,1287
prevclose_1000close_to_1001,10.0,30.0,120,-0.4390293739767879,1291,-448.4579999999976,-0.34737257939581534,0.47095274980635166,0.7915719318467026,1250
prevclose_1000close_to_1001,8.0,20.0,120,-0.44079968662803265,1291,-450.38599999999747,-0.348865995352438,0.4740511231603408,0.7905645075787884,1214
prevclose_1000close_to_1001,8.0,25.0,120,-0.4414080321489376,1291,-451.03599999999756,-0.3493694810224613,0.4740511231603408,0.7903256248123087,1217
prevclose_1000close_to_1001,20.0,30.0,120,-0.4425950058523903,1291,-452.3139999999976,-0.35035941130906084,0.47095274980635166,0.7897797938297665,1285
prevclose_1000close_to_1001,8.0,15.0,120,-0.4432345599839514,1291,-452.98799999999756,-0.35088148721920803,0.4740511231603408,0.7896091084484643,1204
prevclose_1000close_to_1001,12.0,30.0,120,-0.4440707020356827,1291,-453.9109999999978,-0.3515964368706412,0.47095274980635166,0.7890375623948476,1268
prevclose_1000close_to_1001,8.0,12.0,120,-0.4442874278061924,1291,-454.21199999999794,-0.351829589465529,0.47327652982184354,0.788374608978607,1191
prevclose_1000close_to_1001,15.0,10.0,120,-0.44438253656348065,1291,-454.16299999999774,-0.3517916343919425,0.47095274980635166,0.7895944057758317,1226
prevclose_1000close_to_1001,15.0,25.0,120,-0.44460332673015035,1291,-454.39899999999784,-0.3519744384198279,0.47095274980635166,0.7895080852420024,1277
