family,variant,exit,exit_type,initial_rr,n_2023,n_2024,n_2025,n_2026,net_2023,net_2024,net_2025,net_2026,n,positive,negative,win_rate,tp_count,sl_count,eod_count,net,ev,pf,max_dd,max_loss_streak,streak_start,streak_end,avg_tp,avg_sl,avg_rr
asia_break_09_14,all,F10_10,fixed,1.0,222,224,192,95,-276.62300000000073,123.99399999999969,-10.581000000000131,-112.02300000000014,733,344,389,0.4693042291950887,309,328,96,-275.2330000000013,-0.37548840381991994,0.9210407259939654,358.69300000000067,7,2025-02-14,2025-02-25,10.0,10.0,1.0
asia_break_09_14,all,F15_15,fixed,1.0,222,224,192,95,-246.17100000000005,162.16599999999812,-48.401000000000295,-77.02300000000014,733,342,391,0.4665757162346521,259,255,219,-209.42900000000236,-0.2857148703956376,0.9532923966135205,341.3580000000004,7,2025-11-20,2025-12-03,15.0,15.0,1.0
asia_break_09_14,all,F20_20,fixed,1.0,222,224,192,95,-295.86400000000026,304.62899999999627,-110.7569999999996,177.97699999999986,733,352,381,0.48021828103683495,212,193,328,75.98499999999626,0.10366302864938098,1.015082978714112,456.6870000000006,8,2025-12-15,2026-01-05,20.0,20.0,1.0
asia_break_09_14,all,F20_15,fixed,1.3333333333333333,222,224,192,95,-254.74200000000064,263.95399999999745,59.034000000000106,2.9769999999998618,733,325,408,0.4433833560709413,195,265,273,71.22299999999677,0.09716643929058223,1.015323160491404,380.188000000001,8,2025-12-15,2026-01-05,20.0,15.0,1.3333333333333335
asia_break_09_14,all,F25_20,fixed,1.25,222,224,192,95,-267.47100000000046,343.4809999999959,-250.36100000000033,141.5069999999996,733,338,395,0.461118690313779,150,205,378,-32.84400000000528,-0.044807639836296424,0.9937861182820813,517.429000000001,8,2025-12-15,2026-01-05,25.0,20.0,1.25
asia_break_09_14,all,F30_25,fixed,1.2,222,224,192,95,-279.731,398.6339999999966,-214.5220000000004,351.16699999999855,733,348,385,0.4747612551159618,121,147,465,255.54799999999477,0.34863301500681415,1.0464642104595192,669.6510000000007,8,2025-11-20,2025-12-05,30.0,25.0,1.1999999999999997
asia_break_09_14,all,F40_30,fixed,1.3333333333333333,222,224,192,95,-207.31899999999996,448.8079999999975,-192.60699999999952,245.536999999998,733,347,386,0.4733969986357435,76,119,538,294.418999999996,0.40166302864938064,1.0501030415552717,848.565000000001,10,2025-11-18,2025-12-05,40.0,30.0,1.3333333333333335
asia_break_09_14,all,R60x075_R1,r60,1.0,219,221,189,93,-42.347500000000196,-58.05187500000113,13.288874999995869,-41.721875000000864,722,344,378,0.47645429362880887,344,374,4,-128.83237500000632,-0.17843819252078438,0.9578259968981397,292.32825000000014,8,2024-02-22,2024-03-04,8.327950831024937,8.327950831024937,1.0
asia_break_09_14,all,R60x075_R125,r60,1.25,219,221,189,93,-81.41915625000001,-83.58825000000184,23.878874999994366,-57.41950000000199,722,297,425,0.4113573407202216,295,419,8,-198.54803125000947,-0.2749972731994591,0.941670273445886,384.8761250000014,11,2026-02-04,2026-03-12,10.409938538781171,8.327950831024937,1.25
asia_break_09_14,all,R60x1_R1,r60,1.0,219,221,189,93,-49.66650000000004,-117.07500000000346,46.23849999999629,-29.551999999999225,722,343,379,0.47506925207756234,339,370,13,-150.05500000000643,-0.20783240997230806,0.9595382362386708,423.6985000000054,8,2024-02-22,2024-03-04,10.223093490304727,10.223093490304727,1.0
