family,variant,n_2023,n_2024,n_2025,n_2026
asia_break_09_14,all,222,224,192,95
asia_break_09_14_wdpair,0-1,85,92,74,38
asia_break_09_14_wdpair,0-2,88,87,74,37
asia_break_09_14_wdpair,0-3,87,90,79,34
asia_break_09_14_wdpair,0-4,88,87,73,34
asia_break_10_16,all,244,243,209,116
asia_break_10_16_wdpair,0-1,94,96,82,44
asia_break_10_16_wdpair,0-2,96,93,85,42
asia_break_10_16_wdpair,0-3,94,96,85,40
asia_break_10_16_wdpair,0-4,95,96,80,44
asia_break_retest,w=30,156,155,126,59
asia_break_retest,w=60,170,167,144,67
asia_break_retest,w=120,183,179,156,78
ensemble_trend_600,m=1,260,262,261,166
ensemble_trend_600,m=3,170,157,174,109
ensemble_trend_840,m=1,260,262,261,166
ensemble_trend_840,m=3,159,162,160,97
asia_break_09_14_wdpair,1-2,89,91,76,43
asia_break_09_14_wdpair,1-3,88,94,81,40
asia_break_09_14_wdpair,1-4,89,91,75,40
asia_break_09_14_confirm1,all,183,192,177,87
asia_break_10_16_wdpair,1-2,100,97,85,50
asia_break_10_16_wdpair,1-3,98,100,85,48
asia_break_10_16_wdpair,1-4,99,100,80,52
asia_break_10_16_confirm1,all,229,229,202,110
asia_liquidity_sweep,b=0.0,241,234,208,118
trend_pullback_600,f=0.15,122,129,109,65
trend_pullback_600,f=0.25,166,169,155,101
trend_pullback_600,f=0.35,190,183,177,107
norm_impulse_cont_600,s=0.25,185,188,177,126
norm_impulse_fade_600,s=0.25,185,188,177,126
norm_impulse_cont_600,s=0.4,140,144,136,97
norm_impulse_fade_600,s=0.4,140,144,136,97
norm_impulse_cont_600,s=0.55,88,97,95,76
norm_impulse_fade_600,s=0.55,88,97,95,76
trend_pullback_840,f=0.25,160,153,145,93
trend_pullback_840,f=0.35,174,175,161,106
norm_impulse_cont_840,s=0.25,179,181,185,118
norm_impulse_fade_840,s=0.25,179,181,185,118
body15_cont_840,r=0.35,162,154,152,97
body15_fade_840,r=0.35,162,154,152,97
body15_cont_840,r=0.5,116,108,102,69
body15_fade_840,r=0.5,116,108,102,69
body15_cont_840,r=0.65,73,62,60,45
body15_fade_840,r=0.65,73,62,60,45
09_10_hold,upper,29,38,30,21
asia_morning_alignment,same,120,108,141,84
asia_break_09_14_wdpair,2-3,91,89,81,39
asia_break_09_14_wdpair,2-4,92,86,75,39
asia_break_10_16_wdpair,2-3,100,97,88,46
asia_break_10_16_wdpair,2-4,101,97,83,50
stretch_fade_600,z1_rsi55,127,131,124,87
asia_compress_pos_600,r<=.55,209,186,146,75
asia_compress_pos_840,r<=.55,209,186,146,75
asia_break_09_14_wdpair,3-4,91,89,80,36
asia_break_10_16_wdpair,3-4,99,100,83,48
prevday_liquidity_sweep,b=0,135,129,116,65
prevday_break_retest,w=90,100,96,83,53
body15_cont_600,r=0.35,150,163,170,102
body15_fade_600,r=0.35,150,163,170,102
body15_cont_600,r=0.5,97,116,122,73
body15_fade_600,r=0.5,97,116,122,73
stretch_fade_840,z1_rsi55,132,141,131,79
norm_impulse_cont_840,s=0.4,134,139,130,78
norm_impulse_fade_840,s=0.4,134,139,130,78
norm_impulse_cont_840,s=0.55,86,94,87,50
norm_impulse_fade_840,s=0.55,86,94,87,50
09_10_hold,lower,43,20,23,11
asia_liquidity_sweep,b=1.0,73,83,144,104
asia_liquidity_sweep,b=2.0,19,30,61,80
asia_morning_divergence,morning_dir,137,151,117,80
asia_morning_divergence_fade,asia_dir,137,151,117,80
09_10_fakeout,upper,39,42,35,10
asia_expand_fade_600,r>=.8,16,15,35,30
asia_expand_fade_840,r>=.8,15,17,36,29
body15_cont_600,r=0.65,58,73,68,38
body15_fade_600,r=0.65,58,73,68,38
trend_pullback_840,f=0.15,111,107,101,73
09_10_fakeout,lower,29,26,28,12
