portfolio,train_final,train_dd,train_wr,train_pos_years,oos_final,oos_multiple,oos_dd,oos_wr,oos_trades,oos_pos_years,oos_maxrisk,oos_maxdayloss,full_final,full_dd,ret_2023,ret_2024,ret_2025,ret_2026,score
Astrong20_12 + Bpartial_trainwinner,2353.8840000000055,0.5135818767785149,0.5484460694698354,4,9783.271999999957,32.61090666666652,0.6916413442786566,0.594272076372315,419,4,0.199709375309076,0.199709375309076,82932.94699999964,0.7026608071517066,2.1363733333333412,1.4867543404696657,0.7356536857369436,1.409013097890444,10.605434904546188
Astrong20_12 + Bpartial_smooth,872.3630000000014,0.48962152687253446,0.5401069518716578,4,9190.954999999969,30.636516666666562,0.6888911571116312,0.6276849642004774,419,4,0.19980286117697194,0.19594559753627933,21623.04299999993,0.6955650277791405,2.1517400000000095,1.5721601401130725,0.4033541471870761,1.6929216335751165,9.990146310989797
Astrong20_12 + Bpartial_balanced,1865.4510000000043,0.5068533423564848,0.539179104477612,4,8620.182999999975,28.73394333333325,0.6644123888536735,0.5632458233890215,419,4,0.19871859625183633,0.19596648460782687,77941.58199999978,0.6726382106762938,1.4838066666666738,1.414188168161235,0.7699482965546238,1.707358362152073,9.599621324475985
Astrong20_12 + Bfull20_25,995.1640000000032,0.4901557914377176,0.5338753387533876,4,7880.237999999979,26.267459999999932,0.699613043720015,0.5536992840095465,419,4,0.19836870098360418,0.1982746137005632,42996.040999999896,0.6967817061853482,0.9774200000000042,1.2128126548735207,0.7721044749058625,2.387545900290533,8.476548439017147
Asmooth15_20 + Bpartial_balanced,1690.6450000000048,0.3205592616873279,0.5497382198952879,4,5474.348999999993,18.247829999999976,0.5700869242320072,0.5966587112171837,419,4,0.19883013320376247,0.19137240059134147,37506.42699999995,0.5882907484943788,1.3309833333333367,0.707566906670293,0.6189266665159128,1.8318298279129097,6.73286872755348
Asmooth15_20 + Bpartial_trainwinner,1547.2180000000046,0.31713470751809836,0.5724258289703316,4,4670.759999999987,15.569199999999956,0.6154293848852146,0.6133651551312649,419,4,0.19994568142321378,0.19822194911642685,27215.02299999993,0.6221236972182773,1.246910000000002,0.7424270071639116,0.6670086494687522,1.3855480760391106,5.470001332975925
Asmooth15_20 + Bpartial_smooth,1179.7190000000007,0.3098674797074136,0.5532286212914486,4,4017.7359999999926,13.39245333333331,0.5318296020004236,0.6109785202863962,419,4,0.19847268651966932,0.17562900272834348,14360.871999999974,0.5837541552023794,0.9267166666666684,0.7115576585382744,0.4242165720211868,1.8515088155595638,5.1598963949940275
Asmooth15_20 + Bfull20_25,1471.9750000000067,0.3247579729700801,0.5340314136125655,4,4139.130999999995,13.797103333333316,0.6143917563365041,0.5823389021479713,419,4,0.1942567034346047,0.1915468461332926,33457.67199999997,0.6443163989394756,0.3754466666666667,0.7804907012025206,0.6117401737601162,2.4955009200840212,4.852709392812025
NONE + Bpartial_balanced,810.788000000003,0.32575253100980767,0.5474137931034483,4,2159.2659999999996,7.197553333333332,0.3559785495417572,0.5889967637540453,309,4,0.099943781622837,0.09965742759264987,5556.805999999999,0.370430998689345,0.6256600000000019,0.767782521150391,0.5468599213124401,0.6191062494751121,3.4805499572088436
NONE + Bfull20_25,826.9280000000042,0.2762426036159345,0.5237068965517241,4,2038.7339999999995,6.795779999999998,0.4126803971337179,0.56957928802589,309,4,0.09950339278139848,0.0986452067307598,6363.541000000001,0.46105284730679236,0.1705700000000001,0.7595017811835334,0.4788067701808998,1.2312117093158408,3.036485667069164
NONE + Bpartial_trainwinner,851.3290000000027,0.2889023562013251,0.5689655172413793,4,1878.9449999999956,6.263149999999985,0.42731213334101675,0.5825242718446602,309,4,0.09978652810594502,0.09951288443071203,4866.48599999999,0.4159746515813653,0.46727000000000163,0.7448049779522552,0.5883429032719978,0.5402514150808071,2.744664575198818
NONE + Bpartial_smooth,704.5360000000012,0.22526792826281108,0.5387931034482759,4,1464.045,4.88015,0.3180779879263367,0.5954692556634305,309,4,0.0999472278636877,0.0999472278636877,2908.7759999999994,0.3699939709771198,0.31165333333333445,0.7906026999003863,0.24757484796230034,0.6655138873878728,2.497218905439032
