tp,sl,h,year,n,net,ev,wr,pf
30.0,30.0,480,2018,257,-92.21499999999742,-0.35881322957197437,0.4591439688715953,0.8534725488451359
30.0,30.0,480,2019,258,-282.9019999999996,-1.0965193798449597,0.43023255813953487,0.6624439647817839
30.0,30.0,480,2020,259,-55.72999999999729,-0.21517374517373472,0.4980694980694981,0.959518728308418
30.0,30.0,480,2021,258,190.74499999999853,0.7393217054263509,0.4418604651162791,1.182028736005129
30.0,30.0,480,2022,258,-61.113000000000966,-0.23687209302325957,0.4844961240310077,0.9535913490198156
30.0,30.0,480,2023,257,-340.855000000003,-1.3262840466926187,0.4280155642023346,0.7369343128787982
30.0,30.0,480,2024,259,386.37300000000073,1.4917876447876477,0.5637065637065637,1.3005661680736607
30.0,30.0,480,2025,258,226.76999999999907,0.8789534883720894,0.5426356589147286,1.1030464056448541
30.0,30.0,480,2026,175,329.90299999999934,1.8851599999999962,0.5085714285714286,1.1535389498571198
30.0,15.0,480,2018,257,-93.25399999999809,-0.3628560311283972,0.4591439688715953,0.852065833829073
30.0,15.0,480,2019,258,-257.1979999999992,-0.9968914728682139,0.43023255813953487,0.6834038048462253
30.0,15.0,480,2020,259,-0.4839999999971951,-0.001868725868715039,0.4826254826254826,0.9996291872535439
30.0,15.0,480,2021,258,117.36699999999928,0.4549108527131755,0.43023255813953487,1.1072623502908499
30.0,15.0,480,2022,258,9.259000000000242,0.03588759689922574,0.47674418604651164,1.0076212222106073
30.0,15.0,480,2023,257,-282.3340000000021,-1.0985758754863895,0.42412451361867703,0.7712992896794104
30.0,15.0,480,2024,259,246.58600000000115,0.9520694980695025,0.5212355212355212,1.1881237292726017
30.0,15.0,480,2025,258,253.44299999999976,0.9823372093023246,0.4573643410852713,1.1387196390179395
30.0,15.0,480,2026,175,-23.41700000000128,-0.13381142857143588,0.32,0.9857732171715323
20.0,20.0,480,2018,257,-88.01499999999737,-0.34247081712061234,0.4591439688715953,0.8598962453817455
20.0,20.0,480,2019,258,-273.71099999999933,-1.0608953488372066,0.43023255813953487,0.6716408420628339
20.0,20.0,480,2020,259,-101.8289999999979,-0.39316216216215405,0.4942084942084942,0.92507400330081
20.0,20.0,480,2021,258,117.18799999999919,0.45421705426356274,0.4418604651162791,1.108739182962202
20.0,20.0,480,2022,258,15.498999999999569,0.060073643410851044,0.4883720930232558,1.0124661682558702
20.0,20.0,480,2023,257,-307.4690000000028,-1.1963774319066256,0.43190661478599224,0.7517798973920113
20.0,20.0,480,2024,259,363.4330000000009,1.4032162162162196,0.555984555984556,1.2863329780101442
20.0,20.0,480,2025,258,448.21100000000024,1.737251937984497,0.5542635658914729,1.244143850689164
20.0,20.0,480,2026,175,27.7529999999997,0.15858857142856972,0.48,1.0172564308231824
