variant,filter,tp,sl,h,train_score,train_n,train_ev,train_pf,train_wr,train_pos_years
0959,HIGH_VOL & BIG_GAP,20.0,30.0,480,4.781913441099855,192,1.7853645833333391,1.5663741086121805,0.5260416666666666,4
0959,HIGH_VOL & BIG_GAP,25.0,30.0,480,4.727561451106486,192,1.7679843750000046,1.5608605568736849,0.5260416666666666,4
0959,HIGH_VOL & BIG_GAP,20.0,25.0,480,4.668006045493978,192,1.7521354166666718,1.5500346622717547,0.5260416666666666,4
0959,HIGH_VOL & BIG_GAP,25.0,25.0,480,4.614221021858841,192,1.7347552083333373,1.5445786244964181,0.5260416666666666,4
0959,gap_ratio_range>=0.35,25.0,30.0,480,4.437656914132254,223,1.6754349775784776,1.529287600439726,0.5291479820627802,4
0959,BIG_GAP,25.0,30.0,480,4.437656914132254,223,1.6754349775784776,1.529287600439726,0.5291479820627802,4
0959,BIG_GAP,20.0,30.0,480,4.414865466843511,223,1.6679775784753397,1.5269317293199012,0.5291479820627802,4
0959,gap_ratio_range>=0.35,20.0,30.0,480,4.414865466843511,223,1.6679775784753397,1.5269317293199012,0.5291479820627802,4
0959,HIGH_VOL & BIG_GAP,30.0,30.0,480,4.301409258921109,192,1.642833333333338,1.4965461655195886,0.5208333333333334,4
0959,BIG_GAP,25.0,25.0,480,4.2924430117693975,223,1.6315201793721992,1.5083618722657475,0.5291479820627802,4
0959,gap_ratio_range>=0.35,25.0,25.0,480,4.2924430117693975,223,1.6315201793721992,1.5083618722657475,0.5291479820627802,4
0959,HIGH_VOL & BIG_GAP,30.0,25.0,480,4.278159166200674,192,1.6356458333333375,1.4933020847732403,0.5208333333333334,4
0959,gap_ratio_range>=0.35,20.0,25.0,480,4.26996342709598,223,1.624062780269061,1.5060382372790426,0.5291479820627802,4
0959,BIG_GAP,20.0,25.0,480,4.26996342709598,223,1.624062780269061,1.5060382372790426,0.5291479820627802,4
0959,BIG_GAP,30.0,30.0,480,4.107062264799709,223,1.5768116591928278,1.477824312131063,0.5246636771300448,4
0959,gap_ratio_range>=0.35,30.0,30.0,480,4.107062264799709,223,1.5768116591928278,1.477824312131063,0.5246636771300448,4
0959,gap_ratio_range>=0.35,30.0,25.0,480,4.038932193002926,223,1.5553183856502264,1.4682613080523683,0.5246636771300448,4
0959,BIG_GAP,30.0,25.0,480,4.038932193002926,223,1.5553183856502264,1.4682613080523683,0.5246636771300448,4
0959,HIGH_VOL & BIG_GAP,20.0,20.0,480,3.7489615308571493,192,1.4620729166666695,1.427349204271088,0.5208333333333334,4
0959,BIG_GAP & BIG_PREV_MOVE,20.0,30.0,480,3.7024771890173658,139,1.4416978417266169,1.429411411771764,0.4892086330935252,4
0959,HIGH_VOL & BIG_GAP,25.0,20.0,480,3.6994345702897102,192,1.444692708333335,1.4222691442298625,0.5208333333333334,4
0959,BIG_GAP & BIG_PREV_MOVE,25.0,30.0,480,3.5911505345381185,139,1.4025971223021552,1.417765216124248,0.4892086330935252,4
0959,gap_ratio_range>=0.35,12.0,30.0,480,3.5800515324102054,223,1.3659910313901384,1.4744317164150065,0.5560538116591929,4
0959,BIG_GAP,12.0,30.0,480,3.5800515324102054,223,1.3659910313901384,1.4744317164150065,0.5560538116591929,4
0959,BIG_GAP & BIG_PREV_MOVE,20.0,25.0,480,3.5640605381351333,139,1.3957985611510764,1.4101332611783797,0.4892086330935252,4
0959,BIG_GAP,25.0,20.0,480,3.5580703942526593,223,1.3935156950672651,1.409782972764124,0.5246636771300448,4
0959,gap_ratio_range>=0.35,25.0,20.0,480,3.5580703942526593,223,1.3935156950672651,1.409782972764124,0.5246636771300448,4
0959,gap_ratio_range>=0.35,20.0,20.0,480,3.537060119428985,223,1.3860582959641272,1.4075900192262558,0.5246636771300448,4
0959,BIG_GAP,20.0,20.0,480,3.537060119428985,223,1.3860582959641272,1.4075900192262558,0.5246636771300448,4
0959,HIGH_VOL & BIG_GAP,20.0,15.0,480,3.528016785347971,192,1.3814114583333346,1.4091423053368943,0.5104166666666666,4
0959,HIGH_VOL & BIG_GAP,30.0,20.0,480,3.476903113836686,192,1.3716250000000016,1.3890663365254219,0.515625,4
0959,BIG_GAP & BIG_PREV_MOVE,25.0,25.0,480,3.454235321235323,139,1.3566978417266147,1.3986441351552448,0.4892086330935252,4
0959,BIG_GAP,12.0,25.0,480,3.4200125655927796,223,1.3149596412556088,1.448753911958927,0.5560538116591929,4
0959,gap_ratio_range>=0.35,12.0,25.0,480,3.4200125655927796,223,1.3149596412556088,1.448753911958927,0.5560538116591929,4
0959,HIGH_VOL & BIG_GAP,25.0,15.0,480,3.4062000129320347,192,1.3379895833333333,1.3962817445442501,0.5104166666666666,4
0959,BIG_GAP,30.0,20.0,480,3.393721339094076,223,1.3397354260089696,1.3838448077827374,0.5201793721973094,4
0959,gap_ratio_range>=0.35,30.0,20.0,480,3.393721339094076,223,1.3397354260089696,1.3838448077827374,0.5201793721973094,4
0959,gap_ratio_range>=0.35,20.0,15.0,480,3.377288980094763,223,1.3262825112107621,1.3956351329659158,0.515695067264574,4
0959,BIG_GAP,20.0,15.0,480,3.377288980094763,223,1.3262825112107621,1.3956351329659158,0.515695067264574,4
0959,gap_ratio_range_Q4,25.0,30.0,480,3.3535211028061385,257,1.3228793774319094,1.3838311766020823,0.5136186770428015,4
0959,BIG_GAP,10.0,30.0,480,3.3359044894760745,223,1.2778430493273587,1.4540607636648155,0.5695067264573991,4
0959,gap_ratio_range>=0.35,10.0,30.0,480,3.3359044894760745,223,1.2778430493273587,1.4540607636648155,0.5695067264573991,4
0959,gap_ratio_range>=0.35,25.0,15.0,480,3.3355868590597977,223,1.311318385650223,1.391171277221895,0.515695067264574,4
0959,BIG_GAP,25.0,15.0,480,3.3355868590597977,223,1.311318385650223,1.391171277221895,0.515695067264574,4
0959,gap_ratio_range_Q4,20.0,30.0,480,3.3344305190568284,257,1.3159766536965012,1.3818283631798456,0.5136186770428015,4
0959,BIG_GAP & BIG_PREV_MOVE,20.0,20.0,480,3.322612623997368,139,1.3137194244604264,1.3769250616659596,0.4892086330935252,4
0959,gap_ratio_range>=0.35,15.0,30.0,480,3.315370539552078,223,1.2924439461883446,1.4104492490679228,0.5381165919282511,4
0959,BIG_GAP,15.0,30.0,480,3.315370539552078,223,1.2924439461883446,1.4104492490679228,0.5381165919282511,4
0959,HIGH_VOL & BIG_GAP,25.0,30.0,1440,3.313395268347161,192,1.3496822916666744,1.3067615894274942,0.5052083333333334,4
0959,HIGH_VOL & BIG_GAP,15.0,30.0,480,3.2925582655621435,192,1.284296875000005,1.4079777236568698,0.53125,4
0959,HIGH_VOL & BIG_GAP,20.0,30.0,1440,3.2606228464283777,192,1.3293437500000067,1.3023562163122686,0.5104166666666666,4
0959,BIG_GAP & BIG_PREV_MOVE,25.0,20.0,480,3.2153737567814566,139,1.274618705035965,1.3657065009856213,0.4892086330935252,4
0959,HIGH_VOL & BIG_GAP,15.0,25.0,480,3.1941436402732477,192,1.2510677083333377,1.3932706601963385,0.53125,4
0959,HIGH_VOL & BIG_GAP,30.0,15.0,480,3.19301775114265,192,1.264921875,1.3661680695834675,0.5052083333333334,4
0959,gap_ratio_range>=0.35,15.0,25.0,480,3.185294713819323,223,1.248529147982066,1.3910492747760856,0.5381165919282511,4
0959,BIG_GAP,15.0,25.0,480,3.185294713819323,223,1.248529147982066,1.3910492747760856,0.5381165919282511,4
0959,BIG_GAP,10.0,25.0,480,3.178899442378459,223,1.2268116591928289,1.4281636223920489,0.5695067264573991,4
0959,gap_ratio_range>=0.35,10.0,25.0,480,3.178899442378459,223,1.2268116591928289,1.4281636223920489,0.5695067264573991,4
0959,gap_ratio_range>=0.35,30.0,15.0,480,3.1775351499562934,223,1.2575381165919275,1.367749422996223,0.5112107623318386,4
0959,BIG_GAP,30.0,15.0,480,3.1775351499562934,223,1.2575381165919275,1.367749422996223,0.5112107623318386,4
0959,gap_ratio_range_Q4,30.0,30.0,480,3.1567770968626063,257,1.2567587548638162,1.352700616104326,0.5097276264591439,4
0959,HIGH_VOL & BIG_GAP,20.0,12.0,480,3.104144663596584,192,1.2265885416666649,1.3676600301927555,0.4947916666666667,4
0959,BIG_GAP,20.0,12.0,480,3.0461316011564494,223,1.203910313901342,1.3640727787549163,0.5022421524663677,4
0959,gap_ratio_range>=0.35,20.0,12.0,480,3.0461316011564494,223,1.203910313901342,1.3640727787549163,0.5022421524663677,4
0959,ThuFri & HIGH_VOL,25.0,20.0,480,3.0306253239617202,342,1.214342105263162,1.3309949574286486,0.5029239766081871,4
0959,HIGH_VOL & BIG_GAP,25.0,25.0,1440,2.9936615749575384,192,1.2295833333333412,1.2720392341233646,0.5052083333333334,4
0959,HIGH_VOL & BIG_GAP,12.0,30.0,480,2.9909550758688033,192,1.1667447916666707,1.3920870234886429,0.5416666666666666,4
0959,ThuFri & HIGH_VOL,25.0,15.0,480,2.9847566450458056,342,1.1970380116959123,1.3263727783384933,0.49707602339181284,4
0959,ThuFri & HIGH_VOL,30.0,20.0,480,2.9527361998230504,342,1.1872719298245655,1.3185389384467312,0.5,4
0959,ThuFri & HIGH_VOL,30.0,15.0,480,2.947250300401471,342,1.1845877192982512,1.3191615577687568,0.49415204678362573,4
0959,BIG_GAP,25.0,12.0,480,2.944560778041516,223,1.1665246636771258,1.3527670382811245,0.5022421524663677,4
0959,gap_ratio_range>=0.35,25.0,12.0,480,2.944560778041516,223,1.1665246636771258,1.3527670382811245,0.5022421524663677,4
0959,HIGH_VOL & BIG_GAP,20.0,25.0,1440,2.9422366956271677,192,1.2092447916666735,1.267726695640845,0.5104166666666666,4
