tp,sl,h,year,n,net,ev,wr,pf,positive_years,years_present
30.0,30.0,480,2018,257,-111.9910000000018,-0.4357626459144039,0.45136186770428016,0.8250810236706236,0,1
30.0,30.0,480,2019,258,-269.0959999999984,-1.0430077519379783,0.4263565891472868,0.6740746841529648,0,1
30.0,30.0,480,2020,259,-60.636999999999716,-0.23411969111969003,0.5096525096525096,0.9562978151430087,0,1
30.0,30.0,480,2021,258,199.70400000000268,0.7740465116279174,0.46124031007751937,1.192647328362099,1,1
30.0,30.0,480,2022,258,-69.6180000000004,-0.26983720930232713,0.4728682170542636,0.947563856133141,0,1
30.0,30.0,480,2023,257,-246.31499999999915,-0.9584241245136154,0.4280155642023346,0.8016856099184977,0,1
30.0,30.0,480,2024,259,289.578000000002,1.118061776061784,0.5366795366795367,1.2153100335703972,1,1
30.0,30.0,480,2025,258,280.8170000000018,1.0884379844961312,0.5310077519379846,1.1269787224036965,1,1
30.0,30.0,480,2026,175,296.85599999999886,1.6963199999999934,0.5085714285714286,1.137660217766318,1,1
30.0,15.0,480,2018,257,-112.13400000000183,-0.43631906614786703,0.45136186770428016,0.8248967813263185,0,1
30.0,15.0,480,2019,258,-241.98699999999826,-0.937934108527125,0.4263565891472868,0.6969586539232205,0,1
30.0,15.0,480,2020,259,11.711000000001832,0.045216216216223286,0.4980694980694981,1.0089787763225904,1,1
30.0,15.0,480,2021,258,132.90000000000214,0.5151162790697758,0.4496124031007752,1.1232259039579735,1,1
30.0,15.0,480,2022,258,-47.369000000000824,-0.18360077519380164,0.46124031007751937,0.9622699068874598,0,1
30.0,15.0,480,2023,257,-189.4409999999989,-0.7371245136186727,0.42412451361867703,0.8397907751636426,0,1
30.0,15.0,480,2024,259,142.55099999999948,0.5503899613899593,0.4942084942084942,1.1038320343797796,1,1
30.0,15.0,480,2025,258,411.8190000000018,1.5961976744186115,0.46511627906976744,1.229005888927816,1,1
30.0,15.0,480,2026,175,-90.56700000000001,-0.5175257142857144,0.3142857142857143,0.9454737564570314,0,1
20.0,20.0,480,2018,257,-110.09200000000169,-0.4283735408560377,0.45136186770428016,0.8278639823379654,0,1
20.0,20.0,480,2019,258,-260.2439999999988,-1.0086976744185998,0.4263565891472868,0.6838191877883976,0,1
20.0,20.0,480,2020,259,-127.7069999999992,-0.493077220077217,0.5057915057915058,0.9061427213885124,0,1
20.0,20.0,480,2021,258,108.87500000000205,0.42199612403101566,0.45348837209302323,1.101094842050628,1,1
20.0,20.0,480,2022,258,24.364000000000715,0.09443410852713455,0.47674418604651164,1.0198529040290873,1,1
20.0,20.0,480,2023,257,-207.47199999999884,-0.8072840466926025,0.43190661478599224,0.8260992013732901,0,1
20.0,20.0,480,2024,259,259.2619999999995,1.001011583011581,0.528957528957529,1.1948219218433918,1,1
20.0,20.0,480,2025,258,415.6910000000007,1.6112054263565918,0.5503875968992248,1.2252319419076485,1,1
20.0,20.0,480,2026,175,-17.62000000000171,-0.10068571428572405,0.4742857142857143,0.9891903829990849,0,1
