date,A_result,B1_result,B2_result,start_balance,day_pnl_eur,end_balance
2026-01-02,,4.0,,300.0,4.0,304.0
2026-01-08,,4.0,,304.0,4.0,308.0
2026-01-09,,4.0,15.0,308.0,19.0,327.0
2026-01-16,-20.0,-20.0,,327.0,-40.0,287.0
2026-01-22,,-20.0,,287.0,-20.0,267.0
2026-01-23,15.0,4.0,-12.0,267.0,7.0,274.0
2026-01-30,,-20.0,,274.0,-20.0,254.0
2026-02-06,,4.0,15.0,254.0,19.0,273.0
2026-02-19,-20.0,-20.0,,273.0,-40.0,233.0
2026-02-20,-20.0,4.0,,233.0,-16.0,217.0
2026-02-27,15.0,4.0,,217.0,19.0,236.0
2026-03-05,,4.0,-12.0,236.0,-8.0,228.0
2026-03-06,,-20.0,,228.0,-20.0,208.0
2026-03-11,15.0,,,208.0,15.0,223.0
2026-03-12,-20.0,4.0,,223.0,-16.0,207.0
2026-03-13,,4.0,,207.0,4.0,211.0
2026-03-17,-20.0,,,211.0,-20.0,191.0
2026-03-18,,,,191.0,0.0,191.0
2026-03-19,,,,191.0,0.0,191.0
2026-03-20,,,,191.0,0.0,191.0
2026-03-26,,,,191.0,0.0,191.0
2026-04-01,,,,191.0,0.0,191.0
2026-04-07,,,,191.0,0.0,191.0
2026-04-09,,,,191.0,0.0,191.0
2026-04-10,,,,191.0,0.0,191.0
2026-04-14,,,,191.0,0.0,191.0
2026-04-17,,,,191.0,0.0,191.0
2026-04-21,,,,191.0,0.0,191.0
2026-04-23,,,,191.0,0.0,191.0
2026-04-24,,,,191.0,0.0,191.0
2026-04-30,,,,191.0,0.0,191.0
2026-05-01,,,,191.0,0.0,191.0
2026-05-07,,,,191.0,0.0,191.0
2026-05-14,,,,191.0,0.0,191.0
2026-05-15,,,,191.0,0.0,191.0
2026-05-21,,,,191.0,0.0,191.0
2026-05-29,,,,191.0,0.0,191.0
2026-06-04,,,,191.0,0.0,191.0
2026-06-05,,,,191.0,0.0,191.0
2026-06-16,,,,191.0,0.0,191.0
2026-06-18,,,,191.0,0.0,191.0
2026-06-26,,,,191.0,0.0,191.0
2026-07-02,,,,191.0,0.0,191.0
2026-07-08,,,,191.0,0.0,191.0
2026-07-09,,,,191.0,0.0,191.0
2026-07-10,,,,191.0,0.0,191.0
2026-07-16,,,,191.0,0.0,191.0
2026-07-17,,,,191.0,0.0,191.0
2026-07-23,,,,191.0,0.0,191.0
2026-07-24,,,,191.0,0.0,191.0
2026-07-31,,,,191.0,0.0,191.0
2026-08-07,,,,191.0,0.0,191.0
2026-08-13,,,,191.0,0.0,191.0
2026-08-14,,,,191.0,0.0,191.0
2026-08-20,,,,191.0,0.0,191.0
