date,engine,side,entry_i,entry_time,exit_time,entry_price,points,outcome,tp,sl,risk_pct,lot,sizing_equity,pnl_eur,retest_time,reclaim_signal_time,exit_i
2026-01-02,B1,LONG,4209601,2026-01-02T10:01:00+02:00,2026-01-02T10:34:00+02:00,4383.935,4.0,TP,4.0,20.0,0.1,0.01,300.0,4.0,,,
2026-01-08,B1,SHORT,4218486,2026-01-08T14:06:00+02:00,2026-01-08T14:16:00+02:00,4413.835,4.0,TP,4.0,20.0,0.1,0.01,304.0,4.0,,,
2026-01-09,B1,LONG,4220014,2026-01-09T15:34:00+02:00,2026-01-09T15:37:00+02:00,4485.035,4.0,TP,4.0,20.0,0.1,0.01,308.0,4.0,,,
2026-01-09,B2,LONG,4220023,2026-01-09T15:43:00+02:00,2026-01-09T17:22:00+02:00,4488.395,15.0,TP,15.0,12.0,0.05,0.01,312.0,15.0,2026-01-09T15:41:00+02:00,2026-01-09T15:42:00+02:00,
2026-01-16,A,SHORT,4230077,2026-01-16T15:17:00+02:00,2026-01-16T16:06:00+02:00,4586.325,-20.0,SL,15.0,20.0,0.1,0.01,327.0,-20.0,,,4230126.0
2026-01-16,B1,SHORT,4230077,2026-01-16T15:17:00+02:00,2026-01-16T16:06:00+02:00,4586.325,-20.0,SL,4.0,20.0,0.1,0.01,327.0,-20.0,,,
2026-01-22,B1,LONG,4238403,2026-01-22T10:03:00+02:00,2026-01-22T11:42:00+02:00,4835.645,-20.0,SL,4.0,20.0,0.1,0.01,287.0,-20.0,,,
2026-01-23,A,SHORT,4239863,2026-01-23T10:23:00+02:00,2026-01-23T10:26:00+02:00,4927.895,15.0,TP,15.0,20.0,0.1,0.01,267.0,15.0,,,4239866.0
2026-01-23,B1,SHORT,4239863,2026-01-23T10:23:00+02:00,2026-01-23T10:23:00+02:00,4927.895,4.0,TP,4.0,20.0,0.1,0.01,267.0,4.0,,,
2026-01-23,B2,SHORT,4240007,2026-01-23T12:47:00+02:00,2026-01-23T14:15:00+02:00,4925.335,-12.0,SL,15.0,12.0,0.05,0.01,271.0,-12.0,2026-01-23T12:25:00+02:00,2026-01-23T12:46:00+02:00,
2026-01-30,B1,SHORT,4249954,2026-01-30T10:34:00+02:00,2026-01-30T10:34:00+02:00,5067.602,-20.0,SL,4.0,20.0,0.1,0.01,274.0,-20.0,,,
2026-02-06,B1,LONG,4260301,2026-02-06T15:01:00+02:00,2026-02-06T15:01:00+02:00,4908.051,4.0,TP,4.0,20.0,0.1,0.01,254.0,4.0,,,
2026-02-06,B2,LONG,4260312,2026-02-06T15:12:00+02:00,2026-02-06T15:38:00+02:00,4916.315,15.0,TP,15.0,12.0,0.05,0.01,258.0,15.0,2026-02-06T15:10:00+02:00,2026-02-06T15:11:00+02:00,
2026-02-19,A,LONG,4278665,2026-02-19T09:05:00+02:00,2026-02-19T11:29:00+02:00,5020.445,-20.0,SL,15.0,20.0,0.1,0.01,273.0,-20.0,,,4278809.0
2026-02-19,B1,LONG,4278766,2026-02-19T10:46:00+02:00,2026-02-19T11:29:00+02:00,5021.785,-20.0,SL,4.0,20.0,0.1,0.01,273.0,-20.0,,,
2026-02-20,A,LONG,4280215,2026-02-20T10:55:00+02:00,2026-02-20T14:30:00+02:00,5031.015,-20.0,SL,15.0,20.0,0.1,0.01,233.0,-20.0,,,4280430.0
2026-02-20,B1,LONG,4280215,2026-02-20T10:55:00+02:00,2026-02-20T11:06:00+02:00,5031.015,4.0,TP,4.0,20.0,0.1,0.01,233.0,4.0,,,
2026-02-27,A,LONG,4290548,2026-02-27T15:08:00+02:00,2026-02-27T15:20:00+02:00,5210.145,15.0,TP,15.0,20.0,0.1,0.01,217.0,15.0,,,4290560.0
2026-02-27,B1,LONG,4290548,2026-02-27T15:08:00+02:00,2026-02-27T15:08:00+02:00,5210.145,4.0,TP,4.0,20.0,0.1,0.01,217.0,4.0,,,
2026-03-05,B1,SHORT,4299201,2026-03-05T15:21:00+02:00,2026-03-05T15:22:00+02:00,5116.748,4.0,TP,4.0,20.0,0.1,0.01,236.0,4.0,,,
2026-03-05,B2,SHORT,4299239,2026-03-05T15:59:00+02:00,2026-03-05T16:04:00+02:00,5112.975,-12.0,SL,15.0,12.0,0.05,0.01,240.0,-12.0,2026-03-05T15:28:00+02:00,2026-03-05T15:58:00+02:00,
2026-03-06,B1,SHORT,4300557,2026-03-06T13:57:00+02:00,2026-03-06T14:04:00+02:00,5065.785,-20.0,SL,4.0,20.0,0.1,0.01,228.0,-20.0,,,
2026-03-11,A,SHORT,4307545,2026-03-11T10:25:00+02:00,2026-03-11T14:47:00+02:00,5186.485,15.0,TP,15.0,20.0,0.1,0.01,208.0,15.0,,,4307807.0
2026-03-12,A,LONG,4308943,2026-03-12T09:43:00+02:00,2026-03-12T15:37:00+02:00,5178.605,-20.0,SL,15.0,20.0,0.1,0.01,223.0,-20.0,,,4309297.0
2026-03-12,B1,LONG,4308961,2026-03-12T10:01:00+02:00,2026-03-12T11:59:00+02:00,5185.675,4.0,TP,4.0,20.0,0.1,0.01,223.0,4.0,,,
2026-03-13,B1,SHORT,4310401,2026-03-13T10:01:00+02:00,2026-03-13T10:02:00+02:00,5080.295,4.0,TP,4.0,20.0,0.1,0.01,207.0,4.0,,,
2026-03-17,A,SHORT,4316323,2026-03-17T12:43:00+02:00,2026-03-17T13:45:00+02:00,4991.745,-20.0,SL,15.0,20.0,0.1,0.01,211.0,-20.0,,,4316385.0
