family,variant,tp,sl,rr,strict_tp_gt_sl,all_years_positive,positive_years,train_n,train_positive,train_negative,train_zero,train_win_rate,train_tp_count,train_sl_count,train_eod_count,train_net,train_ev,train_pf,train_max_dd,train_max_loss_streak,train_loss_streak_start,train_loss_streak_end,oos_n,oos_positive,oos_negative,oos_zero,oos_win_rate,oos_tp_count,oos_sl_count,oos_eod_count,oos_net,oos_ev,oos_pf,oos_max_dd,oos_max_loss_streak,oos_loss_streak_start,oos_loss_streak_end,all_n,all_positive,all_negative,all_zero,all_win_rate,all_tp_count,all_sl_count,all_eod_count,all_net,all_ev,all_pf,all_max_dd,all_max_loss_streak,all_loss_streak_start,all_loss_streak_end,net_2023,net_2024,net_2025,net_2026,distance
asia_close_09_12_largerange,"b=2.0,R>=50.0",40.0,40.0,1.0,False,False,3,23,17,6,0,0.7391304347826086,11,5,7,292.0429999999992,12.6975217391304,2.3243979864858715,80.0,2,2025-11-18,2025-11-21,41,27,14,0,0.6585365853658537,19,11,11,331.4099999999994,8.083170731707302,1.6365068085351548,113.64000000000031,3,2026-04-02,2026-04-07,64,44,20,0,0.6875,30,16,18,623.4529999999986,9.741453124999978,1.8411627404948845,113.64000000000031,3,2026-04-02,2026-04-07,40.0,-1000000000.0,252.0429999999992,331.4099999999994,1.1250000000000004
asia_close_10_12_largerange_short,"b=1.0,R>=30.0",25.0,25.0,1.0,False,False,3,29,19,10,0,0.6551724137931034,14,9,6,156.20299999999975,5.386310344827577,1.6542260010051926,75.0,3,2025-04-17,2025-05-08,29,19,10,0,0.6551724137931034,18,10,1,215.0,7.413793103448276,1.86,75.0,2,2026-01-30,2026-03-03,58,38,20,0,0.6551724137931034,32,19,7,371.20299999999975,6.400051724137927,1.7594790899418933,100.0,3,2025-04-17,2025-05-08,11.240000000000007,-1000000000.0,144.96299999999974,215.0,1.4482758620689662
asia_close_10_16_largerange,"b=1.0,R>=60.0",40.0,40.0,1.0,False,False,3,14,11,3,0,0.7857142857142857,7,2,5,276.0400000000004,19.71714285714289,3.755715284017173,80.0,2,2025-10-14,2025-10-22,41,25,16,0,0.6097560975609756,19,9,13,355.329999999999,8.666585365853635,1.763625032235876,120.0,3,2026-01-27,2026-01-30,55,36,19,0,0.6545454545454545,26,11,18,631.3699999999994,11.479454545454535,2.1165007338768107,120.0,3,2026-01-27,2026-01-30,40.0,-1000000000.0,236.0400000000004,355.329999999999,1.454545454545455
09_10_mom_fade_short,th=10.0,15.0,15.0,1.0,False,True,4,21,13,8,0,0.6190476190476191,10,8,3,42.6230000000005,2.0296666666666905,1.3551916666666708,45.0,3,2025-09-22,2025-10-16,41,27,14,0,0.6585365853658537,27,14,0,195.0,4.7560975609756095,1.9285714285714288,45.0,2,2026-04-30,2026-05-07,62,40,22,0,0.6451612903225806,37,22,3,237.6230000000005,3.832629032258073,1.7200696969696985,45.0,3,2025-09-22,2025-10-16,32.76299999999992,7.140000000000327,2.7200000000002547,195.0,1.5483870967741942
asia_close_10_14_largerange_short,"b=5.0,R>=30.0",30.0,30.0,1.0,False,True,4,27,17,10,0,0.6296296296296297,12,7,8,170.79599999999982,6.325777777777772,1.6682760968318733,90.0,3,2025-04-23,2025-05-08,32,21,11,0,0.65625,18,10,4,243.44999999999985,7.607812499999994,1.7443360748463632,90.0,3,2026-01-23,2026-03-03,59,38,21,0,0.6440677966101694,30,17,12,414.2459999999997,7.021118644067791,1.7109725099416966,150.0,3,2025-04-23,2025-05-08,11.682999999999993,30.0,129.11299999999983,243.44999999999985,1.559322033898306
12_13_mom_fade_long,th=8.0,20.0,20.0,1.0,False,True,4,26,16,10,0,0.6153846153846154,14,9,3,88.95300000000043,3.4212692307692474,1.4620935064935088,51.07699999999977,2,2025-03-10,2025-04-25,36,23,13,0,0.6388888888888888,22,13,1,182.89999999999964,5.080555555555545,1.703461538461537,60.0,3,2026-02-25,2026-03-03,62,39,23,0,0.6290322580645161,36,22,4,271.85300000000007,4.384725806451614,1.6007801104972377,60.0,3,2026-02-25,2026-03-03,0.0300000000002,20.0,68.92300000000023,182.89999999999964,1.7096774193548392
14_15_mom_fade_long,th=8.0,7.5,7.5,1.0,False,True,4,30,21,9,0,0.7,21,9,0,90.0,3.0,2.333333333333333,22.5,3,2024-12-19,2025-02-11,37,20,17,0,0.5405405405405406,20,17,0,22.5,0.6081081081081081,1.1764705882352942,22.5,3,2026-01-26,2026-02-05,67,41,26,0,0.6119402985074627,41,26,0,112.5,1.6791044776119404,1.5769230769230769,22.5,3,2024-12-19,2025-02-11,7.5,7.5,75.0,22.5,1.8805970149253737
13_14_mom_fade,th=12.0,40.0,30.0,1.3333333333333333,True,False,2,28,15,13,0,0.5357142857142857,5,11,12,15.179000000000542,0.5421071428571622,1.0450030834183266,77.06799999999976,3,2024-08-05,2024-11-06,37,24,13,0,0.6486486486486487,19,12,6,474.3600000000024,12.820540540540604,2.2946859903381727,98.43999999999868,3,2026-02-02,2026-02-09,65,39,26,0,0.6,24,23,18,489.5390000000029,7.531369230769276,1.6956860950605297,98.43999999999868,3,2024-08-05,2024-11-06,-1000000000.0,-62.9409999999998,78.12000000000035,474.3600000000024,2.000000000000001
11_12_mom_fade_short,th=10.0,10.0,10.0,1.0,False,False,3,28,17,11,0,0.6071428571428571,17,10,1,64.30000000000018,2.296428571428578,1.6083254493850547,40.0,3,2025-05-20,2025-09-23,23,13,10,0,0.5652173913043478,13,10,0,30.0,1.3043478260869563,1.3,20.0,2,2026-02-02,2026-03-04,51,30,21,0,0.5882352941176471,30,20,1,94.30000000000018,1.849019607843141,1.4584346135148287,40.0,3,2025-05-20,2025-09-23,-1000000000.0,4.300000000000182,60.0,30.0,2.11764705882353
08_09_mom_cont_long,th=8.0,30.0,30.0,1.0,False,False,2,35,21,14,0,0.6,13,10,12,186.99800000000096,5.342800000000027,1.5851385729350227,96.88700000000016,3,2025-04-22,2025-05-14,40,23,17,0,0.575,21,16,3,166.3440000000005,4.158600000000012,1.3443975155279513,150.0,3,2026-03-05,2026-03-18,75,44,31,0,0.5866666666666667,34,26,15,353.34200000000146,4.711226666666686,1.4402582175711076,150.0,3,2025-04-22,2025-05-14,-1000000000.0,-27.757000000000065,214.75500000000105,166.3440000000005,2.1333333333333337
