family,variant,tp,sl,rr,strict_tp_gt_sl,all_years_positive,positive_years,train_n,train_positive,train_negative,train_zero,train_win_rate,train_tp_count,train_sl_count,train_eod_count,train_net,train_ev,train_pf,train_max_dd,train_max_loss_streak,train_loss_streak_start,train_loss_streak_end,oos_n,oos_positive,oos_negative,oos_zero,oos_win_rate,oos_tp_count,oos_sl_count,oos_eod_count,oos_net,oos_ev,oos_pf,oos_max_dd,oos_max_loss_streak,oos_loss_streak_start,oos_loss_streak_end,all_n,all_positive,all_negative,all_zero,all_win_rate,all_tp_count,all_sl_count,all_eod_count,all_net,all_ev,all_pf,all_max_dd,all_max_loss_streak,all_loss_streak_start,all_loss_streak_end,net_2023,net_2024,net_2025,net_2026
ema_stretch_fade_900,d=30.0,15.0,12.5,1.2,True,False,2,3,3,0,0,1.0,3,0,0,45.0,15.0,99.0,0.0,0,,,9,7,2,0,0.7777777777777778,7,2,0,80.0,8.88888888888889,4.2,25.0,2,2026-03-18,2026-03-19,12,10,2,0,0.8333333333333334,10,2,0,125.0,10.416666666666666,6.0,25.0,2,2026-03-18,2026-03-19,-1000000000.0,-1000000000.0,45.0,80.0
13_14_mom_fade_short,th=15.0,40.0,30.0,1.3333333333333333,True,False,2,4,3,1,0,0.75,2,0,2,101.43299999999954,25.358249999999884,24.334023464457022,4.347000000000207,1,2025-06-12,2025-06-12,12,10,2,0,0.8333333333333334,9,2,1,323.7300000000005,26.97750000000004,6.395500000000008,60.0,2,2026-02-02,2026-02-09,16,13,3,0,0.8125,11,2,3,425.163,26.5726875,7.607347661895639,60.0,2,2026-02-02,2026-02-09,-1000000000.0,-1000000000.0,101.43299999999954,323.7300000000005
13_14_mom_fade_short,th=15.0,40.0,35.0,1.1428571428571428,True,False,2,4,3,1,0,0.75,2,0,2,101.43299999999954,25.358249999999884,24.334023464457022,4.347000000000207,1,2025-06-12,2025-06-12,12,10,2,0,0.8333333333333334,9,2,1,313.7300000000005,26.144166666666703,5.48185714285715,70.0,2,2026-02-02,2026-02-09,16,13,3,0,0.8125,11,2,3,415.163,25.9476875,6.584125788532138,70.0,2,2026-02-02,2026-02-09,-1000000000.0,-1000000000.0,101.43299999999954,313.7300000000005
13_14_mom_fade_short,th=15.0,35.0,30.0,1.1666666666666667,True,False,2,4,3,1,0,0.75,2,0,2,91.43299999999954,22.858249999999884,22.03358638141136,4.347000000000207,1,2025-06-12,2025-06-12,12,10,2,0,0.8333333333333334,9,2,1,278.7300000000005,23.22750000000004,5.645500000000008,60.0,2,2026-02-02,2026-02-09,16,13,3,0,0.8125,11,2,3,370.163,23.1351875,6.752606959143376,60.0,2,2026-02-02,2026-02-09,-1000000000.0,-1000000000.0,91.43299999999954,278.7300000000005
ema_stretch_fade_900,d=30.0,15.0,15.0,1.0,False,False,2,3,3,0,0,1.0,3,0,0,45.0,15.0,99.0,0.0,0,,,9,7,2,0,0.7777777777777778,7,2,0,75.0,8.333333333333334,3.5,30.0,2,2026-03-18,2026-03-19,12,10,2,0,0.8333333333333334,10,2,0,120.0,10.0,5.0,30.0,2,2026-03-18,2026-03-19,-1000000000.0,-1000000000.0,45.0,75.0
ema_stretch_fade_900,d=30.0,12.5,12.5,1.0,False,False,2,3,3,0,0,1.0,3,0,0,37.5,12.5,99.0,0.0,0,,,9,7,2,0,0.7777777777777778,7,2,0,62.5,6.944444444444445,3.5,25.0,2,2026-03-18,2026-03-19,12,10,2,0,0.8333333333333334,10,2,0,100.0,8.333333333333334,5.0,25.0,2,2026-03-18,2026-03-19,-1000000000.0,-1000000000.0,37.5,62.5
11_12_mom_fade,th=25.0,25.0,25.0,1.0,False,False,2,4,3,1,0,0.75,3,1,0,50.0,12.5,3.0,25.0,1,2024-06-07,2024-06-07,7,6,1,0,0.8571428571428571,6,1,0,125.0,17.857142857142858,6.0,25.0,1,2026-03-20,2026-03-20,11,9,2,0,0.8181818181818182,9,2,0,175.0,15.909090909090908,4.5,25.0,1,2024-06-07,2024-06-07,-1000000000.0,-25.0,75.0,125.0
13_14_mom_fade_short,th=15.0,40.0,40.0,1.0,False,False,2,4,3,1,0,0.75,2,0,2,101.43299999999954,25.358249999999884,24.334023464457022,4.347000000000207,1,2025-06-12,2025-06-12,12,10,2,0,0.8333333333333334,9,2,1,303.7300000000005,25.31083333333337,4.796625000000006,80.0,2,2026-02-02,2026-02-09,16,13,3,0,0.8125,11,2,3,405.163,25.3226875,5.803525910820764,80.0,2,2026-02-02,2026-02-09,-1000000000.0,-1000000000.0,101.43299999999954,303.7300000000005
13_14_mom_fade_short,th=15.0,35.0,35.0,1.0,False,False,2,4,3,1,0,0.75,2,0,2,91.43299999999954,22.858249999999884,22.03358638141136,4.347000000000207,1,2025-06-12,2025-06-12,12,10,2,0,0.8333333333333334,9,2,1,268.7300000000005,22.394166666666703,4.839000000000007,70.0,2,2026-02-02,2026-02-09,16,13,3,0,0.8125,11,2,3,360.163,22.5101875,5.844351486946333,70.0,2,2026-02-02,2026-02-09,-1000000000.0,-1000000000.0,91.43299999999954,268.7300000000005
13_14_mom_fade_short,th=15.0,30.0,30.0,1.0,False,False,2,4,3,1,0,0.75,2,0,2,81.43299999999954,20.358249999999884,19.73314929836569,4.347000000000207,1,2025-06-12,2025-06-12,12,10,2,0,0.8333333333333334,10,2,0,240.0,20.0,5.0,60.0,2,2026-02-02,2026-02-09,16,13,3,0,0.8125,12,2,2,321.43299999999954,20.08956249999997,5.995306696504865,60.0,2,2026-02-02,2026-02-09,-1000000000.0,-1000000000.0,81.43299999999954,240.0
