family,param,tp,sl,score,positive_train_years,train_n,train_net,train_ev,train_pf,train_pos,train_dd,train_tp,train_sl,train_eod,oos_n,oos_net,oos_ev,oos_pf,oos_pos,oos_dd,oos_tp,oos_sl,oos_eod,all_n,all_net,all_ev,all_pf,all_pos,all_dd,all_tp,all_sl,all_eod
asia_position_cont,frac=0.9,20.0,40.0,1.043296863113428,2,280,549.5399999999986,1.9626428571428522,1.3322067136538194,0.5285714285714286,238.88200000000165,87,9,184,48,193.52999999999975,4.031874999999995,1.3978251485189213,0.7083333333333334,120.0,34,12,2,328,743.0699999999983,2.2654573170731656,1.3471185104179457,0.5548780487804879,238.88200000000165,121,21,186
prevclose_gap_cont,th=15.0,35.0,25.0,4.098300298296632,2,149,808.5689999999988,5.426637583892609,1.718768251022056,0.5637583892617449,85.79599999999982,38,38,73,129,-84.52300000000105,-0.655217054263574,0.9535701690684585,0.4263565891472868,367.02300000000014,47,71,11,278,724.0459999999978,2.604482014388481,1.245824057516458,0.5,392.02300000000014,85,109,84
10_11_momentum_cont,th=8.0,35.0,30.0,0.7113351990454195,2,100,124.91999999999894,1.2491999999999894,1.1288933967413444,0.5,156.92000000000098,23,25,52,58,185.53999999999996,3.198965517241379,1.2414627798021862,0.5172413793103449,180.0,26,25,7,158,310.4599999999989,1.9649367088607526,1.1786745074883178,0.5063291139240507,180.0,49,50,59
prevday_direction_fade,th=20.0,30.0,25.0,0.6957576550158482,3,278,206.56900000000064,0.7430539568345347,1.0928834151693376,0.48201438848920863,343.32599999999957,55,67,156,130,81.36400000000049,0.6258769230769268,1.0482922272092194,0.46153846153846156,291.09999999999945,58,66,6,408,287.93300000000113,0.7057181372549047,1.0736630247857009,0.47549019607843135,343.32599999999957,113,133,162
10_11_momentum_fade,th=3.0,35.0,20.0,1.1565538923131562,3,345,412.3000000000011,1.1950724637681192,1.1590714517478768,0.4753623188405797,173.24000000000024,53,103,189,119,-150.58999999999924,-1.2654621848739431,0.9029547285323027,0.3445378151260504,266.75,40,77,2,464,261.71000000000186,0.564030172413797,1.0631590328083802,0.4418103448275862,266.75,93,180,191
orb_10_60,b=1.0,35.0,25.0,0.004589752374112022,2,765,116.91999999999712,0.15283660130718577,1.022109556521099,0.47581699346405226,470.0410000000036,70,125,570,163,112.17700000000059,0.6882024539877337,1.052223370047714,0.4233128834355828,373.3069999999998,62,82,19,928,229.0969999999977,0.24687176724137683,1.0308082021087552,0.4665948275862069,470.0410000000036,132,207,589
orb_14_30,b=2.0,35.0,15.0,0.3065743425460429,3,772,404.1220000000012,0.5234740932642503,1.0907860235325413,0.45077720207253885,416.60499999999683,57,235,480,164,-334.2369999999987,-2.0380304878048703,0.807026639731138,0.27439024390243905,380.3269999999993,37,114,13,936,69.88500000000249,0.0746634615384642,1.0113020253404075,0.4198717948717949,416.60499999999683,94,349,493
14_15_momentum_cont,th=5.0,30.0,15.0,0.40044535446979546,2,154,185.12100000000078,1.2020844155844206,1.1643409132270113,0.45454545454545453,133.1199999999999,31,69,54,106,-137.45999999999913,-1.2967924528301804,0.8703403259885308,0.32075471698113206,276.3599999999997,29,70,7,260,47.66100000000165,0.1833115384615448,1.0217968037208376,0.4,291.3599999999997,60,139,61
prevday_direction_cont,th=5.0,35.0,15.0,-0.17900770947836692,2,612,-6.015000000006239,-0.009828431372559215,0.9985231065686015,0.4264705882352941,433.1110000000017,52,237,323,156,7.106999999999061,0.04555769230768629,1.0044949064683766,0.3076923076923077,295.0,44,105,7,768,1.0919999999928223,0.001421874999990654,1.0001931423499788,0.40234375,433.1110000000017,96,342,330
14_15_momentum_fade,th=3.0,25.0,15.0,-0.4207928063285714,2,293,21.800000000003593,0.07440273037543889,1.0109591685510086,0.4539249146757679,341.3949999999995,57,119,117,129,-78.91600000000017,-0.6117519379844975,0.9358406504065039,0.3643410852713178,250.0,46,82,1,422,-57.115999999996575,-0.13534597156397293,0.9822577148001286,0.4265402843601896,341.3949999999995,103,201,118
asia_mid_fade,frac=0.25,10.0,15.0,-1.1483606830230755,1,465,-273.06399999999985,-0.5872344086021503,0.8917470312734147,0.5612903225806452,609.0270000000016,213,152,100,89,167.97699999999986,1.8873820224719084,1.3980280695601894,0.6629213483146067,65.0,59,28,2,554,-105.08699999999999,-0.18968772563176894,0.9643105670431332,0.5776173285198556,626.0720000000017,272,180,102
orb_15_30,b=1.0,35.0,30.0,0.5222596326626998,3,771,624.6920000000048,0.8102360570687481,1.1425289202571633,0.4993514915693904,329.00700000000006,58,53,660,164,-999.0799999999995,-6.091951219512192,0.6235573207716801,0.36585365853658536,1260.0600000000009,42,81,41,935,-374.3879999999947,-0.4004149732620264,0.9467965871986278,0.47593582887700536,1260.0600000000009,100,134,701
prevclose_gap_fade,th=20.0,35.0,15.0,-3.6300985739151463,2,93,-177.50000000000045,-1.9086021505376394,0.8023906830825268,0.3333333333333333,296.43800000000056,15,59,19,115,-388.27000000000044,-3.376260869565221,0.6966403625283223,0.24347826086956523,427.27000000000044,24,85,6,208,-565.7700000000009,-2.720048076923081,0.74025049847645,0.28365384615384615,673.708000000001,39,144,25
orb_10_15,b=1.0,25.0,15.0,-0.5028124605909414,1,774,-204.7089999999987,-0.2644819121447012,0.9597594637766572,0.43281653746770027,662.7089999999994,131,289,354,164,-460.0,-2.8048780487804876,0.7309941520467836,0.3048780487804878,605.0,50,114,0,938,-664.7089999999987,-0.7086449893390178,0.9022074597911416,0.41044776119402987,967.2399999999984,181,403,354
