family,variant,tp,sl,all_years_positive,positive_years,train_n,train_positive,train_negative,train_zero,train_win_rate,train_tp_count,train_sl_count,train_eod_count,train_net,train_ev,train_pf,train_max_dd,train_max_loss_streak,train_loss_streak_start,train_loss_streak_end,oos_n,oos_positive,oos_negative,oos_zero,oos_win_rate,oos_tp_count,oos_sl_count,oos_eod_count,oos_net,oos_ev,oos_pf,oos_max_dd,oos_max_loss_streak,oos_loss_streak_start,oos_loss_streak_end,all_n,all_positive,all_negative,all_zero,all_win_rate,all_tp_count,all_sl_count,all_eod_count,all_net,all_ev,all_pf,all_max_dd,all_max_loss_streak,all_loss_streak_start,all_loss_streak_end,net_2023,net_2024,net_2025,net_2026,robust_score
asia_close_10_14_largerange,"b=1.0,R>=40.0",30.0,50.0,True,4,46,32,14,0,0.6956521739130435,24,5,17,394.47299999999973,8.575499999999995,1.963939593871418,141.7529999999988,3,2025-11-21,2025-12-15,61,39,22,0,0.639344262295082,32,15,14,164.6199999999999,2.698688524590162,1.1902483560424828,259.9499999999998,3,2026-04-06,2026-04-10,107,71,36,0,0.6635514018691588,56,20,31,559.0929999999996,5.225168224299062,1.4386694598750902,342.4329999999982,3,2025-11-21,2025-12-15,16.24000000000001,60.0,318.2329999999997,164.6199999999999,5.889646486594147
asia_close_10_16_largerange,"b=1.0,R>=20.0",5.0,50.0,True,4,160,142,18,0,0.8875,141,5,14,215.73699999999826,1.348356249999989,1.4407959528100214,109.97000000000025,2,2024-08-01,2024-08-02,110,105,5,0,0.9545454545454546,105,5,0,275.0,2.5,2.1,60.0,1,2026-02-19,2026-02-19,270,247,23,0,0.9148148148148149,246,10,14,490.73699999999826,1.817544444444438,1.663672903035594,109.97000000000025,2,2024-08-01,2024-08-02,11.623000000000047,33.68899999999985,170.42499999999836,275.0,2.8476044444444373
14_15_mom_fade,th=12.0,7.5,25.0,True,4,29,24,5,0,0.8275862068965517,24,4,1,66.48399999999992,2.2925517241379283,1.5856795517812456,38.516000000000076,2,2025-05-12,2025-05-14,55,45,10,0,0.8181818181818182,45,10,0,87.5,1.5909090909090908,1.35,85.0,2,2026-02-05,2026-02-06,84,69,15,0,0.8214285714285714,69,14,1,153.98399999999992,1.8331428571428563,1.4235962103456241,85.0,2,2025-05-12,2025-05-14,7.5,22.5,36.483999999999924,87.5,2.458597402597402
asia_close_10_12_largerange,"b=1.0,R>=20.0",5.0,50.0,True,4,109,99,10,0,0.908256880733945,98,4,7,197.79799999999932,1.8146605504587094,1.6765447300463423,101.5600000000004,1,2023-01-03,2023-01-03,71,66,5,0,0.9295774647887324,66,5,0,80.0,1.1267605633802817,1.32,65.0,1,2026-02-19,2026-02-19,180,165,15,0,0.9166666666666666,164,9,7,277.7979999999993,1.5433222222222185,1.512197505369998,101.5600000000004,1,2023-01-03,2023-01-03,6.623000000000047,57.248999999999796,133.92599999999948,80.0,1.9035825039123584
13_14_mom_fade,th=5.0,5.0,25.0,True,4,138,115,23,0,0.8333333333333334,115,15,8,96.06300000000033,0.6961086956521763,1.2005754410287792,95.0,3,2025-11-28,2025-12-03,92,81,11,0,0.8804347826086957,81,11,0,130.0,1.4130434782608696,1.4727272727272727,65.0,2,2026-03-18,2026-03-19,230,196,34,0,0.8521739130434782,196,26,8,226.06300000000033,0.9828826086956536,1.2998433556119415,95.0,3,2025-11-28,2025-12-03,16.343000000000075,16.920000000000073,62.80000000000018,130.0,1.4994043478260886
prevclose_gap_cont,th=15.0,7.5,35.0,True,4,149,117,32,0,0.785234899328859,115,14,20,192.50300000000016,1.291966442953021,1.2848014557935854,155.5239999999999,3,2023-10-16,2024-04-01,129,106,23,0,0.8217054263565892,106,21,2,30.989999999999327,0.24023255813952968,1.0405622963050212,200.0,2,2026-02-26,2026-03-02,278,223,55,0,0.802158273381295,221,35,22,223.49299999999948,0.8039316546762572,1.1552110172022247,200.0,3,2023-10-16,2024-04-01,0.018000000000029104,126.53999999999951,65.94500000000062,30.989999999999327,0.524047933746022
10_11_mom_cont,th=8.0,5.0,15.0,True,4,100,77,23,0,0.77,77,22,1,54.733000000000175,0.5473300000000018,1.1657234903880807,50.0,3,2025-08-07,2025-08-12,58,44,14,0,0.7586206896551724,44,14,0,10.0,0.1724137931034483,1.0476190476190477,60.0,3,2026-01-06,2026-01-13,158,121,37,0,0.7658227848101266,121,36,1,64.73300000000017,0.40970253164557074,1.1198166832325502,105.0,3,2025-08-07,2025-08-12,9.733000000000175,25.0,20.0,10.0,0.2859094281972949
ema_trend_10,sep=5.0,20.0,50.0,False,3,52,35,17,0,0.6730769230769231,28,3,21,206.48700000000076,3.9709038461538606,1.5059504994891193,137.9070000000006,3,2025-10-31,2025-11-06,56,42,14,0,0.75,42,10,4,283.96000000000004,5.070714285714287,1.5106826846989425,219.14999999999964,3,2026-02-16,2026-03-02,108,77,31,0,0.7129629629629629,70,13,25,490.4470000000008,4.541175925925933,1.508679603010714,277.05700000000024,3,2025-10-31,2025-11-06,42.22199999999998,-17.870999999999185,182.13599999999997,283.96000000000004,6.522419068783076
09_10_mom_fade,th=8.0,12.5,50.0,False,3,71,52,19,0,0.7323943661971831,45,5,21,75.22700000000054,1.0595352112676133,1.147851226999895,124.68000000000029,2,2023-04-21,2023-12-04,85,71,14,0,0.8352941176470589,71,8,6,414.9399999999996,4.881647058823525,1.8780683934315203,100.0,2,2026-03-18,2026-03-19,156,123,33,0,0.7884615384615384,116,13,27,490.16700000000014,3.142096153846155,1.4994762381261961,124.68000000000029,2,2023-04-21,2023-12-04,-8.024000000000115,46.858000000001084,36.392999999999574,414.9399999999996,5.333559683257917
09_10_mom_cont,th=8.0,5.0,50.0,False,3,71,64,7,0,0.9014084507042254,63,3,5,103.07499999999982,1.451760563380279,1.485664475699106,130.0,2,2023-02-08,2023-03-20,85,79,6,0,0.9294117647058824,79,5,1,139.4399999999996,1.6404705882352895,1.5456252934731545,55.0,1,2026-01-19,2026-01-19,156,143,13,0,0.9166666666666666,142,8,6,242.51499999999942,1.5545833333333297,1.5184215307987454,130.0,2,2023-02-08,2023-03-20,-16.795000000000073,34.90000000000009,84.9699999999998,139.4399999999996,2.1148186274509744
