family,variant,tp,sl,all_years_positive,positive_years,train_n,train_positive,train_negative,train_zero,train_win_rate,train_tp_count,train_sl_count,train_eod_count,train_net,train_ev,train_pf,train_max_dd,train_max_loss_streak,train_loss_streak_start,train_loss_streak_end,oos_n,oos_positive,oos_negative,oos_zero,oos_win_rate,oos_tp_count,oos_sl_count,oos_eod_count,oos_net,oos_ev,oos_pf,oos_max_dd,oos_max_loss_streak,oos_loss_streak_start,oos_loss_streak_end,all_n,all_positive,all_negative,all_zero,all_win_rate,all_tp_count,all_sl_count,all_eod_count,all_net,all_ev,all_pf,all_max_dd,all_max_loss_streak,all_loss_streak_start,all_loss_streak_end,net_2023,net_2024,net_2025,net_2026,robust_score
asia_close_10_14_largerange,"b=1.0,R>=40.0",30.0,50.0,True,4,46,32,14,0,0.6956521739130435,24,5,17,394.47299999999973,8.575499999999995,1.963939593871418,141.7529999999988,3,2025-11-21,2025-12-15,61,39,22,0,0.639344262295082,32,15,14,164.6199999999999,2.698688524590162,1.1902483560424828,259.9499999999998,3,2026-04-06,2026-04-10,107,71,36,0,0.6635514018691588,56,20,31,559.0929999999996,5.225168224299062,1.4386694598750902,342.4329999999982,3,2025-11-21,2025-12-15,16.24000000000001,60.0,318.2329999999997,164.6199999999999,5.889646486594147
asia_close_10_14_largerange,"b=2.0,R>=40.0",30.0,50.0,True,4,44,31,13,0,0.7045454545454546,23,4,17,374.1090000000004,8.502477272727281,1.9473656221669637,92.73299999999927,2,2025-11-03,2025-11-05,59,36,23,0,0.6101694915254238,30,15,14,94.86299999999937,1.607847457627108,1.1086860132192649,260.6799999999994,3,2026-01-27,2026-01-30,103,67,36,0,0.6504854368932039,53,19,31,468.97199999999975,4.553126213592231,1.3699360500934357,353.41299999999865,3,2026-01-27,2026-01-30,14.913000000000011,60.0,299.19600000000037,94.86299999999937,4.650223942405788
asia_close_10_14_largerange,"b=1.0,R>=40.0",20.0,50.0,True,4,46,35,11,0,0.7608695652173914,32,4,10,352.6360000000002,7.666000000000004,2.125169508019924,127.97999999999956,3,2025-11-21,2025-12-15,61,43,18,0,0.7049180327868853,42,14,5,99.94000000000051,1.6383606557377133,1.134261187312762,241.3099999999995,3,2026-07-06,2026-07-21,107,78,29,0,0.7289719626168224,74,18,15,452.5760000000007,4.229682242990661,1.4278557767847107,279.28999999999905,3,2025-11-21,2025-12-15,6.240000000000009,40.0,306.3960000000002,99.94000000000051,4.490282570859519
asia_close_10_14_largerange,"b=2.0,R>=40.0",20.0,50.0,True,4,44,35,9,0,0.7954545454545454,31,3,10,387.3990000000008,8.804522727272746,2.506720754217979,77.97999999999956,2,2025-11-03,2025-11-05,59,41,18,0,0.6949152542372882,40,14,5,55.13999999999942,0.9345762711864308,1.0736014522738488,231.3099999999995,3,2026-07-06,2026-07-21,103,76,27,0,0.7378640776699029,71,17,15,442.5390000000002,4.29649514563107,1.4397754510655043,269.28999999999905,3,2026-07-06,2026-07-21,4.913000000000011,40.0,342.4860000000008,55.13999999999942,4.225203281224288
asia_close_10_14_largerange,"b=1.0,R>=40.0",25.0,50.0,True,4,46,34,12,0,0.7391304347826086,27,4,15,380.2030000000002,8.265282608695657,2.0644576963995775,146.7529999999988,3,2025-11-21,2025-12-15,61,40,21,0,0.6557377049180327,35,15,11,67.97999999999956,1.1144262295081895,1.0810810810810805,304.9499999999998,3,2026-04-06,2026-04-10,107,74,33,0,0.6915887850467289,62,19,26,448.18299999999977,4.188626168224297,1.3748603211776513,401.7029999999986,3,2025-11-21,2025-12-15,11.240000000000009,50.0,318.9630000000002,67.97999999999956,3.942433282978395
asia_close_10_14_largerange,"b=2.0,R>=40.0",25.0,50.0,True,4,44,34,10,0,0.7727272727272727,27,3,14,431.61600000000044,9.809454545454555,2.4298217426880098,97.73299999999927,2,2025-11-03,2025-11-05,59,37,22,0,0.6271186440677966,33,15,11,11.2599999999984,0.19084745762709152,1.0133477163076832,304.9499999999998,3,2026-01-27,2026-01-30,103,71,32,0,0.6893203883495146,60,18,25,442.87599999999884,4.299766990291251,1.386636949270028,402.6829999999991,3,2026-01-27,2026-01-30,9.913000000000011,50.0,371.70300000000043,11.2599999999984,3.5898247191047985
asia_close_10_14_largerange,"b=2.0,R>=40.0",20.0,40.0,True,4,44,34,10,0,0.7727272727272727,30,4,10,357.3990000000008,8.122704545454564,2.338001752060923,75.92000000000007,3,2025-05-01,2025-05-13,59,39,20,0,0.6610169491525424,38,18,3,17.36999999999989,0.2944067796610151,1.0232548799100327,220.0,3,2026-03-12,2026-03-17,103,73,30,0,0.7087378640776699,68,22,13,374.7690000000007,3.638533980582531,1.3695749930477081,247.97999999999956,3,2025-05-01,2025-05-13,4.913000000000011,40.0,312.4860000000008,17.36999999999989,3.2897773704130393
asia_close_10_16_largerange,"b=1.0,R>=20.0",5.0,50.0,True,4,160,142,18,0,0.8875,141,5,14,215.73699999999826,1.348356249999989,1.4407959528100214,109.97000000000025,2,2024-08-01,2024-08-02,110,105,5,0,0.9545454545454546,105,5,0,275.0,2.5,2.1,60.0,1,2026-02-19,2026-02-19,270,247,23,0,0.9148148148148149,246,10,14,490.73699999999826,1.817544444444438,1.663672903035594,109.97000000000025,2,2024-08-01,2024-08-02,11.623000000000047,33.68899999999985,170.42499999999836,275.0,2.8476044444444373
asia_close_10_14_largerange,"b=1.0,R>=40.0",15.0,50.0,True,4,46,36,10,0,0.782608695652174,35,4,7,231.92600000000016,5.041869565217395,1.7909165623710523,127.97999999999956,3,2025-11-21,2025-12-15,61,46,15,0,0.7540983606557377,45,12,4,50.5600000000004,0.8288524590164,1.0804135188866806,200.6899999999996,3,2026-07-06,2026-07-21,107,82,25,0,0.7663551401869159,80,16,11,282.48600000000056,2.64005607476636,1.3063882679473795,208.66999999999916,3,2025-11-21,2025-12-15,1.240000000000009,30.0,200.68600000000015,50.5600000000004,2.637142304274562
14_15_mom_fade,th=12.0,7.5,25.0,True,4,29,24,5,0,0.8275862068965517,24,4,1,66.48399999999992,2.2925517241379283,1.5856795517812456,38.516000000000076,2,2025-05-12,2025-05-14,55,45,10,0,0.8181818181818182,45,10,0,87.5,1.5909090909090908,1.35,85.0,2,2026-02-05,2026-02-06,84,69,15,0,0.8214285714285714,69,14,1,153.98399999999992,1.8331428571428563,1.4235962103456241,85.0,2,2025-05-12,2025-05-14,7.5,22.5,36.483999999999924,87.5,2.458597402597402
