strategy,tp,sl,rr,horizon_min,train_n,train_net,train_ev,train_wr,train_pf,train_dd,train_streak,train_tp,train_sl,train_time,oos_n,oos_net,oos_ev,oos_wr,oos_pf,oos_dd,oos_streak,oos_tp,oos_sl,oos_time,all_n,all_net,all_wr,all_pf,n_2018,net_2018,wr_2018,tp_2018,sl_2018,time_2018,n_2019,net_2019,wr_2019,tp_2019,sl_2019,time_2019,n_2020,net_2020,wr_2020,tp_2020,sl_2020,time_2020,n_2021,net_2021,wr_2021,tp_2021,sl_2021,time_2021,n_2022,net_2022,wr_2022,tp_2022,sl_2022,time_2022,n_2023,net_2023,wr_2023,tp_2023,sl_2023,time_2023,n_2024,net_2024,wr_2024,tp_2024,sl_2024,time_2024,n_2025,net_2025,wr_2025,tp_2025,sl_2025,time_2025,n_2026,net_2026,wr_2026,tp_2026,sl_2026,time_2026,oos_all_years_positive,train_pos_years
CORE A - Asia Compression Breakout,4.0,8.0,0.5,1440,220,-94.61899999999991,-0.43008636363636327,0.6,0.8459194773387528,153.90200000000004,4,129,69,22,176,23.501999999999953,0.13353409090909063,0.6761363636363636,1.0519383511087341,60.0,3,119,56,1,396,-71.11699999999996,0.6338383838383839,0.9333227700344839,34,15.28300000000013,0.6470588235294118,20,6,8,58,-55.77399999999989,0.5172413793103449,29,17,12,45,-36.0,0.6,27,18,0,40,-46.128000000000156,0.55,22,16,2,43,28.0,0.7209302325581395,31,12,0,46,40.0,0.7391304347826086,34,12,0,45,-8.498000000000047,0.6444444444444445,29,15,1,50,-4.0,0.66,33,17,0,35,-4.0,0.6571428571428571,23,12,0,False,2
CORE A - Asia Compression Breakout,4.0,10.0,0.4,1440,220,-129.20399999999995,-0.5872909090909089,0.6272727272727273,0.807924504179594,188.52700000000004,4,135,57,28,176,46.93499999999972,0.26667613636363474,0.7272727272727273,1.1017527885272018,80.0,3,127,45,4,396,-82.26900000000023,0.6717171717171717,0.9274484142872007,34,17.883000000000038,0.6470588235294118,20,2,12,58,-47.77399999999989,0.5689655172413793,32,14,12,45,-56.766999999999825,0.6222222222222222,28,16,1,40,-64.12800000000016,0.575,23,15,2,43,21.58199999999988,0.7441860465116279,32,10,1,46,39.452999999999975,0.7608695652173914,35,10,1,45,3.4819999999997435,0.7111111111111111,31,11,3,50,-10.0,0.7,35,15,0,35,14.0,0.7428571428571429,26,9,0,False,2
CORE A - Asia Compression Breakout,4.0,12.0,0.3333333333333333,1440,220,-82.60600000000068,-0.37548181818182125,0.6590909090909091,0.8737056147995251,157.51100000000065,4,142,42,36,176,132.93499999999972,0.7553124999999984,0.7897727272727273,1.3170667716122255,80.0,3,138,34,4,396,50.32899999999904,0.7171717171717171,1.0468900814280648,34,16.839999999999918,0.6470588235294118,20,1,13,58,-47.02099999999996,0.5862068965517241,33,11,14,45,-39.896999999999935,0.6888888888888889,31,12,2,40,-46.11000000000058,0.6,24,10,6,43,33.58199999999988,0.7906976744186046,34,8,1,46,35.452999999999975,0.782608695652174,36,9,1,45,45.48199999999974,0.8,35,7,3,50,-8.0,0.74,37,13,0,35,60.0,0.8571428571428571,30,5,0,False,2
CORE A - Asia Compression Breakout,4.0,15.0,0.26666666666666666,1440,220,-50.35400000000027,-0.2288818181818194,0.6863636363636364,0.9220312686293299,140.01800000000003,4,148,29,43,176,117.1909999999998,0.6658579545454534,0.8068181818181818,1.2633393180965302,89.39699999999993,3,140,26,10,396,66.83699999999953,0.73989898989899,1.0612710181676168,34,13.839999999999918,0.6470588235294118,20,1,13,58,-28.05899999999974,0.603448275862069,34,5,19,45,-56.896999999999935,0.7111111111111111,32,11,2,40,-26.82000000000039,0.65,26,6,8,43,47.58199999999988,0.8372093023255814,36,6,1,46,45.115999999999985,0.8043478260869565,37,5,4,45,47.47199999999975,0.8222222222222222,35,5,5,50,-20.396999999999935,0.76,38,11,1,35,45.0,0.8571428571428571,30,5,0,False,2
CORE A - Asia Compression Breakout,4.0,20.0,0.2,1440,220,-111.37800000000038,-0.5062636363636381,0.6909090909090909,0.8433164942666983,194.28300000000036,4,149,20,51,176,119.29700000000003,0.6778238636363638,0.8295454545454546,1.2599555907110935,87.89499999999998,3,144,19,13,396,7.918999999999642,0.7525252525252525,1.0067697647380656,34,18.199999999999818,0.6470588235294118,20,0,14,58,-47.968999999999824,0.603448275862069,34,4,20,45,-77.95899999999983,0.7111111111111111,32,7,6,40,-45.232000000000426,0.65,26,4,10,43,41.58199999999988,0.8604651162790697,37,5,1,46,56.22200000000021,0.8043478260869565,37,2,7,45,22.471999999999753,0.8222222222222222,35,5,5,50,-3.3969999999999345,0.82,41,8,1,35,44.0,0.8857142857142857,31,4,0,False,2
CORE A - Asia Compression Breakout,4.0,25.0,0.16,1440,220,-113.71200000000044,-0.5168727272727293,0.6954545454545454,0.8414458832568064,197.03300000000058,4,150,12,58,176,102.65200000000004,0.5832500000000003,0.8409090909090909,1.2122847724574923,71.14300000000003,3,146,16,14,396,-11.0600000000004,0.76010101010101,0.9907890057706126,34,18.199999999999818,0.6470588235294118,20,0,14,58,-67.96899999999982,0.603448275862069,34,4,20,45,-60.169999999999845,0.7333333333333333,33,4,8,40,-42.533000000000584,0.65,26,1,13,43,38.75999999999999,0.8604651162790697,37,3,3,46,46.22200000000021,0.8043478260869565,37,2,7,45,-2.5280000000002474,0.8222222222222222,35,5,5,50,34.958000000000084,0.86,43,5,2,35,24.0,0.8857142857142857,31,4,0,False,2
CORE A - Asia Compression Breakout,4.0,30.0,0.13333333333333333,1440,220,-90.1550000000002,-0.40979545454545546,0.7,0.8707684942031808,173.47600000000034,4,151,5,64,176,136.70499999999947,0.7767329545454515,0.8522727272727273,1.2988054775357634,67.04000000000042,3,148,9,19,396,46.54999999999927,0.7676767676767676,1.0402985294283142,34,18.199999999999818,0.6470588235294118,20,0,14,58,-70.25999999999976,0.603448275862069,34,2,22,45,-20.177999999999656,0.7555555555555555,34,0,11,40,-41.67700000000059,0.65,26,0,14,43,23.75999999999999,0.8604651162790697,37,3,3,46,36.22200000000021,0.8043478260869565,37,2,7,45,2.1349999999997635,0.8222222222222222,35,2,8,50,60.3479999999995,0.88,44,2,4,35,38.0,0.9142857142857143,32,3,0,True,2
CORE A - Asia Compression Breakout,4.0,35.0,0.11428571428571428,1440,220,-63.332000000000335,-0.2878727272727288,0.7045454545454546,0.9061471456029254,148.41500000000042,4,152,3,65,176,166.98499999999967,0.9487784090909073,0.8579545454545454,1.3872340425531906,57.340000000000146,3,149,6,21,396,103.65299999999934,0.7727272727272727,1.0937166034071526,34,18.199999999999818,0.6470588235294118,20,0,14,58,-67.4369999999999,0.603448275862069,34,1,23,45,-20.177999999999656,0.7555555555555555,34,0,11,40,-41.67700000000059,0.65,26,0,14,43,47.75999999999999,0.8837209302325582,38,2,3,46,26.222000000000207,0.8043478260869565,37,2,7,45,28.414999999999964,0.8222222222222222,35,0,10,50,50.3479999999995,0.88,44,2,4,35,62.0,0.9428571428571428,33,2,0,True,2
CORE A - Asia Compression Breakout,5.0,8.0,0.625,1440,220,-76.22599999999989,-0.34648181818181767,0.5636363636363636,0.8868046129949125,149.35900000000015,4,117,76,27,176,51.50199999999995,0.29262499999999975,0.6363636363636364,1.101282600914851,57.0,3,112,63,1,396,-24.723999999999933,0.5959595959595959,0.9790811405364245,34,21.133000000000266,0.6176470588235294,17,6,11,58,-58.230999999999995,0.4827586206896552,25,19,14,45,-48.0,0.5333333333333333,24,21,0,40,-24.128000000000156,0.55,22,16,2,43,33.0,0.6744186046511628,29,14,0,46,61.0,0.717391304347826,33,13,0,45,-5.498000000000047,0.6,27,17,1,50,16.0,0.64,32,18,0,35,-20.0,0.5714285714285714,20,15,0,False,2
CORE A - Asia Compression Breakout,5.0,10.0,0.5,1440,220,-133.81099999999992,-0.6082318181818178,0.5863636363636363,0.8229982790709365,204.98400000000015,4,122,65,33,176,98.93499999999972,0.5621306818181803,0.6988636363636364,1.1935102148592212,75.0,3,122,50,4,396,-34.876000000000204,0.6363636363636364,0.972479033372999,34,23.733000000000175,0.6176470588235294,17,2,15,58,-51.230999999999995,0.5344827586206896,28,16,14,45,-88.76699999999983,0.5333333333333333,24,20,1,40,-41.128000000000156,0.575,23,15,2,43,23.58199999999988,0.6976744186046512,30,12,1,46,74.45299999999997,0.7608695652173914,35,10,1,45,4.4819999999997435,0.6666666666666666,29,13,3,50,10.0,0.68,34,16,0,35,10.0,0.6857142857142857,24,11,0,True,2
