strategy,tp,sl,rr,horizon_min,train_n,train_net,train_ev,train_wr,train_pf,train_dd,train_streak,train_tp,train_sl,train_time,oos_n,oos_net,oos_ev,oos_wr,oos_pf,oos_dd,oos_streak,oos_tp,oos_sl,oos_time,all_n,all_net,all_wr,all_pf,n_2018,net_2018,wr_2018,tp_2018,sl_2018,time_2018,n_2019,net_2019,wr_2019,tp_2019,sl_2019,time_2019,n_2020,net_2020,wr_2020,tp_2020,sl_2020,time_2020,n_2021,net_2021,wr_2021,tp_2021,sl_2021,time_2021,n_2022,net_2022,wr_2022,tp_2022,sl_2022,time_2022,n_2023,net_2023,wr_2023,tp_2023,sl_2023,time_2023,n_2024,net_2024,wr_2024,tp_2024,sl_2024,time_2024,n_2025,net_2025,wr_2025,tp_2025,sl_2025,time_2025,n_2026,net_2026,wr_2026,tp_2026,sl_2026,time_2026,oos_all_years_positive,train_pos_years,smooth_score,profit_score
CORE A - Asia Compression Breakout,12.0,15.0,0.8,1440,220,20.405000000000427,0.09275000000000194,0.5181818181818182,1.0217689092394915,168.99299999999994,5,63,40,117,176,304.3499999999999,1.7292613636363632,0.6079545454545454,1.354823666569513,97.39699999999993,5,93,50,33,396,324.75500000000034,0.5580808080808081,1.180912330036945,34,14.25599999999963,0.5588235294117647,3,1,30,58,-102.66799999999967,0.41379310344827586,7,9,42,45,-35.233999999999696,0.4888888888888889,17,14,14,40,74.21500000000015,0.6,15,7,18,43,69.83600000000001,0.5813953488372093,21,9,13,46,32.557000000000244,0.5652173913043478,17,10,19,45,114.46199999999953,0.6222222222222222,24,9,12,50,34.33100000000013,0.58,28,20,2,35,123.0,0.6857142857142857,24,11,0,True,3,0.9265982502937669,22.02049798054601
CORE A - Asia Compression Breakout,12.0,35.0,0.34285714285714286,1440,220,12.928000000000793,0.058763636363639966,0.5363636363636364,1.0134634410505825,218.99999999999977,5,64,4,152,176,438.02200000000016,2.4887613636363644,0.6988636363636364,1.4791901873780207,85.42499999999973,4,108,16,52,396,450.95000000000095,0.6085858585858586,1.2405941787892987,34,18.61599999999953,0.5588235294117647,3,0,31,58,-145.5839999999996,0.41379310344827586,7,1,50,45,-34.15299999999934,0.5111111111111111,17,1,27,40,69.63599999999997,0.6,15,0,25,43,104.41300000000024,0.6511627906976745,22,2,19,46,0.43800000000032924,0.5652173913043478,17,3,26,45,117.27799999999979,0.6444444444444445,25,1,19,50,88.30600000000004,0.74,35,8,7,35,232.0,0.8857142857142857,31,4,0,True,3,1.1602052177502753,32.23477907176701
CORE A - Asia Compression Breakout,15.0,12.0,1.25,1440,220,44.27299999999968,0.20124090909090767,0.4863636363636364,1.0469947976982916,153.76800000000026,5,46,59,115,176,442.00299999999993,2.5113806818181814,0.5568181818181818,1.5345334050877073,75.08899999999994,7,78,65,33,396,486.2759999999996,0.5176767676767676,1.2748909257209529,34,26.25599999999963,0.5588235294117647,3,1,30,58,-115.25,0.39655172413793105,4,16,38,45,-0.02699999999958891,0.4666666666666667,13,18,14,40,54.960999999999785,0.525,11,12,17,43,78.33299999999986,0.5348837209302325,15,12,16,46,77.78300000000058,0.5434782608695652,15,15,16,45,106.5989999999997,0.5555555555555556,17,14,14,50,83.62099999999964,0.52,24,23,3,35,174.0,0.6285714285714286,22,13,0,True,3,1.0190792909544877,32.64651972011447
CORE A - Asia Compression Breakout,15.0,15.0,1.0,1440,220,99.92600000000039,0.45420909090909267,0.5136363636363637,1.1065928497901236,147.32200000000057,5,48,40,132,176,361.3609999999999,2.0531874999999995,0.5738636363636364,1.389764293349239,95.75400000000036,5,79,54,43,396,461.28700000000026,0.5404040404040404,1.2473943221590684,34,23.25599999999963,0.5588235294117647,3,1,30,58,-99.92899999999986,0.41379310344827586,4,9,45,45,1.1250000000004547,0.4888888888888889,14,14,17,40,89.98300000000017,0.6,11,7,22,43,85.49099999999999,0.5581395348837209,16,9,18,46,72.76900000000046,0.5652173913043478,15,10,21,45,101.36799999999971,0.5777777777777777,17,10,18,50,22.223999999999705,0.52,24,22,4,35,165.0,0.6571428571428571,23,12,0,True,4,0.9515553691343088,26.339534890993683
CORE A - Asia Compression Breakout,15.0,20.0,0.75,1440,220,51.28500000000054,0.2331136363636388,0.5227272727272727,1.0518332401813992,178.5079999999998,5,48,25,147,176,444.63499999999976,2.526335227272726,0.6193181818181818,1.4613099715413032,67.39699999999993,4,87,39,50,396,495.9200000000003,0.5656565656565656,1.2538914111472215,34,27.61599999999953,0.5588235294117647,3,0,31,58,-119.06499999999983,0.41379310344827586,4,5,49,45,-25.83099999999945,0.4888888888888889,14,9,22,40,66.57100000000014,0.6,11,5,24,43,101.99400000000014,0.6046511627906976,16,6,21,46,83.16000000000054,0.5652173913043478,15,4,27,45,64.25099999999952,0.5777777777777777,17,9,19,50,52.223999999999705,0.6,28,18,4,35,245.0,0.7714285714285715,27,8,0,True,3,1.0862998437559463,32.910850669814664
CORE A - Asia Compression Breakout,15.0,25.0,0.6,1440,220,28.92700000000059,0.13148636363636632,0.5272727272727272,1.0285879186963434,202.92299999999977,5,48,16,156,176,486.7830000000006,2.765812500000003,0.6420454545454546,1.498387963735584,75.0,4,90,30,56,396,515.7100000000012,0.5782828282828283,1.2593363291118875,34,27.61599999999953,0.5588235294117647,3,0,31,58,-144.06499999999983,0.41379310344827586,4,5,49,45,-21.961999999999307,0.5111111111111111,14,6,25,40,64.26999999999998,0.6,11,2,27,43,103.06800000000021,0.6046511627906976,16,3,24,46,70.65000000000055,0.5652173913043478,15,3,28,45,100.32399999999984,0.6,18,6,21,50,70.8090000000002,0.64,29,14,7,35,245.0,0.8,28,7,0,True,3,1.1531796416951303,36.01740740645975
CORE A - Asia Compression Breakout,15.0,30.0,0.5,1440,220,62.626000000000886,0.2846636363636404,0.5272727272727272,1.0640241595972864,188.7779999999998,5,48,6,166,176,519.7559999999996,2.953159090909089,0.6590909090909091,1.5256740383234446,67.39699999999993,4,93,21,62,396,582.3820000000005,0.5858585858585859,1.296090709053416,34,27.61599999999953,0.5588235294117647,3,0,31,58,-145.66799999999967,0.41379310344827586,4,2,52,45,7.206000000000813,0.5111111111111111,14,1,30,40,85.404,0.6,11,0,29,43,88.06800000000021,0.6046511627906976,16,3,24,46,55.650000000000546,0.5652173913043478,15,3,28,45,99.98699999999985,0.6,18,3,24,50,109.11899999999923,0.68,31,9,10,35,255.0,0.8285714285714286,29,6,0,True,4,1.2046418134711305,38.58296370883853
CORE A - Asia Compression Breakout,15.0,35.0,0.42857142857142855,1440,220,95.44900000000075,0.4338590909090943,0.5318181818181819,1.099390944239483,190.95499999999993,5,49,4,167,176,501.03599999999983,2.8467954545454535,0.6647727272727273,1.4900289692917679,77.39699999999993,4,94,18,64,396,596.4850000000006,0.5909090909090909,1.3008294831402647,34,27.61599999999953,0.5588235294117647,3,0,31,58,-142.8449999999998,0.41379310344827586,4,1,53,45,2.206000000000813,0.5111111111111111,14,1,30,40,85.404,0.6,11,0,29,43,123.06800000000021,0.627906976744186,17,2,24,46,40.650000000000546,0.5652173913043478,15,3,28,45,121.26700000000005,0.6,18,1,26,50,64.11899999999923,0.68,31,9,10,35,275.0,0.8571428571428571,30,5,0,True,4,1.189712372252412,37.06654385585985
CORE A - Asia Compression Breakout,25.0,15.0,1.6666666666666667,1440,220,33.77300000000105,0.15351363636364113,0.4863636363636364,1.033255249027886,179.6499999999994,6,17,45,158,176,501.55800000000045,2.8497613636363663,0.5170454545454546,1.4711867177349582,122.10100000000057,8,49,63,64,396,535.3310000000015,0.5,1.257367455983724,34,7.388999999999669,0.5588235294117647,0,1,33,58,-133.57099999999946,0.41379310344827586,0,9,49,45,-3.9339999999995143,0.4444444444444444,7,16,22,40,131.3150000000005,0.6,4,7,29,43,32.57399999999984,0.46511627906976744,6,12,25,46,119.9950000000008,0.5652173913043478,5,10,31,45,110.57000000000016,0.5333333333333333,10,12,23,50,75.99299999999948,0.46,16,24,10,35,195.0,0.5142857142857142,18,17,0,True,3,1.0334890038320723,36.656024748593765
CORE A - Asia Compression Breakout,25.0,35.0,0.7142857142857143,1440,220,9.648000000001275,0.04385454545455125,0.5045454545454545,1.0090765239020787,241.24499999999944,6,17,5,198,176,637.577,3.6225965909090907,0.6022727272727273,1.5124854511899477,134.55599999999959,5,60,23,93,396,647.2250000000013,0.547979797979798,1.2805422509265083,34,11.748999999999569,0.5588235294117647,0,0,34,58,-176.4869999999994,0.41379310344827586,0,1,57,45,-15.849999999999227,0.4666666666666667,7,2,36,40,126.73600000000033,0.6,4,0,36,43,63.5,0.5348837209302325,6,2,35,46,87.87600000000089,0.5652173913043478,5,3,38,45,120.34900000000061,0.5333333333333333,10,1,34,50,68.9719999999993,0.6,19,11,20,35,360.3799999999992,0.7428571428571429,26,8,1,True,3,1.2629500706190175,46.79048745314269
