date,CORE A - Asia Compression Breakout,CORE B - Thu/Fri Asia Close Breakout,Satellite C - 14:00 Previous Close Continuation
01.01,,,-25
01.02,,-20,-25
01.05,,,+30
01.06,,,+30
01.07,,,+30
01.08,,-20,-25
01.09,+15,+20,+30
01.12,,,+30
01.13,+15,,-25
01.14,,,-25
01.15,,,+30
01.16,-15,-20,+30
01.19,,,+30
01.20,,,+30
01.21,,,-25
01.22,,-20,-25
01.23,+15,+20,-25
01.26,,,-25
01.27,,,-25
01.28,,,+30
01.29,,,-25
01.30,,-20,+30
02.02,,,-25
02.03,,,-25
02.04,,,-25
02.05,,,+30
02.06,,+20,+30
02.09,,,+30
02.10,,,+30
02.11,-15,,-25
02.12,,,+30
02.13,,,+30
02.16,,,+30
02.17,,,+30
02.18,,,+30
02.19,-15,-20,+30
02.20,-15,-20,+30
02.23,,,+30
02.24,,,+30
02.25,,,+30
02.26,,,+30
02.27,+15,+20,+30
03.02,,,+30
03.03,,,-25
03.04,,,-25
03.05,,+20,-25
03.06,,-20,-25
03.09,,,+30
03.10,,,+30
03.11,+15,,+30
03.12,-15,-20,-25
03.13,+15,-20,-25
03.16,,,-25
03.17,-15,,-25
03.18,+15,,+30
03.19,,+20,+30
03.20,,+20,-25
03.23,,,-25
03.24,,,-25
03.25,,,-25
03.26,,-20,-25
03.27,,,+30
03.30,,,+30
03.31,,,+30
04.01,-15,,+30
04.02,,,+30
04.03,,,-1
04.06,,,-25
04.07,+15,,-25
04.08,,,-25
04.09,+15,+20,+30
04.10,-15,-20,-25
04.13,,,-25
04.14,+15,,+30
04.15,+15,,-25
04.16,,,-25
04.17,+15,+20,-25
04.20,,,-25
04.21,-15,,+30
04.22,,,-25
04.23,,-20,-25
04.24,,-20,-25
04.27,,,+30
04.28,,,+30
04.29,+15,,+30
04.30,,+20,-25
05.01,+15,+20,-25
05.04,,,+30
05.05,,,+30
05.06,,,-25
05.07,,+20,-25
05.08,,,-9.05
05.11,,,-25
05.12,,,+30
05.13,,,-25
05.14,,-20,-25
05.15,,+20,+30
05.18,,,-25
05.19,,,+30
05.20,,,-25
05.21,,-20,-25
05.22,,,+3.41
05.25,,,-25
05.26,,,+30
05.27,,,+30
05.28,,,-25
05.29,+15,+20,-25
06.01,+15,,+30
06.02,,,-25
06.03,,,+30
06.04,,+20,+30
06.05,,+20,+30
06.08,,,-25
06.09,,,-25
06.10,,,+30
06.11,,,-25
06.12,,,+30
06.15,,,+30
06.16,+15,,-25
06.17,,,-25
06.18,,-20,+30
06.19,,,-25
06.22,,,-25
06.23,,,-25
06.24,,,+30
06.25,,,-25
06.26,,+20,+30
06.29,,,+30
06.30,,,+30
07.01,,,-25
07.02,-15,+20,+30
07.03,,,-1.69
07.06,,,+30
07.07,,,-25
07.08,+15,,-25
07.09,+15,+20,+30
07.10,+15,+20,+30
07.13,,,+30
07.14,,,+30
07.15,,,-25
07.16,,-20,+30
07.17,,-20,-25
07.20,,,-25
07.21,,,+30
07.22,,,+30
07.23,+15,+20,+30
07.24,+15,+20,+30
07.27,+15,,-25
07.28,,,-1.04
07.29,-15,,-25
07.30,,,+30
07.31,,+20,+30
08.03,,,-25
08.04,-15,,-25
08.05,,,+30
08.06,,,-25
08.07,,+20,+30
08.10,,,-25
08.11,,,-25
08.12,,,-25
08.13,,-20,+30
08.14,,+20,-25
08.17,,,+30
08.18,,,+30
08.19,,,+30
08.20,,+20,+30
